Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion,Id_Presupuesto
10,88,1,25/06/2010 00:00,25/06/2010 00:00,08/07/2010 00:00,23456.2,0,0,1,140
52,65,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,512031.99,0,0,1,92
24,70,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,128003.98,0,0,1,94
128,233,1,28/12/2010 00:00,28/12/2010 00:00,16/01/2011 00:00,901008.53,0,0,1,357
107,220,1,29/11/2010 00:00,29/11/2010 00:00,11/12/2010 00:00,311172.38,0,0,1,312
177,448,1,29/06/2011 00:00,29/06/2011 00:00,10/07/2011 00:00,399993.43,0,0,1,604
137,333,1,28/02/2011 00:00,28/02/2011 00:00,05/03/2011 00:00,299238.42,0,0,1,474
100,300,1,13/12/2010 00:00,13/12/2010 00:00,31/12/2010 00:00,91739.85,0,0,1,440
138,454,1,03/01/2011 00:00,03/01/2011 00:00,15/01/2011 00:00,13514.17,0,0,1,612
78,238,1,01/11/2010 00:00,01/11/2010 00:00,04/12/2010 00:00,214589.07,0,0,1,338
84,141,1,25/10/2010 00:00,25/10/2010 00:00,19/12/2010 00:00,991772.97,30,297531.89,1,
7,69,1,02/08/2010 00:00,02/08/2010 00:00,31/12/2010 00:00,470585.53,0,0,1,105
145,368,1,25/02/2011 00:00,25/02/2011 00:00,15/04/2011 00:00,1261462.24,30,378438.67,1,532
46,39,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,
103,248,1,27/12/2010 00:00,27/12/2010 00:00,29/01/2011 00:00,865999.28,0,0,1,342
124,315,1,30/11/2010 00:00,30/11/2010 00:00,04/12/2010 00:00,62758.38,0,0,1,472
18,44,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,55
173,487,1,01/03/2011 00:00,01/03/2011 00:00,19/03/2011 00:00,217278.86,0,0,1,682
99,240,1,17/10/2010 00:00,17/10/2010 00:00,23/10/2010 00:00,92624.35,0,0,1,381
35,47,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,85
139,278,1,30/11/2010 00:00,30/11/2010 00:00,05/12/2010 00:00,217903.1,0,0,1,
175,571,1,29/06/2011 00:00,29/06/2011 00:00,31/07/2011 00:00,240000,0,0,1,731
203,371,1,28/03/2016 00:00,28/03/2016 00:00,17/04/2016 00:00,395151.4,0,0,1,
95,250,1,24/10/2010 00:00,24/10/2010 00:00,22/11/2010 00:00,55119.12,0,0,1,340
191,570,1,19/09/2011 00:00,19/09/2011 00:00,19/11/2011 00:00,750000,0,0,1,728
2,23,1,07/06/2010 00:00,07/06/2010 00:00,27/06/2010 00:00,275020.87,0,0,1,36
13,41,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,64
117,414,1,13/12/2010 00:00,13/12/2010 00:00,31/12/2010 00:00,672430.32,0,0,1,
70,234,1,25/09/2010 00:00,25/09/2010 00:00,15/10/2010 00:00,45137.99,0,0,1,319
43,35,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,51
16,42,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,61
21,62,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,160115.2,0,0,1,107
114,138,1,31/12/2010 00:00,31/12/2010 00:00,11/02/2011 00:00,368253.6,0,0,1,222
150,80,1,23/12/2010 00:00,23/12/2010 00:00,31/12/2010 00:00,488121.33,0,0,1,153
47,37,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,80
90,332,1,08/11/2010 00:00,08/11/2010 00:00,05/12/2010 00:00,424188.82,0,0,1,360
152,562,1,05/01/2011 00:00,05/01/2011 00:00,12/03/2011 00:00,58050.9,0,0,1,724
51,43,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,59
121,86,1,31/12/2010 00:00,31/12/2010 00:00,15/02/2011 00:00,465577.89,0,0,1,142
101,326,1,24/12/2010 00:00,24/12/2010 00:00,31/12/2010 00:00,898563.24,0,0,1,462
105,241,1,08/11/2010 00:00,08/11/2010 00:00,13/11/2010 00:00,645046.9,0,0,1,362
109,227,1,20/10/2010 00:00,20/10/2010 00:00,23/10/2010 00:00,192736.19,0,0,1,371
83,269,1,09/12/2010 00:00,09/12/2010 00:00,10/01/2010 00:00,197817.82,0,0,1,401
8,39,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,71
9,83,2,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,86385.36,0,0,1,149
37,41,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,65
94,340,1,29/12/2010 00:00,29/12/2010 00:00,01/01/2011 00:00,262831.65,0,0,1,515
86,367,1,15/12/2010 00:00,15/12/2010 00:00,25/12/2010 00:00,94361.09,0,0,1,542
91,236,1,29/11/2010 00:00,29/11/2010 00:00,05/12/2010 00:00,310170.21,0,0,1,379
129,426,1,31/12/2010 00:00,31/12/2010 00:00,31/12/2010 00:00,71456,0,0,1,582
134,243,1,25/02/2011 00:00,25/02/2011 00:00,05/03/2011 00:00,486786.42,0,0,1,355
160,353,1,03/01/2011 00:00,03/01/2011 00:00,20/02/2011 00:00,359273.13,0,0,1,508
172,308,1,06/03/2011 00:00,06/03/2011 00:00,27/04/2011 00:00,39918.36,0,0,1,446
108,242,2,08/11/2010 00:00,08/11/2010 00:00,11/12/2010 00:00,737852.74,0,0,1,349
132,230,1,31/12/2010 00:00,31/12/2010 00:00,08/01/2011 00:00,87034.29,0,0,1,276
6,83,1,28/06/2010 00:00,28/06/2010 00:00,31/07/2010 00:00,542573.84,30,162772.15,1,148
19,43,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,58
38,66,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,399998.62,0,0,1,98
183,580,1,04/08/2011 00:00,04/08/2011 00:00,28/09/2011 00:00,1500000,30,450000,1,733
93,259,1,06/11/2010 00:00,06/11/2010 00:00,14/11/2010 00:00,225712.33,0,0,1,383
30,87,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,82
67,149,1,01/11/2010 00:00,01/11/2010 00:00,15/11/2010 00:00,315709.53,0,0,1,237
196,442,1,28/09/2011 00:00,28/09/2011 00:00,21/10/2011 00:00,137272.51,0,0,1,588
25,66,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,100003.6,0,0,1,97
82,156,1,29/11/2010 00:00,29/11/2010 00:00,15/01/2011 00:00,176059.74,0,0,1,
55,68,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,239933.7,0,0,1,103
28,35,1,30/07/2010 00:00,30/07/2010 00:00,31/08/2010 00:00,94117.48,0,0,1,50
44,54,2,09/09/2010 00:00,09/09/2010 00:00,31/12/2010 00:00,376469.93,0,0,1,121
127,162,1,02/09/2010 00:00,02/09/2010 00:00,18/09/2010 00:00,93774.61,0,0,1,
187,379,1,16/08/2011 00:00,16/08/2011 00:00,10/09/2011 00:00,229782.02,0,0,1,568
135,206,1,31/12/2010 00:00,31/12/2010 00:00,24/01/2011 00:00,6625.03,0,0,1,260
