Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Año,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Leyenda_Oficial,Id_Oficio_Asignacion_Obra,Id_Numero_Contrato_Pertenece
1,38,A-2510-318-6902-E/0033/2010,DESMANTELAMIENTO DE CRISTALERIA Y HERRERIA EDIFICIO MONTES DE OCA CALLE PEDRO MORENO ZONA CENTRO,773480.36,30,232044.11,02/03/2010 00:00,15/03/2010 00:00,24/04/2010 00:00,1,1,1,,EJECUCION,2010,35,,,1,02/03/2010 00:00,1,,NULL,0,NULL
2,41,A-2510-307-6101-C/0035/2010,REHABILITACION DE LOS PAVIMENTOS EN LA ZONA SUR PONIENTE DE LA CIUDAD LEON,2099084.48,30,629725.34,01/03/2010 00:00,01/03/2010 00:00,08/05/2010 00:00,1,1,1,,EJECUCION,2010,369,,,1,01/03/2010 00:00,1,,NULL,0,NULL
3,42,A-2510-307-6101-C/0036/2010,REHABILITACION DE LOS PAVIMENTOS EN LA ZONA NOR PONIENTE DE LA CIUDAD LEON,2099084.48,30,629725.34,01/03/2010 00:00,01/03/2010 00:00,08/05/2010 00:00,1,1,1,,EJECUCION,2010,12,,,1,01/03/2010 00:00,1,,NULL,0,NULL
4,27,B-5051-236-7101-H/0026/2010,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES : ANDRES QUINTANA ROO TRAMO; PLUTARCO ELIAS CALLES- PRIMER MANDATARIO COL. PRESIDENTES DE MEXICO; CALLE CUBILETE TRAMO: BLVD GUANAJUATO - NEVADO DE COLIMA COL. LINARES; CALLE EGEO TRAMO : BLVD. HILARIO MEDINA - TOPAR COL. NVA. SANTA ROSA DE LIMA LEON,172838.05,30,51851.42,23/02/2010 00:00,08/03/2010 00:00,29/05/2010 00:00,1,1,1,,EJECUCION,2010,342,,,2,23/02/2010 00:00,1,,NULL,0,NULL
5,44,A-2510-307-6101-C/0038/2010,REHABILITACION DE LOS PAVIMENTOS EN LA ZONA SUR ORIENTE DE LA CIUDAD,2099114.77,30,629734.43,01/03/2010 00:00,01/03/2010 00:00,08/05/2010 00:00,1,1,1,,EJECUCION,2010,332,,,1,01/03/2010 00:00,1,,NULL,0,NULL
6,8,B-5051-236-7101-H/0008/2010,PROYECTO EJECUTIVO DE LAS CALLES: DEL CAPOTE TRAMO: DEL TORERO-AV- CENTRAL COL. PLAZA DE TOROS II SECC; CALLA DEL TORIL TRAMO: AV. CENTRAL - DEL TORERO COL. PLAZA DE TOROS III SECC; PRIVADA CALLEJON DEL SAPO TRAMO: ALONSO ESPINO - TOPAR AL PONIENTE COL. INDUSTRIAL JUAREZ; RIO SAN FERNANDO TRAMO: AGUA MARINA - AV. CENTRAL FRACC. GUADALUPE LEON,244781.14,30,73434.34,15/02/2010 00:00,01/03/2010 00:00,29/05/2010 00:00,1,1,1,,EJECUCION,2010,306,,,2,15/02/2010 00:00,1,,NULL,0,NULL
7,9,B-5051-236-7101-H/0009/2010,PROYECTO EJECUTIVO DE LAS CALLES: JEREZ DE LULE TRAMO: BLVD. DELTA DE JEREZ - JEREZ DE ANTAÑO COL. VALLE DE JEREZ III SECC; JEREZ DEL DORADO TRAMO: JEREZ DE LA FRONTERA - JEREZ DE CARTAGENA COL. VALLE DE JEREZ; MADRE MAURA TRAMO: CERRO DEL SOYATE - MADRE TIERRA COL. DIEZ DE MAYO LEON,196293.14,30,58887.94,15/02/2010 00:00,01/03/2010 00:00,29/05/2010 00:00,1,1,1,,EJECUCION,2010,370,,,2,15/02/2010 00:00,1,,NULL,0,NULL
8,37,A-2510-318-6902-D/0032/2010,PAVIMENTACION DE LA CALLE CIRCUITO ANTONIO VELAZQUEZ TRAMO: DEL TORERO - PAVIMENTO COL. PLAZA DE TOROS,352441.94,30,105732.58,02/03/2010 00:00,15/03/2010 00:00,08/05/2010 00:00,1,1,1,,EJECUCION,2010,334,,,1,02/03/2010 00:00,1,,NULL,0,NULL
9,31,A-2510-307-6101-D/0030/2010,PUENTE VERTIZ  BICENTENARIO Y PUENTE LA LUZ BICENTENARIO ( PRIMERA ETAPA PAVIMENTACION DE LA INTERSECCION A DESNIVEL DEL BLVD. LA LUZ Y BLVD. MORELOS - LEON ),75945836.05,60,35436594.7,01/03/2010 00:00,08/03/2010 00:00,03/09/2010 00:00,1,1,1,,EJECUCION,2010,156,,,1,01/03/2010 00:00,3,,NULL,0,NULL
10,12,B-5051-236-7101-H/0012/2010,PROYECTO EJECUTIVO DE LAS CALLES: ALMENDRO TRAMO: ALAMO - AVELLANO COL. ARBOLEDAS DE INFONAVIT; AVELLANO TRAMO: ROSSINI - CAPULIN COL. ARBOLEDAS DE INFONAVIT CALLE AVELLANO TRAMO: GUTY CARDENAS - CALLEJON COL. ARBOLEDAS DE INFONAVIT Y CAPULIN TRAMO: CASTAÑO - FRESNO COL. ARBOLEDAS DE INFONAVIT LEON,224478.94,30,67343.68,15/02/2010 00:00,01/03/2010 00:00,29/05/2010 00:00,1,1,1,,EJECUCION,2010,294,,,2,15/02/2010 00:00,2,,NULL,0,NULL
11,10,B-5051-236-7101-H/0010/2010,PROYECTO EJECUTIVO DE LAS CALLES: 2DO. ANDADOR HUIMILPAN TRAMO: HUIMILPAN - MAYAGUEZ COL. EL PALOTE CALLE ARRAMBERRI TRAMO: LOS HERRERA - BANGLADESH COL. NUEVO LEON,158331.1,30,47499.33,15/02/2010 00:00,01/03/2010 00:00,29/05/2010 00:00,1,1,1,,EJECUCION,2010,369,,,2,15/02/2010 00:00,1,,NULL,0,NULL
12,23,B-5051-236-7101-H/0022/2010,PROYECTO EJECUTIVO DE LAS CALLES: H. AYUNTAMIENTO TRAMO: ARTICULO 123 - BLVD. TIMOTEO LOZANO COL. LIBERTAD; CALLE MOSTO TRAMO: DE LA CEPA - SARMIENTO COL. SAN JOSE EL ALTO; TORRE EIFEL TRAMO: H. AYUNTAMIENTO - TORRE DE CASTILLO COL. LAS TORRES LEON,257899.22,30,77369.77,22/02/2010 00:00,01/03/2010 00:00,22/05/2010 00:00,1,1,1,,EJECUCION,2010,359,,,2,22/02/2010 00:00,1,,NULL,0,NULL
13,4,B-5051-236-7101-H/0004/2010,PROYECTO EJECUTIVO DE LAS CALLES: ARTICULO 27 TRAMO: TIMOTEO LOZANO - ASAMBLEA DE QUERETARO COL. LIBERTAD; CALLE CARIBEÑA TRAMO: DE LA BAYA - SARMIENTO COL. SAN JOSE EL ALTO; Y DEL PARQUE TRAMO: DE LA MORADA - DE LA ALDEA COL. VILLAS DE LEON; LEON,257303.53,30,77191.06,11/02/2010 00:00,22/02/2010 00:00,22/05/2010 00:00,1,1,1,,EJECUCION,2010,109,,,2,11/02/2010 00:00,1,,NULL,0,NULL
14,22,B-5051-236-7101-H/0021/2010,PROYECTO EJECUTIVO DE LAS CALLES: NITROGENO TRAMO: MAGNESIO - HELIO COL. VALLE DE SEÑORA; CALLE COSTAS DE OCEANO ARTICO TRAMPO: MAR ROJO - MALECON DEL RIO COL. CEMENTOS LEON,220224.77,30,66067.43,22/02/2010 00:00,01/03/2010 00:00,22/05/2010 00:00,1,1,1,,EJECUCION,2010,371,,,2,22/02/2010 00:00,1,,NULL,0,NULL
