Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
1,1,,CONTRATO,773480.36,240324.81,0,240324.81,533155.55,30,232044.11,72097.44,0,72097.44,159946.67
2,1,1,AMPLIACIÓN 1,88992.35,0,0,0,88992.35,0,0,0,0,0,0
3,5,,CONTRATO,773480.36,491188.16,240324.81,731512.97,41967.39,30,232044.11,159946.67,72097.44,232044.11,0
4,5,1,AMPLIACIÓN 1,88992.35,0,0,0,88992.35,0,0,0,0,0,0
5,124,,CONTRATO,773480.36,41967.38,731512.97,773480.35,0.01,30,232044.11,0,232044.11,232044.11,0
6,124,1,AMPLIACIÓN 1,88992.35,84140.68,0,84140.68,4851.67,0,0,0,0,0,0
7,161,,CONTRATO,773480.36,0.01,773480.35,773480.36,0,30,232044.11,0,232044.11,232044.11,0
8,161,1,AMPLIACIÓN 1,88992.35,4850.88,84140.68,88991.56,0.79,0,0,0,0,0,0
9,2,,CONTRATO,2099084.48,593428.91,0,593428.91,1505655.57,30,629725.34,178028.67,0,178028.67,451696.67
10,8,,CONTRATO,2099084.48,255171.95,593428.91,848600.86,1250483.62,30,629725.34,76551.59,178028.67,254580.26,375145.08
11,33,,CONTRATO,2099084.48,888222.31,848600.86,1736823.17,362261.31,30,629725.34,266466.69,254580.26,521046.95,108678.39
12,94,,CONTRATO,2099084.48,134921.39,1736823.17,1871744.56,227339.92,30,629725.34,40476.42,521046.95,561523.37,68201.97
13,221,,CONTRATO,2099084.48,202284.67,1871744.56,2074029.23,25055.25,30,629725.34,68201.97,561523.37,629725.34,0
14,3,,CONTRATO,2099084.48,733752.37,0,733752.37,1365332.11,30,629725.34,220125.71,0,220125.71,409599.63
15,23,,CONTRATO,2099084.48,252690.4,733752.37,986442.77,1112641.71,30,629725.34,75807.12,220125.71,295932.83,333792.51
16,86,,CONTRATO,2099084.48,109637.47,986442.77,1096080.24,1003004.24,30,629725.34,32891.24,295932.83,328824.07,300901.27
17,87,,CONTRATO,2099084.48,670569.98,1096080.24,1766650.22,332434.26,30,629725.34,201170.99,328824.07,529995.06,99730.28
18,252,,CONTRATO,2099084.48,332368.39,1766650.22,2099018.61,65.87,30,629725.34,99730.28,529995.06,629725.34,0
19,4,,CONTRATO,172838.05,143857.41,0,143857.41,28980.64,30,51851.42,43157.22,0,43157.22,8694.2
20,117,,CONTRATO,172838.05,27457.75,143857.41,171315.16,1522.89,30,51851.42,8694.2,43157.22,51851.42,0
21,22,,CONTRATO,2099114.77,558477.91,0,558477.91,1540636.86,30,629734.43,167543.37,0,167543.37,462191.06
22,50,,CONTRATO,2099114.77,268906.98,558477.91,827384.89,1271729.88,30,629734.43,80672.09,167543.37,248215.46,381518.97
23,51,,CONTRATO,2099114.77,368664.67,827384.89,1196049.56,903065.21,30,629734.43,110599.4,248215.46,358814.86,270919.57
24,67,,CONTRATO,2099114.77,320144.72,1196049.56,1516194.28,582920.49,30,629734.43,96043.42,358814.86,454858.28,174876.15
25,195,,CONTRATO,2099114.77,426838.12,1516194.28,1943032.4,156082.37,30,629734.43,174876.15,454858.28,629734.43,0
26,285,,CONTRATO,2099114.77,35060.98,1943032.4,1978093.38,121021.39,30,629734.43,0,629734.43,629734.43,0
27,313,,CONTRATO,2099114.77,121021.38,1978093.38,2099114.76,0.01,30,629734.43,0,629734.43,629734.43,0
28,97,,CONTRATO,244781.14,52233.94,0,52233.94,192547.2,30,73434.34,15670.18,0,15670.18,57764.16
29,115,,CONTRATO,244781.14,75908.78,52233.94,128142.72,116638.42,30,73434.34,22772.63,15670.18,38442.81,34991.53
30,897,,CONTRATO,244781.14,73952.03,128142.72,202094.75,42686.39,30,73434.34,34991.53,38442.81,73434.34,0
31,36,,CONTRATO,196293.14,19046.62,0,19046.62,177246.52,30,58887.94,5713.99,0,5713.99,53173.95
32,37,,CONTRATO,196293.14,7973.67,19046.62,27020.29,169272.85,30,58887.94,2392.1,5713.99,8106.09,50781.85
33,40,,CONTRATO,196293.14,20133.69,27020.29,47153.98,149139.16,30,58887.94,6040.11,8106.09,14146.2,44741.74
34,84,,CONTRATO,196293.14,33863.27,47153.98,81017.25,115275.89,30,58887.94,10158.98,14146.2,24305.18,34582.76
35,210,,CONTRATO,196293.14,52376.12,81017.25,133393.37,62899.77,30,58887.94,15712.84,24305.18,40018.02,18869.92
36,211,,CONTRATO,196293.14,38070.43,133393.37,171463.8,24829.34,30,58887.94,11421.13,40018.02,51439.15,7448.79
37,256,,CONTRATO,196293.14,8436.36,171463.8,179900.16,16392.98,30,58887.94,7448.79,51439.15,58887.94,0
38,187,,CONTRATO,352441.94,103317.36,0,103317.36,249124.58,30,105732.58,30995.21,0,30995.21,74737.37
39,409,,CONTRATO,352441.94,202913.5,103317.36,306230.86,46211.08,30,105732.58,60874.05,30995.21,91869.26,13863.32
40,1742,,CONTRATO,352441.94,38108.83,306230.86,344339.69,8102.25,30,105732.58,13863.32,91869.26,105732.58,0
41,83,,CONTRATO,75945836.05,1622560.76,3285065.76,4907626.52,71038209.53,60,35436594.7,486768.23,985519.73,1472287.96,33964306.74
42,83,73,AMPLIACIÓN 1,29135136.12,0,0,0,29135136.12,30,8740540.83,0,0,0,8740540.83
43,83,110,AMPLIACIÓN 2,32176146.28,0,0,0,32176146.28,0,0,0,0,0,0
44,100,,CONTRATO,75945836.05,4215000.16,4907626.52,9122626.68,66823209.37,60,35436594.7,1264500.05,1472287.96,2736788.01,32699806.69
45,100,73,AMPLIACIÓN 1,29135136.12,0,0,0,29135136.12,30,8740540.83,0,0,0,8740540.83
46,100,110,AMPLIACIÓN 2,32176146.28,0,0,0,32176146.28,0,0,0,0,0,0
47,101,,CONTRATO,75945836.05,2679029.27,9122626.68,11801655.95,64144180.1,60,35436594.7,803708.78,2736788.01,3540496.79,31896097.91
48,101,73,AMPLIACIÓN 1,29135136.12,0,0,0,29135136.12,30,8740540.83,0,0,0,8740540.83
49,101,110,AMPLIACIÓN 2,32176146.28,0,0,0,32176146.28,0,0,0,0,0,0
50,153,,CONTRATO,75945836.05,2265717.6,11801655.95,14067373.55,61878462.5,60,35436594.7,679715.28,3540496.79,4220212.07,31216382.63
51,153,73,AMPLIACIÓN 1,29135136.12,0,0,0,29135136.12,30,8740540.83,0,0,0,8740540.83
52,153,110,AMPLIACIÓN 2,32176146.28,0,0,0,32176146.28,0,0,0,0,0,0
53,197,,CONTRATO,75945836.05,2296803.31,14067373.55,16364176.86,59581659.19,60,35436594.7,689040.99,4220212.07,4909253.06,30527341.64
54,197,73,AMPLIACIÓN 1,29135136.12,0,0,0,29135136.12,30,8740540.83,0,0,0,8740540.83
55,197,110,AMPLIACIÓN 2,32176146.28,0,0,0,32176146.28,0,0,0,0,0,0
56,209,,CONTRATO,75945836.05,2125744.47,16364176.86,18489921.33,57455914.72,60,35436594.7,637723.34,4909253.06,5546976.4,29889618.3
57,209,73,AMPLIACIÓN 1,29135136.12,0,0,0,29135136.12,30,8740540.83,0,0,0,8740540.83
58,209,110,AMPLIACIÓN 2,32176146.28,0,0,0,32176146.28,0,0,0,0,0,0
59,267,,CONTRATO,75945836.05,2483408.31,18489921.33,20973329.64,54972506.41,60,35436594.7,745022.49,5546976.4,6291998.89,29144595.81
60,267,73,AMPLIACIÓN 1,29135136.12,0,0,0,29135136.12,30,8740540.83,0,0,0,8740540.83
61,267,110,AMPLIACIÓN 2,32176146.28,0,0,0,32176146.28,0,0,0,0,0,0
62,300,,CONTRATO,75945836.05,2353046.9,20973329.64,23326376.54,52619459.51,60,35436594.7,705914.07,6291998.89,6997912.96,28438681.74
