Id_Presupuesto,Id_Obra,Nombre,Tipo_Presupuesto,Id_Modalidad,Fecha_Adjudicacion,Id_Presupuesto_Pertenece,Clave,Numero_Ampliacion
1,33,A-1195-314-6301-H/0001/2010-1  PROYECTO EJECUTIVO DE LAS CALLES: MATILDE MONTOYA TRAMO: SOFIA ALVAREZ A ESPERANZA IRIS COL. LOS OLIVOS; CALLE ESPERANZA IRIS TRAMO: MATILDE MONTOYA A ORALIA DOMINGUEZ COL. LOS OLIVOS LEON,ORIGINAL,1,11/02/2010 00:00,,0,0
2,25,F-5051-236-7101-H/0002/2010  PROYECTO EJECUTIVO  DE LA CALLE 14 DE MAYO TRAMO: BLVD. JUAN JOSE TORRES LANDA A TIMOTEO LOZANO COL. MORELOS LEON,ORIGINAL,1,11/02/2010 00:00,,0,0
3,66,"B-5051-236-7101-H/0003/2010  PROYECTO EJECUTIVO DE LAS CALLES: BARODA TRAMO: CANAL DE SARDANETA-TIBET COL. CAÑON DE LA INDIA; BIRMANIA TRAMO: CADMANDU-FRENTE A LOS NUMEROS 220-219 COL. CAÑON DE LA INDIA; BISOTE TRAMO: ELEFANTE-ALCE COL. LOMAS ECHEVESTE; CERRO DE LOS MILAGROS TRAMO: CERRO DEL CUBO-CERRO DE LOS MILAGROS COL. ARBOLEDAS DE LOS CASTILLOS; HUIMILPAN TRAMO: GAMBOA-COFRADIA COL. EL PALOTE; PATRONA DE LA MUSICA TRAMO: CAMINO A LOS CASTILLOS- CISMA COL. SANTA CECILIA , LEON",ORIGINAL,1,11/02/2010 00:00,,0,0
4,14,B-5051-236-7101-H/0004/2010  PROYECTO EJECUTIVO DE LAS CALLES: ARTICULO 27 TRAMO: TIMOTEO LOZANO - ASAMBLEA DE QUERETARO COL. LIBERTAD; CALLE CARIBEÑA TRAMO: DE LA BAYA - SARMIENTO COL. SAN JOSE EL ALTO; Y DEL PARQUE TRAMO: DE LA MORADA - DE LA ALDEA COL. VILLAS DE LEON; LEON,ORIGINAL,1,11/02/2010 00:00,,0,0
5,27,B-5051-236-7101-H/0005/2010  PROYECTO EJECUTIVO DE LAS CALLES: ATANACIO HERNANDEZ TRAMO: MARIANO ESCOBEDO - MANUEL VALTIERRA COL. LAS HILAMAS; AV. 21 DE MARZO TRAMO: CALLE DOS - CALLE SEIS COL. FLORES MAGON; BUENAVENTURA TRAMO: ROSA MARIA GUTIERREZ - MARIANO ESCOBEDO COL. LAS HILAMAS; JUAN TORRES SEPTIEN TRAMO: ROSA MARIA GUTIERREZ - BLVD. MARIANO ESCOBEDO; CALLE KIUSSIO TRAMO: BLVD. LAS PALMAS - AND. TORIBIO ESQUIVEL COL. CD. SATELITE LUIS SUAREZ ZAMBRANO TRAMO: MARIANO ESCOBEDO FRENTE AL 440 - 439 COL. LAS HILAMAS Y CALLE LUIS SUAREZ SAMBRANO TRAMO: CEFERINO ORTIZ - FRANCISCO MATHEY COL. LAS HILAMAS; LEON,ORIGINAL,1,11/02/2010 00:00,,0,0
6,67,"B-5051-236-7101-H/0006/2010  PROYECTO EJECUTIVO DE LAS CALLES: ANTONIO TORRES GOMEZ TRAMO: RAFAEL CORRALES AYALA-STO. TOMAS DE AQUINO COL. SAN JOSE DEL CONSUELO; FOSFORO TRAMO: POTADIO-TITANIO COL. VALLE DE SEÑORA;  CALLE RAFAEL RANGEL TRAMO: JOAQUIN OBREGON-ANTONIO TORRES GOMEZ COL, SAN JOSE DEL CONSUELO II SECC. CALLE SANTO TOMAS DE AQUINO DE BLVD. ANTONIO TORRES GOMEZ A BLVD. TELLEZ CRUCES COL. SAN JOSE DEL CONSUELO LEON.",ORIGINAL,1,11/02/2010 00:00,,0,0
7,51,B-5051-236-7101-H/0007/2010  PROYECTO EJECUTIVO DE LAS CALLES: DURAZNO TRAMO: MANUEL GONZALEZ-TOPAR COL. LAS MANDARINAS; CALLE JICAMA TRAMO: AGUACATE-TOPAR AREA DE DONACION COL. LAS MANDARINAS LEON,ORIGINAL,1,15/02/2010 00:00,,0,0
8,6,B-5051-236-7101-H/0008/2010  PROYECTO EJECUTIVO DE LAS CALLES: DEL CAPOTE TRAMO: DEL TORERO-AV- CENTRAL COL. PLAZA DE TOROS II SECC; CALLA DEL TORIL TRAMO: AV. CENTRAL - DEL TORERO COL. PLAZA DE TOROS III SECC; PRIVADA CALLEJON DEL SAPO TRAMO: ALONSO ESPINO - TOPAR AL PONIENTE COL. INDUSTRIAL JUAREZ; RIO SAN FERNANDO TRAMO: AGUA MARINA - AV. CENTRAL FRACC. GUADALUPE LEON,ORIGINAL,1,15/02/2010 00:00,,0,0
9,7,B-5051-236-7101-H/0009/2010  PROYECTO EJECUTIVO DE LAS CALLES: JEREZ DE LULE TRAMO: BLVD. DELTA DE JEREZ - JEREZ DE ANTAÑO COL. VALLE DE JEREZ III SECC; JEREZ DEL DORADO TRAMO: JEREZ DE LA FRONTERA - JEREZ DE CARTAGENA COL. VALLE DE JEREZ; MADRE MAURA TRAMO: CERRO DEL SOYATE - MADRE TIERRA COL. DIEZ DE MAYO LEON,ORIGINAL,1,15/02/2010 00:00,,0,0
10,12,B-5051-236-7101-H/0010/2010  PROYECTO EJECUTIVO DE LAS CALLES: 2DO. ANDADOR HUIMILPAN TRAMO: HUIMILPAN - MAYAGUEZ COL. EL PALOTE CALLE ARRAMBERRI TRAMO: LOS HERRERA - BANGLADESH COL. NUEVO LEON,ORIGINAL,1,15/02/2010 00:00,,0,0
11,31,A-1199-316-6502-H/0011/2010  PROYECTO EJECUTIVO DE LA INTERSECCION A DESNIVEL DEL BLVD. JOSE MARIA MORELOS Y BLVD. ANTONIO MADRAZO  VARIAS COLONIAS LEÓN,ORIGINAL,1,15/02/2010 00:00,,0,0
12,11,B-5051-236-7101-H/0012/2010  PROYECTO EJECUTIVO DE LAS CALLES: ALMENDRO TRAMO: ALAMO - AVELLANO COL. ARBOLEDAS DE INFONAVIT; AVELLANO TRAMO: ROSSINI - CAPULIN COL. ARBOLEDAS DE INFONAVIT CALLE AVELLANO TRAMO: GUTY CARDENAS - CALLEJON COL. ARBOLEDAS DE INFONAVIT Y CAPULIN TRAMO: CASTAÑO - FRESNO COL. ARBOLEDAS DE INFONAVIT LEON,ORIGINAL,1,15/02/2010 00:00,,0,0
13,29,"H-2510-904-6101-D/0013/2010  EJE METROPOLITANO LEON- SILAO ( TRAMO: BLVD. JOSE MARIA MORELOS - BLVD. DELTA ) PAVIMENTACION CUERPO CENTRALES BLVD. JUAN ALONSO DE TORRES TRAMO: TRES PUENTES ALFARO OBRAS DE RE-DESAZOLVE, RECTIFICACION DE CAUSE Y VIALIDAD DE CAD. 0+400 AL 0+600",ORIGINAL,1,17/02/2010 00:00,,0,0
14,30,H-2510-904-6101-D/0014/2010  EJE METROPOLITANO LEON - SILAO ( TRAMO: BLVD. JOSE MARIA MORELOS - BLVD. DELTA ) ALUMBRADO Y ELECTRIFICACION BLVD. JUAN ALONSO DE TORRES ETAPA ONCE DE LOS CUERPOS CENTRALES DEL CAD. 0+273 A BLVD. DELTA LEON,ORIGINAL,1,17/02/2010 00:00,,0,0
15,30,AMPLIACION 1,AMPLIACION,1,17/02/2010 00:00,14,1,1
16,21,"H-2510-906-6902-E/0015/2010  SUBCOMANDANCIA DE POLICIA ( CONSTRUCCION DE BARDA EN LA DELEGACION DE POLICIA SUR EN LA CARRETERA LEON - CUERAMARO KM. 1.5 Y CONSTRUCCION DE BARDA EN LA CENTRAL DE POLICIA "" CEPOL"" UBICADA EN BLVD. LAS TORRES PONIENTE COL. PILETAS IV SECCION ) LEON",ORIGINAL,1,17/02/2010 00:00,,0,0
17,19,"A-2510-307-6101-D/0016/2010  PROGRAMA SIT SISTEMA INTEGRADO DE TRANSPORTE, SEMAFORIZACION DEL CORREDOR BLVD. TORRES LANDA TRAMO: BLVD. VENUSTIANO CARRANZA A CALLE OBRERO MUNDIAL LEON",ORIGINAL,1,17/02/2010 00:00,,0,0
18,17,"A-2510-307-6101-D/0017/2010  PROGRAMA SIT SISTEMA INTEGRADO DE TRANSPORTE, SUMINISTRO E INSTALACION DE CONTROLADORES PARA SEMAFOROS CORREDOR BLVD. TORRES LANDA TRAMO: BLVD. VENUSTIANO CARRANZA A CALLE OBRERO MUNDIAL LEON",ORIGINAL,1,17/02/2010 00:00,,0,0
19,18,"A-2510-307-6101-D/0018/2010  MANTENIMIENTO A LOS ELEMENTOS DEL PARQUE HIDALGO, DISTRIBUIDOR VIAL JUAN PABLO II, PARQUE BENITO JUAREZ Y AL MONUMENTO A LA INDUSTRAL LEONESA LEON",ORIGINAL,1,17/02/2010 00:00,,0,0
20,26,B-5051-236-7101-H/0019/2010  PROYECTO EJECUTIVO DE LAS CALLES: MADRE MONICA TRAMO: MADRE TIERRA - CERRO DEL ZOYATE COL. DIEZ DE MAYO; RANCHO QUEMADO TRAMO: CASCADA DE REGLA - CERRO DE LA BUFA COL. LOMAS DE JEREZ; VALLE DE MESOREA TRAMO: PROLONGACION RIO MAYO - VALLE JORDAN COL. VALLE DE SEÑORA SAN JOSE LEON,ORIGINAL,1,22/02/2010 00:00,,0,0
