Id_Recurso_Proyecto,Id_Unidad_Responsable,Clave,Id_Aportacion,Nombre
47,15,916,3,PROGRAMA PISO FIRME
38,15,805,2,ESTATAL
7,3,236,4,FIDOC
57,1,321,1,MUNICIPAL
45,1,348,1,APLICACION DE ESCALATORIAS
89,1,605,5,RAMO 33 FONDO 1
2,1,900,3,FEDERAL
68,5,337,1,MUNICIPAL
30,11,900,3,FEDERAL
53,15,313,1,PROGRAMA HABITAT
21,9,325,1,MUNICIPAL
6,1,309,1,MUNICIPAL
15,1,340,1,MUNICIPAL
42,15,911,3,FEDERAL
64,1,810,2,ESTATAL
41,1,356,1,PROYECTOS INSTITUCIONALES
77,15,100,1,BENEFICIARIOS ORATORIO SAN FELIPE NERI
96,7,326,1,MUNICIPAL
55,19,170,1,MUNICIPAL
76,1,921,3,FEDERAL
51,4,350,1,SERVICIOS DE CUARTEL DE LA MONTADA ALUMBRADO CISTE
93,9,313,1,MUNICIPAL
62,9,358,1,PROGRAMA MI PLAZA
81,8,813,2,ESTATAL
28,1,323,1,MUNICIPAL
78,15,816,2,ESTATAL
4,1,601,5,RAMO 33-I
95,1,319,1,MUNICIPAL
33,1,803,2,ESTATAL
69,15,901,3,FEDERAL
34,12,346,1,MUNICIPAL
88,10,461,1,MUNICIPAL
32,1,308,1,MUNICIPAL
71,17,349,1,MUNICIPAL
46,17,911,3,FEDERAL
66,1,307,1,ESCALATORIAS
87,15,919,3,FEDERAL
90,1,322,1,MUNICIPAL
5,1,357,1,MUNICIPAL
24,10,701,9,RAMO 33
31,1,304,1,MUNICIPAL
84,15,110,1,BENEFICIARIOS VITRALES CATEDRAL
94,15,924,3,FEDERAL
72,5,805,2,ESTATAL
75,1,924,3,FEDERAL
50,1,915,3,IEC/LEON/DPC/2011-01 ESCUELA DE MUSICA LUIS LEON
9,4,912,3,FEDERAL
86,1,815,2,ESTATAL
23,9,324,1,MUNICIPAL
20,8,318,1,MUNICIPAL
70,15,312,1,MUNICIPAL
1,1,300,1,MUNICIPAL
67,20,310,1,RECURSO MUNICIPAL
35,13,806,2,ESTATAL
58,5,343,1,MUNICIPAL
10,1,811,2,ESTATAL
29,1,328,1,MUNICIPAL
43,15,902,3,FEDERAL
48,15,314,1,PROGRAMA PISO FIRME
39,16,336,1,MUNICIPIO
92,1,320,1,MUNICIPAL
27,1,600,5,RAMO 33
44,15,611,5,HABITAT
97,1,906,3,FEDERAL
59,1,800,2,IPLANEG
52,15,361,1,OBRA MENOR DE ELECTRIFICACION
80,21,345,1,MUNICIPAL
26,1,603,5,RAMO 33 FI
37,14,316,1,MUNICIPAL
54,18,351,1,BLINDAJE C4
98,1,375,1,MUNICIPAL
60,5,607,5,RAMO 33 FONDO I
91,1,318,1,MUNICIPAL
79,15,360,1,MUNICIPAL
49,15,800,1,PROGRAMA PISO FIRME
85,5,608,5,FIDEICOMISO DE DESARROLLO RURAL (FIDER)
19,1,302,1,MUNICIPAL
