Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion,Id_Presupuesto
134,446,1,30/12/2011 00:00,30/12/2011 00:00,30/05/2012 00:00,536271.42,0,0,1,576
34,201,1,15/08/2011 00:00,15/08/2011 00:00,10/09/2011 00:00,208305.32,0,0,1,269
22,55,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,377804.65,0,0,1,97
19,69,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,296988.21,0,0,1,107
109,111,2,08/02/2012 00:00,08/02/2012 00:00,09/03/2012 00:00,1199687.96,30,359906.39,1,205
6,131,1,06/06/2011 00:00,06/06/2011 00:00,11/06/2011 00:00,444879.78,0,0,1,174
49,194,1,11/07/2011 00:00,11/07/2011 00:00,23/07/2011 00:00,99313.98,0,0,1,263
56,145,1,17/10/2011 00:00,17/10/2011 00:00,11/11/2011 00:00,1012240.68,0,0,1,162
136,261,1,06/02/2012 00:00,06/02/2012 00:00,15/02/2012 00:00,398844.05,0,0,1,353
97,223,2,22/12/2011 00:00,22/12/2011 00:00,11/01/2012 00:00,2000000.24,0,0,1,303
1,1,1,25/03/2011 00:00,25/03/2011 00:00,30/04/2011 00:00,1718181.12,30,515454.34,1,2
73,204,1,09/12/2011 00:00,09/12/2011 00:00,25/01/2012 00:00,1618638.23,30,485591.46,1,277
32,140,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,295501.56,0,0,1,79
94,304,1,30/12/2011 00:00,30/12/2011 00:00,28/01/2012 00:00,449764.4,0,0,1,423
39,101,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,294559.08,0,0,1,115
40,102,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,287898.64,0,0,1,117
67,162,1,30/10/2011 00:00,30/10/2011 00:00,05/11/2011 00:00,45334.68,0,0,1,212
29,60,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,216929.65,0,0,1,95
144,90,1,02/01/2012 00:00,02/01/2012 00:00,16/01/2012 00:00,71850.19,0,0,1,143
16,48,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,353987.08,0,0,1,73
105,352,1,17/02/2012 00:00,17/02/2012 00:00,25/02/2012 00:00,3332154.19,30,999646.26,1,444
154,13,2,04/03/2013 00:00,04/03/2013 00:00,23/03/2013 00:00,1633086.59,0,0,1,9
142,413,1,30/12/2011 00:00,30/12/2011 00:00,25/02/2012 00:00,240977.75,0,0,1,532
42,157,1,01/09/2011 00:00,01/09/2011 00:00,17/09/2011 00:00,254304.11,0,0,1,231
4,5,1,30/03/2011 00:00,30/03/2011 00:00,05/04/2011 00:00,500000,0,0,1,6
44,185,1,02/07/2011 00:00,02/07/2011 00:00,17/07/2011 00:00,175664.6,0,0,1,171
66,242,1,15/10/2011 00:00,15/10/2011 00:00,02/11/2011 00:00,40017.85,0,0,1,323
72,376,1,09/12/2011 00:00,09/12/2011 00:00,22/01/2012 00:00,618957.58,0,0,1,487
146,443,1,08/06/2012 00:00,08/06/2012 00:00,20/06/2012 00:00,68131.34,0,0,1,568
71,257,1,05/12/2011 00:00,05/12/2011 00:00,30/12/2011 00:00,307820.05,0,0,1,
118,325,1,20/02/2012 00:00,20/02/2012 00:00,04/03/2012 00:00,2198645.99,0,0,1,426
