Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion,Descripcion_Fianza,Importe_Fianza,Observaciones_Fianza
1,1,1,1213646,21/01/2011 00:00,21/01/2011 00:00,"FIANZAS MONTERREY, SA DE CV",21/01/2012 00:00,,50% ANTICIPO,842139.13,
2,1,2,1213631,21/01/2011 00:00,21/01/2011 00:00,"FIANZAS MONTERREY, SA DE CV",21/01/2012 00:00,,CUMPLIMIENTO,168427.82,
3,1,1,1213646-AMP,25/03/2011 00:00,25/03/2011 00:00,"FIANZAS MONTERREY, S.A.",25/03/2012 00:00,,30% ANT AMP,1357593.46,
4,1,2,1213631-AMP,25/03/2011 00:00,25/03/2011 00:00,"FIANZAS MONTERREY, SA DE CV",25/03/2012 00:00,,CUMPLIMIENTO,340245.93,
5,2,2,88104378,01/02/2011 00:00,01/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/02/2012 00:00,,CUMPLIMIENTO,84687.25,
6,5,1,88104380,04/02/2011 00:00,04/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,04/02/2012 00:00,,30% ANTICIPO,295852.95,
8,5,2,88104379-AMP,30/03/2011 00:00,30/03/2011 00:00,CHUB DE MEXICO COMPAÑIA AFIANZ,30/03/2012 00:00,,CUMPLIMIENTO AMPLIAC,148950.98,
9,13,2,1215937,02/02/2011 00:00,02/02/2011 00:00,"FIANZAS MONTERREY, S.A.",02/02/2012 00:00,,CUMPLIMIENTO,3943154.03,
10,13,1,1215936,02/02/2011 00:00,02/02/2011 00:00,"FIANZAS MONTERREY, S.A.",02/02/2012 00:00,,30% ANTICIPO,11829462.1,
11,13,2,1215937-AMP,04/03/2013 00:00,04/03/2013 00:00,"FIANZAS MONTERREY, S.A.",04/03/2014 00:00,,CUMPLIMIENTO,4283674,
12,6,1,88104654,02/02/2011 00:00,02/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,02/02/2012 00:00,,30% ANTICIPO,2876407.02,
13,6,2,88104656,02/02/2011 00:00,02/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,02/02/2012 00:00,,CUMPLIMIENTO,958802.34,
14,7,1,88104441,02/02/2011 00:00,02/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,02/02/2012 00:00,,30% ANTICIPO,6883363.57,
15,7,2,88104442,02/02/2011 00:00,02/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,02/02/2012 00:00,,CUMPLIMIENTO,2294454.52,
16,8,2,1216249,03/02/2011 00:00,03/02/2011 00:00,"FIANZAS MONTERREY, S.A. DE .V.",03/02/2012 00:00,,CUMPLIMIENTO,3038529.77,
17,8,1,1216247,03/02/2011 00:00,03/02/2011 00:00,"FIANZAS MONTERREY, S.A. DE .V.",03/02/2012 00:00,,30% ANTICIPO,9115589.33,
18,41,1,1218234,02/02/2011 00:00,02/02/2011 00:00,"FIANZAS MONTERREY, S.A.",02/02/2012 00:00,,15% ANTICIPO,14386820.69,
19,41,2,1218233,02/02/2011 00:00,02/02/2011 00:00,"FIANZAS MONTERREY, S.A.",02/02/2012 00:00,,CUMPLIMIENTO,9591213.79,
20,16,2,88105348,17/02/2011 00:00,17/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,17/02/2012 00:00,,CUMPLIMIENTO,81309.19,
21,9,2,1216344,02/02/2011 00:00,02/02/2011 00:00,"FIANZAS MONTERREY, S.A. DE C.V",02/02/2012 00:00,,CUMPLIMIENTO,108763.08,
22,9,1,1216352,02/02/2011 00:00,02/02/2011 00:00,"FIANZAS MONTERREY, S.A. DE C.V",02/02/2012 00:00,,30% ANTICIPO},326289.24,
23,27,1,88104590,02/02/2011 00:00,02/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,02/02/2012 00:00,,30% ANTICIPO,175200.5,
24,27,2,88104591,02/02/2011 00:00,02/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,02/02/2012 00:00,,CUMPLIMIENTO,58400.16,
25,10,1,1216465,04/02/2011 00:00,04/02/2011 00:00,FIANZAS MONTERREY SA DE CV,04/02/2012 00:00,,30% ANTICIPO,68090.93,
26,10,2,1216461,04/02/2011 00:00,04/02/2011 00:00,FIANZAS MONTERREY SA DE CV,04/02/2012 00:00,,CUMPLIMIENTO,22696.97,
27,11,2,1313334,02/02/2011 00:00,02/02/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",02/02/2012 00:00,,CUMPLIMIENTO,53059.94,
28,11,1,1312623,02/02/2011 00:00,02/02/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",02/02/2012 00:00,,30% ANTICIPO,159179.83,
29,12,2,881047,09/02/2011 00:00,09/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,09/02/2012 00:00,,CUMPLIMIENTO,198764.34,
30,12,1,881048,09/02/2011 00:00,09/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,09/02/2012 00:00,,30% ANTICIPO,483031.08,
31,12,1,88128560,16/12/2011 00:00,16/12/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,16/12/2012 00:00,,70% ANTICIPO AMP,264277.93,
32,4,1,88104939,02/02/2011 00:00,02/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,02/02/2012 00:00,,30% ANTICIPO,177056.36,
33,4,2,88104937,02/02/2011 00:00,02/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,02/02/2012 00:00,,CUMPLIMIENTO,59018.78,
34,17,2,88105337,18/02/2011 00:00,18/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/02/2012 00:00,,CUMPLIMIENTO,114655.69,
35,17,1,88105336,18/02/2011 00:00,18/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/02/2012 00:00,,30% ANTICIPO,343967.09,
36,19,1,88105755,25/02/2011 00:00,25/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,25/02/2012 00:00,,30% ANTICIPO,446703.04,
37,19,2,88105754,25/02/2011 00:00,25/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,25/02/2012 00:00,,CUMPLIMIENTO,148901.01,
38,25,2,88105861,25/02/2011 00:00,25/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,25/02/2012 00:00,,CUMPLIMIENTO,109979.35,
39,25,1,88105860,25/02/2011 00:00,25/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,25/02/2012 00:00,,30% ANTICIPO,329938.06,
40,28,2,1220793,28/02/2011 00:00,28/02/2011 00:00,"FIANZAS MONTERREY, S.A.",28/02/2012 00:00,,CUMPLIMIENTO,78953.89,
41,20,2,88105874,24/02/2011 00:00,24/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,24/02/2012 00:00,,CUMPLIMIENTO,161783.66,
42,20,1,88105873,24/02/2011 00:00,24/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,24/02/2012 00:00,,30% ANTICIPO,485350.99,
43,21,1,88105759,25/02/2011 00:00,25/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,25/02/2012 00:00,,30% ANTICIPO,702872.3,
44,21,2,88105758,25/02/2011 00:00,25/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,25/02/2012 00:00,,CUMPLIMIENTO,234290.76,
45,14,2,1317051,25/02/2011 00:00,25/02/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",25/02/2012 00:00,,CUMPLIMIENTO,64424.89,
46,22,2,88105858,25/02/2011 00:00,25/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,25/02/2012 00:00,,CUMPLIMIENTO,20766.18,
47,22,1,88105857,25/02/2011 00:00,25/02/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,25/02/2012 00:00,,30% ANTICIPO,62298.49,
48,30,2,4045-00035-3,28/02/2011 00:00,28/02/2011 00:00,"AFIANZADORA ASERTA, S.A. DE C.",28/02/2012 00:00,,CUMPLIMIENTO,24366.39,
49,30,1,4045-00034-0,28/02/2011 00:00,28/02/2011 00:00,"AFIANZADORA ASERTA, S.A. DE C.",28/02/2012 00:00,,30% ANTICIPO,73099.18,
50,31,1,88106188,04/03/2011 00:00,04/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,04/03/2012 00:00,,30% ANTICIPO,79573.32,
52,32,1,88106336,01/03/2011 00:00,01/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/03/2012 00:00,,30% ANTICIPO,156988.09,
54,32,2,88106335    AMP,20/06/2011 00:00,20/06/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,20/06/2012 00:00,,CUMPLIMIENTO,21196.74,
55,33,1,88106293,04/03/2011 00:00,04/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,04/03/2012 00:00,,30% ANTICIPO,880563.08,
56,33,2,88106291,04/03/2011 00:00,04/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,04/03/2012 00:00,,CUMPLIMIENTO,293521.02,
57,38,2,88106455,07/03/2011 00:00,07/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,07/03/2012 00:00,,CUMPLIMIENTO,36288.48,
58,38,1,88106454,07/03/2011 00:00,07/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,07/03/2012 00:00,,30% ANTICIPO,108865.46,
59,34,1,88106314,07/03/2011 00:00,07/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,07/03/2012 00:00,,30% ANTICIPO,99030.57,
60,34,2,88106315,07/03/2011 00:00,07/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,07/03/2012 00:00,,CUMPLIMIENTO,33010.19,
61,35,1,188-00265-0,08/03/2011 00:00,08/03/2011 00:00,"AFIANZADORA INSURGENTES, S.A.",08/03/2012 00:00,,30% ANTICIPO,204166.08,
62,35,2,188-00266-9,08/03/2011 00:00,08/03/2011 00:00,"AFIANZADORA INSURGENTES, S.A.",08/03/2012 00:00,,CUMPLIMIENTO,68055.36,
63,36,1,88106391,07/03/2011 00:00,07/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,07/03/2012 00:00,,30% ANTICIPO,85181.61,
64,36,2,88106390,07/03/2011 00:00,07/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,07/03/2012 00:00,,CUMPLIMIENTO,283936.87,
65,44,2,88106844,03/03/2011 00:00,03/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,03/03/2012 00:00,,CUMPLIMIENTO,104400,
66,44,1,88106844,03/03/2011 00:00,03/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,03/03/2012 00:00,,30% ANTICIPO,104400,
67,39,2,1223996,09/03/2011 00:00,09/03/2011 00:00,"FIANZAS MONTERREY, S.A.",09/03/2012 00:00,,CUMPLIMIENTO,28900.12,
68,39,1,1223997,09/03/2011 00:00,09/03/2011 00:00,"FIANZAS MONTERREY, S.A.",09/03/2012 00:00,,30% ANTICIPO,86700.37,
69,40,2,88106911,15/03/2011 00:00,15/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,15/03/2012 00:00,,CUMPLIMIENTO,49759.55,
70,40,1,88106912,15/03/2011 00:00,15/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,15/03/2012 00:00,,30% ANTICIPO,149278.67,
71,43,1,88107201,18/03/2011 00:00,18/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/03/2012 00:00,,30% ANTICIPO,152533.28,
72,43,2,88107203,18/03/2011 00:00,18/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/03/2012 00:00,,CUMPLIMIENTO,50844.42,
73,71,2,88107736,24/03/2011 00:00,24/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,24/03/2012 00:00,,CUMPLIMIENTO,151720.31,
74,71,1,88107738,24/03/2011 00:00,24/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,24/03/2012 00:00,,30% ANTICIPO,455160.94,
75,57,2,1058470,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,CUMPLIMIENTO,93642.81,
76,57,1,1058471,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,30% ANTICIPO,280928.43,
77,57,2,88116096-AMP,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,CUMPLIMIENTO,63729.58,
78,58,1,1058471,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,30% ANTICIPO,280928.43,
79,58,2,1058470,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,CUMPLIMIENTO,93642.81,
80,58,2,88116096-AMP,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,CUMPLIMIENTO,63729.58,
81,62,1,88108190,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,30% ANTICIPO,139988.85,
82,62,2,88108189,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,CUMPLIMIENTO,46662.95,
83,62,2,88108189-AMP,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,CUMPLIMIENTO,78426.68,
84,80,1,1324401,15/03/2011 00:00,15/03/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",15/03/2012 00:00,,30% ANTICIPO,539459.49,
85,80,2,1324638,15/03/2011 00:00,15/03/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",15/03/2012 00:00,,CUMPLIMINENTO,179819.83,
86,81,2,1323566,15/03/2011 00:00,15/03/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",15/03/2012 00:00,,CUMPLIMIENTO,344564.63,
87,81,1,1323565,15/03/2011 00:00,15/03/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",15/03/2012 00:00,,30% ANTICIPO,1033693.91,
88,65,1,88108269,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,30% ANTICIPO,193428.76,
89,65,2,88108268,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,CUMPLIMIENTO,64476.25,
90,67,2,1229241,05/04/2011 00:00,05/04/2011 00:00,"FIANZAS MONTERREY, S.A.",05/04/2012 00:00,,CUMPLIMIENTO,41393.86,
91,67,1,1229243,05/04/2011 00:00,05/04/2011 00:00,"FIANZAS MONTERREY, S.A.",05/04/2012 00:00,,30% ANTICIPO,124181.57,
92,67,2,1229241-AMP,04/07/2011 00:00,04/07/2011 00:00,"FIANZAS MONTERREY, S.A. DE C.V",04/07/2012 00:00,,CUMPLIMIENTO,71871.93,
93,48,2,1227849,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A.",28/03/2012 00:00,,CUMPLIMIENTO,142713.99,
94,48,1,1227854,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A.",28/03/2012 00:00,,30% ANTICIPO,428141.99,
95,48,2,1227849-AMP,01/07/2011 00:00,01/07/2011 00:00,"FIANZAS MONTERREY, S.A.",01/07/2012 00:00,,CUMPLIMIENTO,240501.75,
96,49,2,1227849,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A.",28/03/2012 00:00,,CUMPLIMIENTO,142713.99,
97,49,1,1227854,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A.",28/03/2012 00:00,,30% ANTICIPO,428141.99,
98,49,2,1227849-AMPLIACION,01/07/2011 00:00,01/07/2011 00:00,"FIANZAS MONTERRE, S.A.",01/07/2012 00:00,,CUMPLIMIENTO,240501.75,
99,50,2,1227849,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A,",28/03/2012 00:00,,CUMPLIMIENTO,142713.99,
100,50,1,1227854,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A,",28/03/2012 00:00,,30% ANTICIPO,428141.99,
101,50,2,1227849-AMP,01/07/2011 00:00,01/07/2011 00:00,"FIANZAS MONTERREY, S.A.",01/07/2012 00:00,,CUMPLIMIENTO,240501.75,
102,140,1,4081-00283-0,28/03/2011 00:00,28/03/2011 00:00,"AFIANZADORA ASERTA, S.A. DE C.",28/03/2012 00:00,,30% ANTICIPO,120376.19,
103,140,2,4081-00282-5,28/03/2011 00:00,28/03/2011 00:00,"AFIANZADORA ASERTA, S.A. DE C.",28/03/2012 00:00,,CUMPLIMIENTO,40125.4,
104,59,1,1228390,05/04/2011 00:00,05/04/2011 00:00,"FIANZAS MONTERREY, S.A.",05/04/2012 00:00,,30% ANTICIPO,146918.57,
105,59,2,1228392,05/04/2011 00:00,05/04/2011 00:00,"FIANZAS MONTERREY, S.A.",05/04/2012 00:00,,CUMPLIMIENTO,48972.86,
106,59,2,1228392-AMP,04/07/2011 00:00,04/07/2011 00:00,"FIANZAS MONTERREY, S.A. DE C.V",04/07/2012 00:00,,CUMPLIMIENTO,82277.08,
107,68,2,88107957,18/03/2011 00:00,18/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/03/2012 00:00,,CUMPLIMIENTO,48566.85,
108,68,1,88107959,18/03/2011 00:00,18/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,18/03/2012 00:00,,30% ANTICIPO},145700.57,
109,68,2,88107957-AMP,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,CUMPLIMIENTO,33031.39,
110,51,2,1227890,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A.",28/03/2012 00:00,,CUMPLIMIENTO,86383,
111,51,1,1227891,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A.",28/03/2012 00:00,,30% ANTICIPO,259149.02,
112,51,2,1227890-AMP,01/07/2011 00:00,01/07/2011 00:00,"FIANZAS MONTERREY, SA",01/07/2012 00:00,,CUMPLIMIENTO,145231.96,
113,52,2,1227890,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A.",28/03/2012 00:00,,CUMPLIMIENTO,86383,
114,52,1,1227891,28/03/2011 00:00,28/03/2011 00:00,"FIANZAS MONTERREY, S.A.",28/03/2012 00:00,,30% ANTICIPO,259149.02,
115,52,2,1227890-AMP,01/07/2011 00:00,01/07/2011 00:00,"FIANZAS MONTERREY, S.A.",01/07/2012 00:00,,CUMPLIMIENTO,145231.96,
116,53,1,88108018,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,30% ANTICIPO,267183.58,
117,53,2,88108017,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,CUMPLIMIENTO,89061.19,
118,53,2,88108017-AMP,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,CUMPLIMIENTO,149683.46,
119,54,1,88108018,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,30% ANTICIPO,267183.58,
120,54,2,88108017,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,CUMPLIMIENTO,89061.19,
121,82,1,88108719,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,30% ANTICIPO,88429.37,
122,82,2,88108716,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,CUMPLIMIENTO,29476.46,
123,82,2,88108716-AMP,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,CUMPLIMIENTO,60549.54,
124,60,2,1058472,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,CUMPLIMIENTO,29347.56,
125,60,1,1058473,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,30% ANTICIPO,88042.69,
126,60,2,88116105-AMP,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,CUMPLIMIENTO,21692.96,
127,55,1,1058465,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,30% ANTICIPO,126153.83,
128,55,2,1058464,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,CUMPLIMIENTO,42051.28,
129,55,2,1058464-AMP,01/07/2011 00:00,01/07/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",01/07/2012 00:00,,CUMPLIMIENTO,37780.46,
130,56,1,88108091,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,30% ANTICIPO,112697.75,
131,56,2,88108089,28/03/2011 00:00,28/03/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,28/03/2012 00:00,,CUMPLIMIENTO,37565.91,
132,56,2,88108089-AMP,01/07/2011 00:00,01/07/2011 00:00,CHUBB AFIANZADORA SA DE CV,01/07/2012 00:00,,CUMPLIMIENTO,26523.49,
133,61,2,1057556,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,CUMPLIMIENTO,30131.13,
134,61,1,1057575,28/03/2011 00:00,28/03/2011 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",28/03/2012 00:00,,30% ANTICIPO,90393.39,
135,61,2,88115081-AMP,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,CUMPLIMIENTO,24571.97,
136,46,2,88108155,01/04/2011 00:00,01/04/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/04/2012 00:00,,CUMPLIMIENTO,45461.09,
137,46,2,88108155-AMP,04/07/2011 00:00,04/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,04/07/2012 00:00,,CUMPLIMIENTO,40537.4,
138,70,2,88116100,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,CUMPLIMIENTO,25497.76,
139,70,1,1227795,01/07/2011 00:00,01/07/2011 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,01/07/2012 00:00,,30% ANTICIPO,85734.09,
140,69,2,1330312,07/04/2011 00:00,07/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",07/04/2012 00:00,,CUMPLIMIENTO,40304.41,
141,69,1,1330305,07/04/2011 00:00,07/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",07/04/2012 00:00,,30% ANTICIPO,120913.23,
142,69,2,1330312-AMP,29/07/2011 00:00,29/07/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",29/07/2012 00:00,,CUMPLIMIENTO,29698.82,
143,63,2,1227795,01/01/2011 00:00,01/01/2011 00:00,"FIANZAS MONTERREY, S.A.",01/01/2012 00:00,,CUMPLIMIENTO,49087.02,
144,63,1,1227792,01/01/2011 00:00,01/01/2011 00:00,"FIANZAS MONTERREY, S.A.",01/01/2012 00:00,,30% ANTICIPO,147261.07,
145,47,2,1227547,01/04/2011 00:00,01/04/2011 00:00,FIANZAS MONTERREY SA,01/04/2012 00:00,,CUMPLIMIENTO,49052.67,
146,47,1,1227551,01/04/2011 00:00,01/04/2011 00:00,FIANZAS MONTERREY SA,01/04/2012 00:00,,30% ANTICIPO,147158,
147,47,2,1227547-AMP,04/07/2011 00:00,04/07/2011 00:00,FIANZAS MONTERREY SA,04/07/2012 00:00,,CUMPLIMIENTO,82408.12,
148,100,1,1332501,01/04/2011 00:00,01/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/04/2012 00:00,,30% ANTICIPO,397234.17,
149,100,2,1332510,01/04/2011 00:00,01/04/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/04/2012 00:00,,CUMPLIMIENTO,132411.39,
150,100,2,1332510  AMP,01/07/2011 00:00,01/07/2011 00:00,"AFIANZADORA SOFIMEX, S.A.",01/07/2012 00:00,,CUMPLIMIENTO AMP,90382.69,
