Id_Estimacion,Id_Contrato,No_Estimacion,Fecha_Estimacion,Avance_Fisico,Avance_Financiero,Fecha_Inicio_Estimacion,Fecha_Termino_Estimacion,Estatus,Tipo_Estimacion,Descripcion,No_Factura,Fecha_Factura,Fecha_Recibo,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Fecha_Suspension,Fecha_Reinicio,Fecha_Ampliacion,Fecha_Prorroga,Fecha_Ultima_Inicio_Contrato,Fecha_Ultima_Termino_Contrato,Caratula_Contrato_Estimado,Caratula_Contrato_IVA,Caratula_Contrato_Total,Caratula_Contrato_Amortizacion,Caratula_Contrato_Suma,Caratula_Contrato_Descuentos,Caratula_Contrato_Deducciones,Caratula_Contrato_Neto,Caratula_Ampliacion_Estimado,Caratula_Ampliacion_IVA,Caratula_Ampliacion_Total,Caratula_Ampliacion_Amortizacion,Caratula_Ampliacion_Suma,Caratula_Ampliacion_Descuentos,Caratula_Ampliacion_Deducciones,Caratula_Ampliacion_Neto,Caratula_Totales_Estimado,Caratula_Totales_IVA,Caratula_Totales_Total,Caratula_Totales_Amortizacion,Caratula_Totales_Suma,Caratula_Totales_Descuentos,Caratula_Totales_Deducciones,Caratula_Totales_Neto,Resumen_Contrato_Importe,Resumen_Contrato_Actual,Resumen_Contrato_Anterior,Resumen_Contrato_Acumulado,Resumen_Contrato_Por_Ejercer,Resumen_Ampliacion_Importe,Resumen_Ampliacion_Actual,Resumen_Ampliacion_Anterior,Resumen_Ampliacion_Acumulado,Resumen_Ampliacion_Por_Ejercer,Resumen_Total_Importe,Resumen_Total_Actual,Resumen_Total_Anterior,Resumen_Total_Acumulado,Resumen_Total_Por_Ejercer,Amortizacion_Contrato_Porcentaje,Amortizacion_Contrato_Importe,Amortizacion_Contrato_Actual,Amortizacion_Contrato_Anterior,Amortizacion_Contrato_Acumulado,Amortizacion_Contrato_Por_Ejercer,Amortizacion_Ampliacion_Porcentaje,Amortizacion_Ampliacion_Importe,Amortizacion_Ampliacion_Actual,Amortizacion_Ampliacion_Anterior,Amortizacion_Ampliacion_Acumulado,Amortizacion_Ampliacion_Por_Ejercer,Importe_Sancion,No_Control,Id_Fuente_Inversion,Numero_Oficio_Excedentes,Fecha_Oficio_Excedentes,Fecha_Registro,Fecha_Pago,Observaciones_Caratula,Observaciones_Generales,Imprime_Observaciones_Generales,Pagada,Fecha_Nuevo_Termino_Por_Reinicio
1,4,1,28/02/2011 00:00,4.81,4.81,22/02/2011 00:00,28/02/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2011 00:00,28/02/2011 00:00,22/02/2011,15/05/2011,,,,26/06/2011,22/02/2011,26/06/2011,24469.44,3915.11,28384.55,8515.37,19869.18,293.63,415.98,19453.2,0,0,0,0,0,0,0,0,24469.44,3915.11,28384.55,8515.37,19869.18,293.63,415.98,19453.2,590187.86,28384.55,0,28384.55,561803.31,0,0,0,0,0,590187.86,28384.55,0,28384.55,561803.31,30,177056.36,8515.37,0,8515.37,168540.99,0,0,0,0,0,0,122.35,1,,0001/2011,28/02/2011 00:00,01/03/2011 00:00,31/12/2011 00:00,,,0,0,
2,4,2,10/03/2011 00:00,10.1,10.1,01/03/2011 00:00,10/03/2011 00:00,AUTORIZADA,NORMAL,EST. 2,,10/03/2011 00:00,10/03/2011 00:00,22/02/2011,15/05/2011,,,,26/06/2011,22/02/2011,26/06/2011,26908.54,4305.37,31213.91,9364.17,21849.74,322.91,457.45,21392.29,0,0,0,0,0,0,0,0,26908.54,4305.37,31213.91,9364.17,21849.74,322.91,457.45,21392.29,590187.86,31213.91,28384.55,59598.46,530589.4,0,0,0,0,0,590187.86,31213.91,28384.55,59598.46,530589.4,30,177056.36,9364.17,8515.37,17879.54,159176.82,0,0,0,0,0,0,134.54,1,,0003/2011,10/03/2011 00:00,10/03/2011 00:00,31/12/2011 00:00,,,0,0,
3,14,1,08/03/2011 00:00,98.5,98.5,01/03/2011 00:00,06/03/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,08/03/2011 00:00,08/03/2011 00:00,,,,,,,01/03/2011,06/03/2011,547045.78,87527.32,634573.1,0,634573.1,6564.55,6564.55,628008.55,0,0,0,0,0,0,0,0,547045.78,87527.32,634573.1,0,634573.1,6564.55,6564.55,628008.55,644248.92,634573.1,0,634573.1,9675.82,0,0,0,0,0,644248.92,634573.1,0,634573.1,9675.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0003/2011,06/03/2011 00:00,11/03/2011 00:00,31/12/2011 00:00,,,0,0,
4,14,1,09/03/2011 00:00,100,100,01/03/2011 00:00,06/03/2011 00:00,AUTORIZADA,COMPLEMENTARIA,1A COMP. FINIQUITO,,09/03/2011 00:00,09/03/2011 00:00,,,,,,,01/03/2011,06/03/2011,8341.16,1334.59,9675.75,0,9675.75,100.09,100.09,9575.66,0,0,0,0,0,0,0,0,8341.16,1334.59,9675.75,0,9675.75,100.09,100.09,9575.66,644248.92,9675.75,634573.1,644248.85,0.07,0,0,0,0,0,644248.92,9675.75,634573.1,644248.85,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,09/03/2011 00:00,11/03/2011 00:00,31/12/2011 00:00,,,0,0,
5,11,1,28/02/2011 00:00,5.76,5.76,25/02/2011 00:00,28/02/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2011 00:00,28/02/2011 00:00,25/02/2011,04/05/2011,,,,,25/02/2011,04/05/2011,26344.88,4215.18,30560.06,9168.02,21392.04,316.14,316.14,21075.9,0,0,0,0,0,0,0,0,26344.88,4215.18,30560.06,9168.02,21392.04,316.14,316.14,21075.9,530599.43,30560.06,0,30560.06,500039.37,0,0,0,0,0,530599.43,30560.06,0,30560.06,500039.37,30,159179.83,9168.02,0,9168.02,150011.81,0,0,0,0,0,0,0,1,,1500/2010,28/02/2011 00:00,16/03/2011 00:00,31/12/2011 00:00,,,0,0,
6,1,1,28/02/2011 00:00,60.62,60.62,07/02/2011 00:00,28/02/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2011 00:00,28/02/2011 00:00,,,,,30/04/2011,11/06/2011,07/02/2011,11/06/2011,887805.22,142048.84,1029854.06,514927.03,514927.03,10653.66,10653.66,504273.37,0,0,0,0,0,0,0,0,887805.22,142048.84,1029854.06,514927.03,514927.03,10653.66,10653.66,504273.37,1698924.15,1029854.06,0,1029854.06,669070.09,1718181.12,0,0,0,1718181.12,3417105.27,1029854.06,0,1029854.06,2387251.21,50,842139.13,514927.03,0,514927.03,327212.1,30,515454.34,0,0,0,515454.34,0,1,,0003/2011,28/02/2011 00:00,17/03/2011 00:00,31/12/2011 00:00,,,0,0,
7,8,1,28/02/2011 00:00,1.13,1.13,18/02/2011 00:00,28/02/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,28/02/2011 00:00,28/02/2011 00:00,18/02/2011,19/07/2011,,,,10/10/2011,18/02/2011,10/10/2011,294943.97,47191.04,342135.01,102640.5,239494.51,5014.05,5014.05,234480.46,0,0,0,0,0,0,0,0,294943.97,47191.04,342135.01,102640.5,239494.51,5014.05,5014.05,234480.46,30385297.76,342135.01,0,342135.01,30043162.75,0,0,0,0,0,30385297.76,342135.01,0,342135.01,30043162.75,30,9115589.33,102640.5,0,102640.5,9012948.83,0,0,0,0,0,0,0,1,,0005/2011,28/02/2011 00:00,17/03/2011 00:00,31/12/2011 00:00,,,0,0,
8,8,2,15/03/2011 00:00,17.55,17.55,01/03/2011 00:00,15/03/2011 00:00,AUTORIZADA,NORMAL,EST. 2,,15/03/2011 00:00,15/03/2011 00:00,18/02/2011,19/07/2011,,,,10/10/2011,18/02/2011,10/10/2011,4301792.6,688286.82,4990079.42,1497023.83,3493055.59,73130.48,73130.48,3419925.11,0,0,0,0,0,0,0,0,4301792.6,688286.82,4990079.42,1497023.83,3493055.59,73130.48,73130.48,3419925.11,30385297.76,4990079.42,342135.01,5332214.43,25053083.33,0,0,0,0,0,30385297.76,4990079.42,342135.01,5332214.43,25053083.33,30,9115589.33,1497023.83,102640.5,1599664.33,7515925,0,0,0,0,0,0,0,1,,,15/03/2011 00:00,17/03/2011 00:00,31/12/2011 00:00,,,0,0,
9,25,1,18/03/2011 00:00,6.54,6.54,16/03/2011 00:00,18/03/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,18/03/2011 00:00,18/03/2011 00:00,16/03/2011,18/04/2011,,,18/04/2011,10/05/2011,16/03/2011,10/05/2011,61965.31,9914.45,71879.76,21563.93,50315.83,743.58,743.58,49572.25,0,0,0,0,0,0,0,0,61965.31,9914.45,71879.76,21563.93,50315.83,743.58,743.58,49572.25,1099793.53,71879.76,0,71879.76,1027913.77,40000,0,0,0,40000,1139793.53,71879.76,0,71879.76,1067913.77,30,329938.06,21563.93,0,21563.93,308374.13,0,0,0,0,0,0,0,1,,,18/03/2011 00:00,22/03/2011 00:00,31/12/2011 00:00,,,0,0,
10,17,1,23/03/2011 00:00,59.63,59.63,28/02/2011 00:00,23/03/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,23/03/2011 00:00,23/03/2011 00:00,,,,,,,28/02/2011,21/05/2011,589435.13,94309.62,683744.75,205123.43,478621.32,7073.22,7073.22,471548.1,0,0,0,0,0,0,0,0,589435.13,94309.62,683744.75,205123.43,478621.32,7073.22,7073.22,471548.1,1146556.96,683744.75,0,683744.75,462812.21,0,0,0,0,0,1146556.96,683744.75,0,683744.75,462812.21,30,343967.09,205123.43,0,205123.43,138843.66,0,0,0,0,0,0,0,1,,0015/2011,23/03/2011 00:00,25/03/2011 00:00,31/12/2011 00:00,,,0,0,
11,22,1,24/03/2011 00:00,88.89,88.89,07/03/2011 00:00,21/03/2011 00:00,AUTORIZADA,NORMAL,EST. 1,,24/03/2011 00:00,24/03/2011 00:00,,,,,,,07/03/2011,26/03/2011,159127.68,25460.43,184588.11,55376.43,129211.68,1909.54,1909.54,127302.14,0,0,0,0,0,0,0,0,159127.68,25460.43,184588.11,55376.43,129211.68,1909.54,1909.54,127302.14,207661.62,184588.11,0,184588.11,23073.51,0,0,0,0,0,207661.62,184588.11,0,184588.11,23073.51,30,62298.49,55376.43,0,55376.43,6922.06,0,0,0,0,0,0,0,1,,,24/03/2011 00:00,25/03/2011 00:00,31/12/2011 00:00,,,0,0,
