Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
1,6,,CONTRATO,1698924.15,1029854.06,0,1029854.06,669070.09,50,842139.13,514927.03,0,514927.03,327212.1
2,6,1,AMPLIACIÓN 1,1718181.12,0,0,0,1718181.12,30,515454.34,0,0,0,515454.34
3,53,,CONTRATO,1698924.15,496751.47,1029854.06,1526605.53,172318.62,50,842139.13,327212.1,514927.03,842139.13,0
4,53,1,AMPLIACIÓN 1,1718181.12,0,0,0,1718181.12,30,515454.34,70189.08,0,70189.08,445265.26
5,370,,CONTRATO,1698924.15,172318.61,1526605.53,1698924.14,0.01,50,842139.13,0,842139.13,842139.13,0
6,370,1,AMPLIACIÓN 1,1718181.12,93155.25,0,93155.25,1625025.87,30,515454.34,0,70189.08,70189.08,445265.26
7,515,,CONTRATO,1698924.15,0.01,1698924.14,1698924.15,0,50,842139.13,0,842139.13,842139.13,0
8,515,1,AMPLIACIÓN 1,1718181.12,642830.26,93155.25,735985.51,982195.61,30,515454.34,176560.57,70189.08,246749.65,268704.69
9,913,,CONTRATO,1698924.15,0,1698924.15,1698924.15,0,50,842139.13,0,842139.13,842139.13,0
10,913,1,AMPLIACIÓN 1,1718181.12,141219.54,735985.51,877205.05,840976.07,30,515454.34,42365.86,246749.65,289115.51,226338.83
11,914,,CONTRATO,1698924.15,0,1698924.15,1698924.15,0,50,842139.13,0,842139.13,842139.13,0
12,914,1,AMPLIACIÓN 1,1718181.12,80395.44,877205.05,957600.49,760580.63,30,515454.34,24118.63,289115.51,313234.14,202220.2
13,1130,,CONTRATO,1698924.15,0,1698924.15,1698924.15,0,50,842139.13,0,842139.13,842139.13,0
14,1130,1,AMPLIACIÓN 1,1718181.12,682433.63,957600.49,1640034.12,78147,30,515454.34,202220.2,313234.14,515454.34,0
