Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
5101,65,1,609.4
5244,138,3,995.33
6519,853,1,1284.01
6826,1037,3,900.46
8805,2408,2,2136.33
9475,2890,1,216.11
9477,2894,1,51.87
7341,1380,1,545.13
7738,1689,1,201.08
9267,2738,1,75.78
5027,23,3,564.14
5099,64,1,537.37
7677,1649,3,1266.29
8537,2235,1,126.13
8600,2277,1,342.42
9302,2763,3,148.43
5606,344,3,104.96
5617,350,1,3370.09
5760,432,3,362.83
6388,783,1,148.55
5265,150,1,176.73
5631,356,3,4981.12
5713,405,3,915.95
7655,1633,2,1381.45
7787,1725,3,3780.43
8569,2255,3,172.21
4989,3,3,5470.46
7097,1211,3,4046.49
7395,1426,2,496.19
8571,2256,3,117.91
8975,2518,3,1068.02
6225,692,1,49.98
7792,1729,2,1929.61
4997,7,2,1474.72
5569,323,1,491.89
5943,530,3,1856.32
6526,857,1,102.38
7619,1609,2,79.63
5042,33,1,292.67
5392,222,3,344.33
6644,928,3,1008.13
7092,1207,1,49.95
9333,2782,2,2098.19
9403,2836,3,2396.51
9407,2839,2,1908.46
5742,423,1,189.92
6105,623,3,1430.56
6352,760,3,1613.94
9394,2822,1,7533.91
7244,1305,1,179.79
7860,1771,2,82.62
5867,489,3,3019.97
6414,798,1,303.6
6732,986,1,2782.16
7573,1571,2,733.08
5541,309,1,40.47
8342,2114,3,3722.41
9166,2657,2,1373.14
9446,2865,2,829.36
5160,95,1,227.82
6108,627,1,250.54
6982,1139,1,16.92
7030,1169,3,735.95
8388,2146,1,94.57
8710,2345,3,977.26
9375,2806,3,1186.12
9532,2930,1,446.12
9574,2959,1,225.9
6413,797,3,1907.32
6980,1138,1,273.47
7654,1629,3,16259.5
5526,297,3,2713.27
7774,1717,1,135.58
8585,2264,3,1173.15
9252,2726,1,878.95
5333,187,3,1821.47
5715,406,3,516.93
6238,700,1,39.47
6750,996,1,204.85
9256,2728,1,15.54
9352,2793,3,51.6
6473,829,1,166.93
8339,2112,3,849.87
9119,2619,2,194.8
9350,2792,3,1076.34
9466,2881,3,10989.31
5899,505,3,218.42
7035,1172,2,194.93
8314,2099,1,141.61
5327,184,3,946.52
6250,706,1,174.87
6357,763,1,953.74
6494,839,3,2426.27
7267,1327,1,317.31
7462,1475,2,649.3
8466,2191,3,327.91
9111,2613,3,5939.02
9208,2688,2,3847.21
5278,156,3,2409.44
6417,799,3,5114.13
6483,834,1,922.78
6799,1024,1,46.65
6845,1052,3,632.89
7647,1626,2,4683.06
9106,2610,3,1081.01
9177,2665,3,1408.98
9355,2795,3,752.68
5354,197,3,21733.64
7776,1718,2,3656.65
8741,2365,2,461.09
9390,2817,3,32131.1
5191,112,3,296.66
5537,305,1,262.75
7106,1217,3,1381.54
6452,816,3,347.43
7223,1291,3,2469.8
7322,1364,1,30.13
5463,262,3,329.58
6215,686,3,238.59
6269,716,1,274.17
6389,783,3,742.76
7500,1507,2,91.77
8020,1897,3,165.16
8043,1912,1,8202.55
8883,2457,1,664.8
6875,1074,3,648.15
8688,2330,3,1070.43
6200,678,1,463.55
6424,802,3,17507
8240,2049,3,118.93
9135,2628,3,9957.42
5425,243,1,658.62
5510,290,1,391.36
6842,1051,1,60.02
7950,1848,3,12404.61
8041,1911,1,363.37
7450,1469,1,558.24
7745,1693,1,1193.53
8181,2011,1,2870.49
8794,2401,1,1895.09
9019,2551,3,13803.99
9075,2593,2,174.1
5302,168,3,341.63
5465,263,3,307.54
8628,2294,3,12111.23
5539,308,1,141.18
5746,426,1,93.14
8848,2438,1,2067.97
5514,292,1,147.18
5765,435,1,638.6
7034,1171,3,814.71
7445,1465,3,6163.06
8897,2466,2,252.82
5350,196,2,1029.16
5669,377,3,2875.88
9002,2539,2,1060.33
9079,2596,1,16.94
9088,2601,1,758.84
6588,892,1,99.21
7308,1354,2,74.24
8398,2151,1,56.6
8590,2268,2,107.13
8783,2393,3,605.53
6127,637,3,795.69
4992,5,1,52.69
5061,44,3,2139.39
5309,172,3,245.51
7336,1373,2,242.04
7347,1387,2,1798.99
6111,628,3,527.65
6578,887,1,791.64
6987,1141,3,7046.43
7317,1359,3,2737.53
5567,322,1,43.49
5657,371,3,1287.57
5740,422,1,332.16
7472,1484,1,260.57
7476,1486,1,191.9
7684,1654,2,1122.2
8739,2364,1,44.8
5696,395,1,184.72
6037,582,3,2208.4
6167,658,3,1379.51
6437,809,1,62.28
7676,1649,1,253.26
5259,147,1,171.72
5314,176,1,272.44
5472,267,1,373.25
5476,269,1,132.97
6423,802,2,8753.5
7388,1418,3,3029.5
5373,211,1,64.1
5643,363,3,6326.85
5929,523,3,967.88
6484,834,3,4613.88
7690,1657,3,763.24
8980,2522,2,327.05
9312,2769,1,511.82
5067,47,3,423.2
5660,373,1,200.58
6907,1093,3,341.13
7016,1161,3,7608.69
7526,1531,2,71.39
9037,2565,3,1291.51
6599,903,1,80.74
8588,2266,3,36.32
5822,464,2,224.54
8614,2284,3,280.54
5971,545,3,1628.78
6095,617,3,2621.54
6213,685,3,2375.37
6560,875,1,72.57
7516,1523,3,10397.52
7802,1735,3,2286.57
7872,1780,2,3634.01
8609,2281,3,423.98
8827,2427,1,978.45
9376,2808,2,925.33
5337,189,3,2342.36
5702,399,1,835.26
5717,407,3,58.52
7254,1319,3,1117.45
7987,1874,2,853.1
5692,393,1,199.35
6120,633,1,971.94
9074,2592,3,628.83
6181,665,1,870.12
8970,2516,1,632.14
6304,733,3,856.42
6984,1140,1,210.96
7479,1488,2,779.04
7831,1753,1,413.15
5534,302,3,1725.48
6055,594,3,2548.15
6178,663,3,3662.71
6687,956,3,611.97
8520,2224,3,928.38
8680,2325,1,164.08
9243,2717,2,2904.65
6319,741,1,2290.14
6372,775,1,585.64
9323,2776,1,78.38
6757,1000,1,1035.63
9528,2928,3,2065.06
5081,54,3,277.92
6161,655,3,458.64
6418,800,1,137.35
7465,1477,2,22.67
8586,2265,2,0.98
8650,2306,3,1474.31
5028,24,1,120.87
5803,454,1,422.06
6231,696,3,200.92
6760,1002,3,651.07
7698,1663,1,782.82
7834,1754,3,15805.23
8291,2084,3,1395.2
8438,2175,1,971.94
8735,2362,1,773.49
5103,66,1,399.14
5239,136,1,148.82
5359,201,1,24.22
6534,861,1,289.49
7027,1167,2,97.36
8123,1968,1,185.29
8354,2121,3,473.95
8812,2415,2,1441.24
9427,2850,3,1607.61
5256,144,3,3942.15
7428,1450,1,274.57
8626,2293,2,3019.04
6275,719,1,698.95
8058,1920,1,786.18
8568,2255,1,34.44
9058,2582,2,1047.3
9356,2796,1,11.89
9522,2925,2,1476.17
6860,1065,3,1088.57
7286,1339,1,245
8364,2127,1,142.69
8831,2429,1,309.8
6266,714,3,1705.52
7568,1567,1,7.85
8522,2225,3,11113.03
8808,2411,3,2609.05
9470,2887,3,7568.76
9482,2896,3,98.43
9526,2928,1,413.01
5192,113,1,399.46
5243,138,1,199.07
5540,308,3,705.89
6768,1006,3,118.1
7278,1334,2,3273.16
8558,2249,3,282.27
9070,2590,3,728.29
9297,2759,2,4366.36
9468,2885,3,21186.79
5008,12,1,46.19
5590,335,3,668.11
6262,712,2,1506.28
7051,1181,1,385.52
6720,979,1,614.07
6870,1072,1,74.86
7111,1221,1,63.99
5441,251,3,7255.46
5480,273,1,320.05
5695,394,3,311.09
7005,1155,1,2007.21
7512,1519,3,423.89
8697,2336,2,728.06
9276,2745,3,3309.83
5298,166,3,2629.88
6050,589,1,86.08
5456,259,1,438.61
6189,672,1,377.91
6380,779,1,93.76
6422,802,1,3501.4
7266,1326,3,509.17
7958,1854,3,10753.1
8581,2261,3,718.62
8658,2312,1,123.65
5548,312,3,332.61
6156,653,1,158.5
7833,1754,1,3161.05
9258,2729,1,31.82
9486,2902,1,4810.7
9555,2945,2,10.4
5815,460,1,3392
6116,631,1,150.58
7720,1677,3,1184.22
8140,1980,3,1486.47
5689,391,3,1653.69
7012,1159,1,286.77
8235,2047,1,797.5
9505,2914,2,691.32
5566,321,3,31774.98
5834,471,1,164.17
6872,1073,1,175.67
7498,1506,1,556.77
9022,2553,3,644.92
9388,2816,3,13559.67
5051,39,3,3626.89
5325,183,3,1000
5763,434,1,128.23
7225,1292,3,41.8
9217,2696,2,494.79
5113,71,1,391.31
8448,2181,2,1722.74
5912,515,1,1108.33
7218,1289,1,102.26
7257,1321,1,2913.21
9554,2943,3,1000.38
5449,255,3,1870.05
6959,1125,3,742.11
6996,1149,1,111.44
7086,1203,1,143.42
5854,482,1,423.05
7582,1580,1,855.54
7852,1766,1,182.94
8215,2031,3,8697.54
9286,2752,1,202.43
5287,161,1,78.19
5703,399,3,4176.32
5980,550,1,104.32
6263,713,1,93.86
6361,765,1,135.15
8366,2128,2,2666.57
8435,2173,2,214.63
9347,2791,1,2646.46
7179,1264,1,527.02
7449,1468,2,904.04
8844,2436,1,43.75
5622,352,1,240.97
6530,859,1,60.27
8507,2217,3,3493.76
9020,2552,2,2182.25
9225,2702,3,5566.52
7287,1339,3,1225
8244,2052,2,336.96
8851,2439,3,378.73
9538,2932,1,33.73
5795,450,1,1401.96
6579,887,3,3958.2
7753,1700,3,12960.39
8246,2053,3,1462.17
9315,2771,1,112.31
7148,1245,1,124.29
9513,2920,2,549.63
6031,579,3,324.84
8350,2119,1,43.68
9534,2930,3,2230.62
5527,298,1,181.35
5734,419,1,443.49
5741,422,3,1660.79
7483,1491,1,77.35
7191,1271,1,0.56
7522,1528,2,513.15
8843,2435,3,164.07
6330,749,3,2420.09
7049,1180,1,48.4
5273,154,1,62.28
6625,917,3,1972.35
7429,1450,3,1372.83
5225,129,1,162.49
7469,1482,1,251.8
8050,1916,1,632.75
8158,1994,2,5157.35
9118,2618,2,953.69
5053,40,3,30026.75
5833,470,3,2761.07
6612,910,2,3508.46
6676,950,3,691.13
6950,1119,1,146.95
7048,1179,3,4635.85
9445,2864,2,410.61
7531,1534,3,4169.75
8214,2031,1,1739.51
8377,2137,3,1424.83
8781,2392,2,276.3
8997,2533,1,388.41
9122,2621,3,1974.65
7365,1399,3,2167.12
8646,2304,3,1182.49
5270,152,3,1979.05
5618,350,2,8425.23
6074,606,1,1266.7
6735,987,3,392.41
7081,1199,2,2915.84
8912,2477,3,882.42
5615,349,1,290.1
6209,683,3,2399.28
6727,982,3,192.15
7821,1746,1,178.08
9454,2873,2,965.73
5198,116,1,286.35
5945,531,3,1724.85
8846,2437,1,249.43
8954,2506,3,720.55
7357,1393,3,2502.12
7837,1756,3,3266.46
5284,159,3,304.08
6958,1125,1,148.42
7494,1500,2,1924.18
9000,2537,3,473.91
9130,2626,1,174.38
5336,189,1,468.47
7434,1456,1,723.39
8799,2404,2,592.19
6600,903,3,403.68
7622,1610,3,9212.8
7681,1652,3,831.69
7835,1755,2,250.76
9007,2543,1,2325.44
5555,316,1,77.75
5604,343,3,734
5837,472,3,930.74
7615,1608,1,64.42
8748,2369,3,496.48
7410,1438,3,5935.54
7540,1548,3,1926.34
7636,1619,1,91.72
8413,2160,1,529.53
5076,52,2,17812.82
5134,82,1,455.57
7298,1346,2,1069.77
7638,1620,1,8002.58
7807,1738,1,474.17
8648,2305,3,744.41
5260,147,3,858.6
5357,200,1,585.3
7491,1498,1,1513.68
8267,2067,2,1350.12
6874,1074,1,129.63
9068,2589,3,96.75
9091,2602,3,2138.93
9235,2710,1,127.25
5065,46,3,448.59
5650,368,1,3430.11
6044,586,1,267.1
8816,2418,3,1786.7
5774,439,3,379.21
5895,503,3,491.5
6674,949,3,2355.74
7226,1293,2,233.28
5531,301,1,1279.76
5869,490,3,10845.42
9120,2620,2,210.57
5389,220,1,1118.84
5954,537,1,175.36
6192,674,3,737.35
7125,1231,3,1340.07
7154,1248,1,31.58
7604,1601,1,609.72
7840,1759,1,378.18
8094,1943,2,1645.89
8487,2205,1,45.28
9340,2786,3,525.66
5901,506,3,868.2
6691,959,3,724.92
5416,237,3,974.75
5988,554,1,188.03
6029,578,3,311.62
6351,760,1,322.79
8963,2512,1,1466.98
7693,1659,2,3534.37
8330,2108,1,742.64
9341,2787,1,278.95
5667,376,3,2498.59
6455,818,1,234.7
6688,958,1,273.04
7221,1290,3,72
7642,1622,1,755.07
7683,1653,3,1383.04
8532,2232,3,558.13
8598,2273,3,512.42
8128,1971,1,104.77
8561,2251,1,346.34
6204,681,1,365.64
6840,1050,1,548.28
7751,1697,2,856.5
6151,650,3,2369.56
6270,716,3,1370.84
5721,409,3,892.28
6466,825,3,2562.61
7195,1273,2,1675.07
8948,2503,1,56.64
7185,1268,1,750.8
7291,1342,1,219.37
7614,1607,2,331.69
7766,1711,3,2111.05
7864,1773,3,5457.52
9197,2679,1,114.67
5483,275,3,1182.01
7120,1229,1,250.68
5299,167,1,291.2
5629,355,3,655.32
6032,580,1,575.22
6187,671,1,91.8
6457,819,1,2301.09
7443,1464,2,29.64
8774,2387,3,11.02
8777,2389,2,6907.59
8901,2469,1,72.37
9393,2820,2,1386.88
5283,159,1,60.82
7293,1343,2,97.36
7457,1472,3,1563.3
6169,659,3,616.39
7385,1417,1,302.17
7438,1458,3,386.14
9402,2836,1,479.3
9578,2960,2,527.26
5187,110,3,628.41
5865,488,3,12541.8
6736,989,1,153.32
8106,1956,3,226
5077,52,3,35625.65
5440,251,2,3627.73
7484,1491,3,386.75
7817,1743,3,2016.78
5102,65,3,3047
5230,131,3,260.78
7038,1174,3,2778.19
