Id_Descuento_Adicional,Id_Estimacion,Nombre,Importe
1,1,R.A.P.C.E.,122.35
2,2,R.A.P.C.E.,134.54
3,13,C.N.E.C.,303.09
4,20,C.N.E.C.,154.57
5,22,R.A.P.C.E.,110.54
6,29,C.N.E.C.,17.98
7,35,C.N.E.C.,253.09
8,38,C.N.E.C.,76.39
9,45,R.A.P.C.E.,192
10,50,C.N.E.C.,666.24
11,54,R.A.P.C.E.,138.96
12,76,C.N.E.C.,663.4
13,85,ADITIVA DIVO E1,-1966.67
14,85,DEDUCT OSOC CAP,4719.99
15,101,R.A.P.C.E.,567.13
16,104,C.N.E.C.,683.08
17,108,C.N.E.C.,929.88
18,170,C.N.E.C.,437.3
19,175,C.N.E.C.,747.91
20,177,C.N.E.C.,110.41
21,181,C.N.E.C.,387.86
22,194,C.N.E.C.,424.47
23,198,C.N.E.C.,353.98
24,204,C.N.E.C.,12.76
25,213,R.A.P.C.E.,206.5
26,217,C.N.E.C.,449.39
27,221,C.N.E.C.,296.98
28,226,R.A.P.C.E.,939.01
29,229,C.N.E.C.,36.59
30,230,C.N.E.C.,226.33
31,234,C.N.E.C.,175.51
32,238,C.N.E.C.,818.33
33,242,R.A.P.C.E.,1507.41
34,247,C.N.E.C.,399.46
35,271,C.N.E.C.,66.85
36,272,C.N.E.C.,397.9
37,274,C.N.E.C.,371.56
38,278,R.A.P.C.E.,1477.88
39,279,C.N.E.C.,347.17
40,283,R.A.P.C.E.,520.96
41,288,R.A.P.C.E.,156.2
42,289,R.A.P.C.E.,712.65
43,299,C.N.E.C.,487.8
44,300,R.A.P.C.E.,954.95
45,303,R.A.P.C.E.,312.73
46,304,C.N.E.C.,304.88
47,306,C.N.E.C.,433.57
48,307,C.N.E.C.,121.74
49,308,R.A.P.C.E.,352.94
50,313,R.A.P.C.E.,387.13
51,315,R.A.P.C.E.,274.43
52,323,R.A.P.C.E.,1229.73
53,329,C.N.E.C.,242.72
54,330,C.N.E.C.,243.57
55,337,C.N.E.C.,256.36
56,347,R.A.P.C.E.,399.86
57,361,C.N.E.C.,308.16
58,364,C.N.E.C.,471.35
59,376,R.A.P.C.E.,1249.29
60,378,C.N.E.C.,319.34
61,383,C.N.E.C.,408.14
62,385,C.N.E.C.,131.93
63,386,C.N.E.C.,320.57
64,396,C.N.E.C.,284.2
65,404,C.N.E.C.,248.61
66,415,C.N.E.C.,67.98
67,416,C.N.E.C.,513.77
68,419,R.A.P.C.E.,1108.73
69,424,C.N.E.C.,284.94
70,448,R.A.P.C.E.,674.28
71,461,C.N.E.C.,104.73
72,468,R.A.P.C.E.,454.75
73,480,C.N.E.C.,910.34
74,482,R.A.P.C.E.,1057.61
75,486,C.N.E.C.,954.75
76,509,C.N.E.C.,556.63
77,510,C.N.E.C.,337.78
78,514,C.N.E.C.,246.13
79,523,R.A.P.C.E.,483.94
80,530,R.A.P.C.E.,928.16
81,532,R.A.P.C.E.,1463.44
82,533,R.A.P.C.E.,745.04
83,534,R.A.P.C.E.,118.48
84,535,R.A.P.C.E.,71.96
85,536,C.N.E.C.,335.75
86,555,C.N.E.C.,123.08
87,556,C.N.E.C.,214.98
88,562,C.N.E.C.,209.46
89,564,C.N.E.C.,233.26
90,591,C.N.E.C.,49.05
91,592,C.N.E.C.,1168.08
92,593,C.N.E.C.,671.22
93,599,R.A.P.C.E.,1282.78
94,600,C.N.E.C.,124.57
95,604,C.N.E.C.,712.27
