Id_Recurso_Proyecto,Id_Unidad_Responsable,Clave,Id_Aportacion,Nombre
62,7,815,2,ESTATAL
48,7,600,5,RAMO 33 FI
43,13,356,1,MUNICIPAL
50,1,338,1,MUNICIPAL
59,5,362,1,MUNICIPAL
56,1,922,3,FEDERAL
87,1,334,1,MUNICIPAL
49,14,210,1,MUNICIPAL
53,3,331,1,DIF
73,1,923,3,FEDERAL
3,1,304,1,MUNICIPAL
41,12,0,1,IMUVI
21,5,601,5,RAMO 33 FONDO I
15,5,603,5,RAMO 33 FONDO I
7,3,332,1,MUNICIPAL
72,1,370,1,MUNICIPAL
4,1,606,5,FONDO DE INFRAESTRUCTURA SOCIAL MUNICIPAL
61,15,335,1,MUNICIPAL
35,9,752,5,RAMO 33 FII PROGRAMA
57,1,612,5,RAMO 33 FONDO I
23,8,423,1,MUNICIPAL PROYECTOS
45,5,354,1,MUNICIPAL
20,1,404,1,PROYECTOS MUNICIPALES
34,9,700,9,RAMO 33 FONDO II
38,10,326,1,MUNICIPAL
86,16,387,1,MUNICIPAL
6,3,802,3,ESTATAL
80,1,820,2,ESTATAL
14,1,303,1,MUNICIPAL
1,2,236,4,FIDOC
51,7,900,3,FEDERAL
65,6,366,1,MUNICIPAL
30,1,450,1,MUNICIPAL PROGRAMA
42,1,814,2,ESTATAL
81,1,900,3,FEDERAL
19,1,800,2,ESTATAL
52,7,305,1,MUNICIPAL
71,3,901,3,FEDERAL
37,6,452,1,PROGRAMA MUNICIPAL
5,1,902,3,FEDERAL
32,1,611,5,RAMO 33 FONDO I
58,1,613,5,RAMO 33 FONDO I
67,7,616,5,RAMO 33 FI
60,1,672,5,RAMO 33 FI
84,1,909,3,FEDERAL
2,1,405,1,ESTATAL
85,1,375,1,MUNICIPAL
31,1,610,5,RAMO 33 FONDO I
70,17,382,1,BLVD. VICENTE VALTIERRA
79,1,818,2,ESTATAL
75,9,701,9,RAMO 33 FII
27,1,319,1,MUNICIPAL
29,1,609,5,RAMO 33 FONDO 1
