Id_Unidad_Responsable,Clave,Nombre
9,2310,DIRECCION GENERAL DE MEDIO AMBIENTE
2,5051,OBRAS POR COOPERACION
7,1910,DIRECCION GENERAL DE DESARROLLO SOCIAL
4,5018,INSTITUTO CULTURAL DE LEON
16,2210,AYUDAS SOCIALES
5,1810,DIRECCION GENERAL DE DESARROLLO  RURAL
18,1510,SECRETARIA DE SEGURIDAD PUBLICA
17,2202,CUENTAS POR PAGAR
8,2610,DIRECCION GENERAL DE SALUD
14,2810,TESORERIA
11,2410,DIRECCION GENERAL DE MOVILIDAD
3,5012,DESARROLLO INTEGRAL DE LA FAMILIA
10,1199,UNIDAD DE INVERSION Y BANCO DE PROYECTOS
12,5017,INSTITUTO MUNICIPAL DE VIVIENDA
15,1195,SECRETARIA PARTICULAR
6,2110,DIRECCION GENERAL DE ECONOMIA
1,2510,DIRECCION GENERAL DE OBRA PUBLICA
