Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
1,1,,CONTRATO,165826.22,35438.24,0,35438.24,130387.98,0,0,0,0,0,0
2,4,,CONTRATO,165826.22,73866.8,35438.24,109305.04,56521.18,0,0,0,0,0,0
3,8,,CONTRATO,165826.22,19690.19,109305.04,128995.23,36830.99,0,0,0,0,0,0
4,29,,CONTRATO,165826.22,15428.75,128995.23,144423.98,21402.24,0,0,0,0,0,0
5,2,,CONTRATO,2618120,2618120,0,2618120,0,30,785436,785436,0,785436,0
6,22,,CONTRATO,2704691.45,447868.75,0,447868.75,2256822.7,30,811407.44,134360.63,0,134360.63,677046.81
7,51,,CONTRATO,2704691.45,266403.04,447868.75,714271.79,1990419.66,30,811407.44,79920.91,134360.63,214281.54,597125.9
8,93,,CONTRATO,2704691.45,452463.65,714271.79,1166735.44,1537956.01,30,811407.44,135739.1,214281.54,350020.64,461386.8
9,145,,CONTRATO,2704691.45,515405.67,1166735.44,1682141.11,1022550.34,30,811407.44,154621.7,350020.64,504642.34,306765.1
10,192,,CONTRATO,2704691.45,258099.07,1682141.11,1940240.18,764451.27,30,811407.44,77429.72,504642.34,582072.06,229335.38
11,279,,CONTRATO,2704691.45,125857.95,1940240.18,2066098.13,638593.32,30,811407.44,37757.39,582072.06,619829.45,191577.99
12,362,,CONTRATO,2704691.45,367047.93,2066098.13,2433146.06,271545.39,30,811407.44,110114.38,619829.45,729943.83,81463.61
13,468,,CONTRATO,2704691.45,270974.7,2433146.06,2704120.76,570.69,30,811407.44,81463.61,729943.83,811407.44,0
14,5,,CONTRATO,1844535.49,227090.11,0,227090.11,1617445.38,30,553360.65,68127.03,0,68127.03,485233.62
15,5,12,AMPLIACIÓN 1,168952.82,0,0,0,168952.82,0,0,0,0,0,0
16,15,,CONTRATO,1844535.49,321420.39,227090.11,548510.5,1296024.99,30,553360.65,96426.12,68127.03,164553.15,388807.5
17,15,12,AMPLIACIÓN 1,168952.82,0,0,0,168952.82,0,0,0,0,0,0
18,31,,CONTRATO,1844535.49,210723.01,548510.5,759233.51,1085301.98,30,553360.65,63216.9,164553.15,227770.05,325590.6
19,31,12,AMPLIACIÓN 1,168952.82,0,0,0,168952.82,0,0,0,0,0,0
20,52,,CONTRATO,1844535.49,308333.32,759233.51,1067566.83,776968.66,30,553360.65,92500,227770.05,320270.05,233090.6
21,52,12,AMPLIACIÓN 1,168952.82,0,0,0,168952.82,0,0,0,0,0,0
22,88,,CONTRATO,1844535.49,221400.31,1067566.83,1288967.14,555568.35,30,553360.65,66420.09,320270.05,386690.14,166670.51
23,88,12,AMPLIACIÓN 1,168952.82,0,0,0,168952.82,0,0,0,0,0,0
