Id_Obra,Año,Clave_Obra,Nombre,Tipo_Precio,Id_Sub_Programa,Id_Localidad,Beneficiarios,Id_Convenio,Tipo_Obra_Proyecto,Id_Sub_Tipo_Obra,Observaciones,Enviar_Para,Id_Oficio_Asignacion_Obra
1,2012,9,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: ANDADOR LOGROÑO TRAMO: DE MURCIA A MALAGA COL. SA,Unitario,1,1,0,NULL,Obra,1,15 DE FEBRERO 2012 ADRIAN,CONTRATADO,0
2,2012,1,SUMINISTRO E INSTALACION DE EQUIPOS DE TELEGESTION EN EQUIPOS AHORRADORES DE ENERGIA EN EL MUNICIPIO,Unitario,1,1,0,NULL,Obra,1,16 DE FEBRERO 2012 ADRIAN,CONTRATADO,0
3,2012,2,PAVIMENTACION DE LA CALLE CANTERA TRAMO: CERDEÑA A CIMA COL. PARQUE MANZANARES,Unitario,1,1,0,NULL,Obra,1,17 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
4,2012,3,PAVIMENTACION DE LA CALLE GRANITO TRAMO: CERDEÑA DE MANZANARES A VALLE DE MANZANARES COL. PARQUE MAN,Unitario,1,1,0,NULL,Obra,1,17 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
5,2012,4,VIALIDADES LATERALES CRUCE A NIVEL Y ADECUACION DE SERVICIOS DE LA INTERSECCION DE LA C.F. 45 CON EL,Unitario,1,1,0,NULL,Obra,1,17 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
6,2012,5,"CONSTRUCCION DEL QUINTO CENTRO MULTIDICIPLINARIO PARA LA ATENCION INTEGRAL DE LA VIOLENCIA EN LEON,",Unitario,1,1,0,NULL,Obra,1,17 DE FEBRERO DE 2012  ADRIAN,CONTRATADO,0
7,2012,6,PROYECTO DEL MUSEO DE LAS IDENTIDADES LEONESAS,Unitario,1,1,0,NULL,Obra,1,17 DE FEBRERO 2012 ADRIAN,CONTRATADO,0
8,2012,7,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: CERRO DE LOS ANGELES TRAMO: DE CERRO DEL CUBO A C,Unitario,1,1,0,NULL,Obra,1,17 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
9,2012,8,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: MADRE ROSARIO TRAMO: DE MADRE MARINA A MADRE SIER,Unitario,1,1,0,NULL,Obra,1,17 DE FEBRERO DE 2012  ADRIAN,CONTRATADO,0
10,2012,10,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: LOMAS DE LA PLAZA TRAMO: DE LOMAS DE LAS PETUNIAS,Unitario,1,1,0,NULL,Obra,1,20 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
11,2012,11,REHABILITACION DE INSTALACION ELECTRICA E IMPERMEABILIZACION EN LA ESCUELA HERMENEGILDO GALEANA EN L,Unitario,1,1,0,NULL,Obra,1,20 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
12,2012,12,PROYECTO EJECUTIVO DE PAVIMENTACION DE LA CALLE: SAN JOSE DEL REFUGIO TRAMO: SAN JOSE DE LA CRUZ A S,Unitario,1,1,0,NULL,Obra,1,20 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
13,2012,13,TRABAJOS DE PINTURA EN REJAS Y POSTES DE PROTECCION CICLOVIA EN BLVD. JUAN ALONSO DE TORRES TRAMO: B,Unitario,1,1,0,NULL,Obra,1,20 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
14,2012,14,REHABILITACION DE CICLOVIA EN BLDV. JUAN ALONSO DE TORRES TRAMO: DE BLVD. INSURGENTES A BLVD. JOSE M,Unitario,1,1,0,NULL,Obra,1,20 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
15,2012,15,PAVIMENTACION DE LA CALLE MIGUEL T. BARRON TRAMO: DE CALLE ENRIQUE ARANDA A CALLE ANTONIO HERNANDEZ,Unitario,1,1,0,NULL,Obra,1,20 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
16,2012,16,"VIALIDADES LATERALES, CRUCE A NIVEL Y ADECUACION DE SERVICIOS DE LA INTERSECCION DE LA C.F. 45 CON E",Unitario,1,1,0,NULL,Obra,1,20 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
17,2012,17,REFORZAMIENTO ESTRUCTURAL A BASE DE ESTRUCTURA METALICA EN SOTANO PLAZA CATEDRAL LEON,Unitario,1,1,0,NULL,Obra,1,20 DE FEBRERO DE 2012 ADRIAN,CONTRATADO,0
