Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
1,5,1,ANTICIPO,15/02/2012 00:00,2,08/02/2012 00:00,12/08/2012 00:00,S/N       ,15/02/2012 00:00,CP/REC/001/2012,15/02/2012 00:00,ORIGINALES EN EXPEDIENTE UNITARIO,06/02/2012 00:00,10/08/2012 00:00
2,6,1,ANTICIPO,21/02/2012 00:00,21,20/02/2012 00:00,18/07/2012 00:00,S/N       ,21/02/2012 00:00,CP/REC/002/2012,21/02/2012 00:00,ORIGINALES EN EXPEDIENTE UNITARIO,30/01/2012 00:00,29/06/2012 00:00
3,14,1,ANTICIPO,23/02/2012 00:00,7,20/02/2012 00:00,10/03/2012 00:00,  SN      ,23/02/2012 00:00, CP/REC/03/2012,23/02/2012 00:00,DOCUMENTACION EN EXPEDIENTE,13/02/2012 00:00,03/03/2012 00:00
4,20,1,ANTICIPO,02/03/2012 00:00,7,27/02/2012 00:00,19/05/2012 00:00,1SN       ,02/03/2012 00:00,CP/REC/004/2012,02/03/2012 00:00,DOCUMENTACION EN EXPEDIENTE,20/02/2012 00:00,12/05/2012 00:00
5,46,1,ANTICIPO,15/03/2012 00:00,11,16/03/2012 00:00,06/06/2012 00:00,S/N       ,15/03/2012 00:00,CP/REC/005/2012,15/03/2012 00:00,ORIGINALES EN EXPEDIENTE,05/03/2012 00:00,26/05/2012 00:00
6,54,1,ANTICIPO,20/03/2012 00:00,7,19/03/2012 00:00,09/06/2012 00:00,SN        ,20/03/2012 00:00,CP/REC/006/2012,20/03/2012 00:00,ORIGINALES EN EXPEDIENTE UNITARIO,12/03/2012 00:00,02/06/2012 00:00
7,76,1,ANTICIPO,03/04/2012 00:00,7,02/04/2012 00:00,13/04/2012 00:00,S/N       ,03/04/2012 00:00,CP/REC/007/2012,03/04/2012 00:00,DOCUMENTACION EN EXPEDIENTE,26/03/2012 00:00,07/04/2012 00:00
8,77,1,ANTICIPO,03/04/2012 00:00,7,02/04/2012 00:00,13/04/2012 00:00,S/N       ,03/04/2012 00:00,CP/REC/008/2012,03/04/2012 00:00,DOCUMENTACION EX EXPEDIENTE,26/03/2012 00:00,07/04/2012 00:00
9,60,1,ANTICIPO,26/03/2012 00:00,7,26/03/2012 00:00,23/06/2012 00:00,S/N       ,26/03/2012 00:00,CP/REC/009/2012,26/03/2012 00:00,DOCUMENTACION EN EXPEDIENTE UNITARIO,19/03/2012 00:00,16/06/2012 00:00
11,71,1,ANTICIPO,04/04/2012 00:00,3,29/03/2012 00:00,29/05/2012 00:00,S/N       ,04/04/2012 00:00,CP/REC/008/2012,04/04/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,26/03/2012 00:00,26/05/2012 00:00
12,84,1,ANTICIPO,18/04/2012 00:00,8,17/04/2012 00:00,08/07/2012 00:00, SN       ,18/04/2012 00:00,CP/REC/011/2012,18/04/2012 00:00,DOCUMENTACION EN EXPEDIENTE,09/04/2012 00:00,30/06/2012 00:00
13,86,1,ANTICIPO,13/04/2012 00:00,4,13/04/2012 00:00,04/07/2012 00:00,SN        ,13/04/2012 00:00,CP/REC/012/2012,13/04/2012 00:00,DOCUMENTACION EN EXPEDIENTE UNITARIO,09/04/2012 00:00,30/06/2012 00:00
14,91,1,ANTICIPO,23/04/2012 00:00,15,17/04/2012 00:00,24/06/2012 00:00,S/N       ,23/04/2012 00:00,CP/REC/013/2012,23/04/2012 00:00,ORIGINALES EN EXPEDIENTE,02/04/2012 00:00,09/06/2012 00:00
15,92,1,ANTICIPO,19/04/2012 00:00,9,18/04/2012 00:00,19/08/2012 00:00,S/N       ,19/04/2012 00:00,CP/REC/014/2012,19/04/2012 00:00,DOCUMENTOS EN EXPEDIENTE UNITARIO,09/04/2012 00:00,10/08/2012 00:00
16,93,1,ANTICIPO,25/04/2012 00:00,10,19/04/2012 00:00,20/08/2012 00:00,S/N       ,25/04/2012 00:00,CP/REC/015/2012,25/04/2012 00:00,DOCUMENTOS EN EXPEDIENTE,09/04/2012 00:00,10/08/2012 00:00
17,81,1,ANTICIPO,16/04/2012 00:00,4,13/04/2012 00:00,05/07/2012 00:00,S/N       ,16/04/2012 00:00,CP/REC/016/2012,16/04/2012 00:00,DOCUMENTACION EN EXPEDIENTE,09/04/2012 00:00,30/06/2012 00:00
