Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Id_Contrato_Ampliacion
259,228,57,30,2167061.75,
67,68,10,100,235657.12,
29,29,1,100,281129.02,
63,64,17,100,1760029,
268,234,47,50,767409.85,
39,39,11,100,1458309.61,
46,47,15,100,1280965.33,
56,57,15,100,1242578.36,
103,103,2,100,391879.02,
131,130,25,100,1765226.84,
193,184,8,100,802222.58,
488,169,84,100,2461520.81,83
26,26,1,100,247009.01,
301,250,47,50,587775.02,
151,149,14,100,1870587.53,
192,183,8,100,1084693.37,
79,81,2,100,180716.4,
455,104,8,100,134393.69,54
493,187,41,100,1193360.91,87
165,162,8,100,1093068.55,
83,85,19,100,40000,
375,292,49,50,292028.04,
496,174,83,100,118190.87,76
261,229,55,50,225000,
298,248,60,50,708396.45,
422,313,14,100,1865893.72,
318,260,47,50,625695.62,
44,45,15,100,1751059.63,
72,74,2,100,208817.68,
74,76,2,100,210647.28,
340,271,47,50,508318.01,
177,126,23,100,55496.48,6
221,200,8,100,122641.68,
486,317,85,100,6109479.57,81
278,236,51,25,585193,
300,249,49,50,664448.33,
404,202,10,100,64455.11,49
208,191,33,100,2253043.45,
37,37,10,100,389889.14,
231,210,45,100,1873399.87,
290,244,47,50,993497.8,
412,303,12,100,960713.67,
98,99,8,100,439380.95,
122,122,14,100,766263.67,
378,250,47,50,40130.94,32
42,43,5,100,1729547.55,
397,218,45,100,1963158.06,47
468,125,82,100,39760.72,64
199,185,38,100,661378.28,
309,253,62,100,5141333.25,
271,235,52,25,669149.44,
102,102,2,100,201110.07,
265,231,47,50,732759.16,
287,242,18,100,2885378.8,
250,226,51,25,934187.14,
439,328,14,100,1137294.14,
105,105,8,100,485596.13,
270,235,54,25,669149.44,
371,289,34,100,49558177.38,
381,252,59,90,41378.99,35
295,247,61,50,2231910.48,
429,318,72,100,538823,
218,138,26,51.65,478587.15,
28,28,1,100,411023.99,
424,315,72,100,796858.39,
164,40,12,100,166353.28,4
442,331,14,100,1364437.39,
286,241,49,50,716532.05,
483,306,80,100,47915.93,78
482,343,34,100,54580.37,
118,118,14,100,942380.89,
262,229,56,50,225000,
326,264,47,50,782822.71,
86,88,15,100,3152481.25,
203,138,42,83.96,292020.5,13
398,294,15,100,1169787.98,
385,157,30,100,2500000,38
484,331,80,100,112167.56,79
8,8,3,100,17398238.52,
253,226,53,25,934187.15,
347,275,49,50,326803.49,
217,198,8,100,185533.1,
124,124,18,100,425850.85,
436,325,23,100,87903.64,
413,304,28,100,859714.27,
461,315,72,100,116169.89,61
357,227,56,50,225000,
3,3,1,100,177403.41,
276,236,52,25,585193,
4,4,1,100,372128,
498,289,86,100,2625692.76,90
448,337,28,100,599235.07,
423,314,23,100,175512.15,
421,312,67,100,225292.95,
143,143,10,100,65037.48,
198,155,14,100,293528.66,12
85,87,15,100,1910763.07,
260,228,59,70,5056477.42,
344,273,23,100,931123.79,
465,341,45,100,25547.18,
27,27,1,100,383395.06,
487,289,84,100,17324149.83,82
399,295,12,100,1038444.54,
125,125,8,100,493236.18,
130,129,23,100,678412.05,
84,86,15,100,3411177.08,
158,156,28,100,2008361.63,
197,31,7,100,959165.2,11
383,271,49,50,13039.08,37
452,263,68,81.15,311014.05,34
305,252,57,10,368959.18,
176,172,35,100,1974635.74,
333,267,49,50,414619.3,
186,79,2,100,24556.82,8
214,196,8,100,166231.53,
59,60,14,100,847228.71,
95,96,22,75.87,1391044.14,
119,119,23,100,401964.7,
121,121,14,100,879387.97,
304,251,49,50,531004.19,
377,293,49,50,303036.85,
76,78,2,100,221225.92,
325,263,49,50,838878.57,
345,274,47,100,2077307.75,
430,319,72,100,494016.95,
331,266,49,50,535815.48,
65,66,15,100,779431.11,
141,141,15,100,2057238.09,
172,168,11,100,161504.16,
370,288,67,100,1475906.92,
360,283,23,100,275739.95,
116,116,24,100,141173.38,
267,233,58,100,27838676.55,
52,53,15,100,882922.33,
247,155,14,100,1810270.07,
34,34,2,100,103762.9,
392,210,45,100,38174.49,42
362,187,41,100,1306374.95,27
45,46,15,100,1541570.93,
166,163,8,100,694924.23,
107,107,15,100,1731964.13,
341,271,49,50,508318.01,
224,203,47,100,2555518.84,
238,216,33,100,833530.7,
390,292,49,50,19199.75,41
126,126,23,100,34822.4,
258,73,2,100,8949.4,21
272,235,53,25,669149.44,
321,261,49,50,575207.61,
284,240,45,100,10149930.4,
58,59,14,100,971298.02,
401,297,14,100,3319851.86,
420,311,67,100,269635.7,
387,245,45,65.27,158239.7,40
181,175,19,100,123062.88,
418,309,23,100,1046904.69,
353,279,23,100,490316.05,
380,241,47,100,415487.85,33
354,280,35,100,31673.23,
147,146,19,100,1764566.54,
416,307,23,100,412977.9,
322,262,47,50,514945.17,
454,242,80,100,520000,53
358,99,8,100,20285.86,26
293,246,61,50,685920.34,
51,52,15,100,1035398.73,
342,272,47,50,384929.55,
363,285,14,100,1269751.42,
81,83,14,100,313131.94,
135,134,14,100,3254318.28,
