Id_Descuento_Adicional,Id_Estimacion,Nombre,Importe
1,9,C.N.E.C.,99.8
2,10,C.N.E.C.,175.92
3,16,C.N.E.C.,387.19
4,26,C.N.E.C.,169.3
5,27,C.N.E.C.,129.83
6,43,C.N.E.C.,82.54
7,50,C.N.E.C.,190.11
8,54,MULTA ADMINISTR,14937.44
9,60,C.N.E.C.,116.64
10,62,C.N.E.C.,302.17
11,63,C.N.E.C.,35.33
12,64,C.N.E.C.,1571.9
13,66,C.N.E.C.,211.06
14,73,C.N.E.C.,111.07
15,74,C.N.E.C.,469.81
16,77,C.N.E.C.,107.62
17,87,C.N.E.C.,85.86
18,89,C.N.E.C.,122.42
19,103,C.N.E.C.,608.85
20,104,C.N.E.C.,1412.29
21,105,C.N.E.C.,1296.31
22,106,C.N.E.C.,176.6
23,107,C.N.E.C.,175.43
24,108,C.N.E.C.,141.51
25,109,C.N.E.C.,52.66
26,112,C.N.E.C.,292.55
27,115,C.N.E.C.,104.72
28,122,C.N.E.C.,68.03
29,126,C.N.E.C.,126.52
30,128,C.N.E.C.,177.07
31,131,C.N.E.C.,189.73
32,132,C.N.E.C.,355.42
33,135,C.N.E.C.,319.05
34,140,C.N.E.C.,97.31
35,141,C.N.E.C.,316.12
36,145,C.N.E.C.,81.53
37,152,C.N.E.C.,216.64
38,154,C.N.E.C.,104.18
39,161,C.N.E.C.,141.1
40,162,C.N.E.C.,222.24
41,166,C.N.E.C.,187.11
42,168,C.N.E.C.,177.84
43,169,C.N.E.C.,171.18
44,170,C.N.E.C.,111.97
45,172,C.N.E.C.,316.25
46,174,C.N.E.C.,238.77
47,175,C.N.E.C.,218.55
48,176,C.N.E.C.,171.83
49,186,C.N.E.C.,130.16
50,190,C.N.E.C.,457.43
51,191,C.N.E.C.,666.44
52,194,C.N.E.C.,188.68
53,195,C.N.E.C.,678.75
54,196,C.N.E.C.,118.23
55,197,C.N.E.C.,165.71
56,198,C.N.E.C.,1295.22
57,201,C.N.E.C.,1296.01
58,203,C.N.E.C.,199.87
59,205,CENEC,297.24
60,209,C.N.E.C.,174.8
61,210,C.N.E.C.,218.44
62,216,C.N.E.C.,116.93
63,218,C.N.E.C.,536.68
64,219,C.N.E.C,150.75
65,220,C.N.E.C.,353.94
66,227,C.N.E.C.,178.71
67,228,C.N.E.C.,216.74
68,229,C.N.E.C.,116.14
69,230,C.N.E.C.,131.12
70,238,C.N.E.C.,361.18
71,240,C.N.E.C.,414.39
72,246,C.N.E.C.,135.16
73,248,C.N.E.C.,219.32
74,249,C.N.E.C.,579.04
75,251,C.N.E.C.,382.92
76,255,C.N.E.C.,72.4
77,264,C.N.E.C.,91.35
78,265,C.N.E.C,132.3
79,277,C.N.E.C.,67.58
80,281,C.N.E.C.,341.27
81,282,C.N.E.C.,47.23
82,285,C.N.E.C.,649.21
83,286,C.N.E.C.,156.71
84,289,CENEC,273.67
85,293,C.N.E.C.,159.27
86,302,C.N.E.C.,292.77
87,313,C.N.E.C.,136.03
88,314,C.N.E.C.,1777.06
89,315,C.N.E.C.,253.23
90,318,C.N.E.C.,106.88
91,327,C.N.E.C.,249.01
92,332,C.N.E.C,210.7
93,338,C.N.E.C.,118.55
94,341,C.N.E.C.,46.17
95,342,C.N.E.C.,93.54
96,343,C.N.E.C.,29.56
97,346,C.N.E.C.,187.8
98,347,C.N.E.C.,169.69
99,348,C.N.E.C.,146.69
100,351,C.N.E.C.,207.23
101,355,C.N.E.C.,304.62
102,356,C.N.E.C.,47.13
103,357,C.N.E.C.,17.64
104,357,SANCION,17384.8
105,360,C.N.E.C.,94.29
106,364,C.N.E.C,247.74
107,366,C.N.E.C.,368.88
108,368,C.N.E.C.,662.58
109,370,C.N.E.C.,363.84
110,376,C.N.E.C.,346.52
111,380,C.N.E.C.,421.48
112,383,C.N.E.C.,8.8
113,384,C.N.E.C.,99.11
114,385,C.N.E.C.,142.61
115,386,C.N.E.C.,1558.57
116,397,C.E.N.E.C,288.64
117,412,C.N.E.C.,5.1
118,414,C.N.E.C.,263.36
119,415,C.E.N.E.C,197.38
120,427,C.N.E.C.,60.97
121,430,C.N.E.C.,11.52
122,433,C.N.E.C.,294.96
123,434,C.N.E.C.,151.37
124,437,C.N.E.C.,178.45
125,441,C.N.E.C,421.93
126,443,C.N.E.C.,489.23
127,444,C.N.E.C.,333.55
128,445,C.N.E.C.,1648.12
129,446,C.N.E.C.,125.28
130,447,C.N.E.C.,382.87
131,448,C.N.E.C.,194.99
132,449,C.N.E.C.,383.92
133,458,C.N.E.C.,454.59
134,465,C.N.E.C.,839.57
135,471,C.N.E.C.,1142.47
136,472,C.N.E.C.,1313.53
137,475,C.N.E.C,124.87
138,482,C.N.E.C.,401.19
139,488,C.N.E.C.,261.74
140,490,C.N.E.C.,244.27
141,496,C.N.E.C.,106.1
142,498,C.N.E.C.,14.48
143,499,C.N.E.C.,168.37
144,500,C.N.E.C.,59.56
145,502,C.N.E.C.,443.42
146,503,C.N.E.C.,13.32
147,506,C.N.E.C.,35.72
148,510,C.E.NEC,187.88
149,514,C.N.E.C.,191.51
150,515,C.N.E.C.,245.16
151,516,C.N.E.C.,109.78
152,517,C.N.E.C.,40.88
153,519,C.N.E.C.,160.35
154,520,C.N.E.C.,282.58
155,523,C.N.E.C,415.39
156,526,C.N.E.C.,187.11
157,528,C.E.N.E.C.,158.1
158,529,C.E.N.E.C.,403.29
159,530,C.N.E.C.,476.78
160,535,C.N.E.C.,814.24
161,539,C.N.E.C.,44.9
162,541,C.N.E.C.,68.93
163,542,C.N.E.C.,625.88
164,543,C.N.E.C.,2363.28
165,544,C.N.E.C.,452.02
166,545,C.N.E.C.,138.34
167,546,C.N.E.C.,233.72
168,547,C.E.NEC,176.71
169,554,C.N.E.C.,105.42
170,566,C.N.E.C.,87.48
171,570,C.N.E.C.,2.92
172,573,C.N.E.C.,123.07
173,576,CENEC,92.76
174,577,C.N.E.C.,2903.7
175,582,C.N.E.C.,476.24
176,597,C.N.E.C,286.07
177,598,C.N.E.C,583.14
178,604,C.E.N.E.C.,2914.35
179,607,C.N.E.C.,222.37
180,609,C.N.E.C.,326.26
181,611,SANCION ECONOMI,8815.23
182,612,C.N.E.C.,608.81
183,614,C.N.E.C.,136.52
184,615,C.N.E.C.,472.35
185,616,C.N.E.C.,146.34
186,619,C.N.E.C.,12.32
187,620,C.N.E.C.,220.5
188,621,C.N.E.C.,544.5
189,622,C.N.E.C.,197.31
190,624,C.E.NEC,307.81
191,632,C.N.E.C.,306.79
192,640,C.N.E.C.,1074.35
193,643,C.N.E.C.,569.99
194,647,C.N.E.C.,1718.49
195,649,C.N.E.C.,93.72
196,650,C.N.E.C.,46.44
197,657,C.N.E.C.,2565.15
198,660,C.N.E.C.,257.57
199,661,C.E.NEC,945.24
200,665,C.E.N.E.C.,171.91
201,667,C.N.E.C.,91.05
202,672,C.N.E.C.,214.26
203,673,C.N.E.C.,111.14
204,674,DIVO,46.59
205,678,C.N.E.C.,43.77
206,680,C.E.N.E.C,238.2
207,684,C.N.E.C,430.27
208,685,C.N.E.C.,147.24
209,693,C.N.E.C.,374.35
210,694,C.N.E.C.,198.85
211,696,C.N.E.C.,172.47
212,699,C.E.N.E.C.,6.61
213,700,C.N.E.C.,125.25
214,701,C.N.E.C.,659.47
215,702,C.N.E.C.,555.76
216,703,C.N.E.C.,2363.28
217,704,C.N.E.C.,127.65
218,705,C.E.N.E.C.,63.67
219,712,C.N.E.C.,398.36
220,721,C.N.E.C.,3214.51
221,732,C.E.N.E.C.,106.14
222,733,C.N.E.C.,2043.01
223,738,C.E.N.E.C.,293.59
224,745,C.N.E.C.,144.94
225,746,C.N.E.C.,109.7
226,754,C.E.N.E.C,176.9
227,755,C.E.N.E.C,246.55
228,761,C.N.E.C.,331.55
229,762,C.N.E.C,139.58
230,767,C.N.E.C,892.58
231,770,DIVO,1517.87
232,771,C.N.E.C.,1972.76
233,773,C.E.N.E.C.,113.63
234,775,C.E.NEC,151.55
235,777,C.N.E.C.,104.11
236,779,C.N.E.C.,135.25
237,782,C.N.E.C.,157.48
238,784,C.N.E.C,407.16
239,785,C.N.E.C,352.34
240,786,C.N.E.C,97.12
241,788,C.N.E.C.,637.34
242,789,C.N.E.C.,108.26
243,790,C.N.E.C.,385.32
244,791,C.N.E.C.,105.96
245,792,C.N.E.C.,100.14
246,795,C.N.E.C.,360.08
247,799,C.E.N.E.C.,351.41
248,800,C.N.E.C.,272.26
249,801,C.E.N.E.C,244.86
250,802,C.N.E.C.,96.08
251,803,C.N.E.C.,310.9
252,809,C.N.E.C,581.28
253,810,C.N.E.C,1256.19
254,813,C.N.E.C.,205.96
255,816,C.E.NEC,607.73
256,821,C.E.N.E.C.,1017.31
257,827,C.E.N.E.C.,141.49
258,830,C.N.E.C.,314.06
259,831,C.N.E.C.,406.7
260,835,C.N.E.C.,40.57
261,836,C.N.E.C.,105.53
262,840,C.N.E.C.,368.47
263,843,C.N.E.C.,405.13
264,846,C.E.N.E.C.,87.24
265,847,C.E.N.E.C.,64.92
266,849,C.N.E.C.,673.33
267,850,C.N.E.C.,327.71
268,852,C.N.E.C.,98.17
269,853,C.N.E.C.,206.2
270,853,SANCION,10735.43
271,854,C.N.E.C.,1211.51
272,872,C.N.E.C.,157.83
273,874,C.N.E.C.,166.19
274,880,C.N.E.C.,193.46
275,881,C.E.N.E.C.,165.96
276,882,C.N.E.C.,237.76
277,886,C.N.E.C.,256.42
278,903,C.N.E.C.,457.09
279,910,C.N.E.C.,294.63
280,912,C.N.E.C.,438.58
281,916,C.E.N.E.C,248.33
282,919,C.E.N.E.C,361.47
283,921,C.E.N.E.C,690.03
284,922,C.N.E.C.,230.12
285,926,C.N.E.C.,24.09
286,927,C.N.E.C.,64.22
287,929,C.N.E.C.,231
288,933,C.N.E.C.,96.64
289,935,C.N.E.C.,131.64
290,946,C.E.N.E.C.,146.76
291,950,C.N.E.C.,74.72
292,968,C.N.E.C.,76.17
293,970,C.N.E.C.,182.2
294,1003,C.N.E.C.,313.5
295,1010,C.N.E.C,649.5
296,1013,C.N.E.C.,246.41
297,1122,C.N.E.C.,39.53
298,1135,C.N.E.C.,53.8
299,1138,C.N.E.C.,345.65
300,1139,C.N.E.C.,314.2
301,1142,C.N.E.C.,1075.77
302,1147,SANCION,14937.44
303,1148,C.N.E.C,1250.35
304,1154,C.E.N.E.C.,20.61
305,1156,C.E.NEC,483.48
306,1157,C.N.E.C.,226.91
307,1161,C.N.E.C,686.46
308,1163,C.N.E.C.,85.61
309,1169,C.N.E.C.,93.56
310,1170,C.N.E.C.,128.15
311,1180,C.E.N.E.C.,499.47
312,1181,C.N.E.C.,136.15
313,1182,C.N.E.C.,536.06
314,1183,C.N.E.C.,107.91
315,1184,C.N.E.C.,1828.17
316,1185,C.N.E.C.,250.09
317,1193,C.N.E.C.,2001.36
318,1194,C.N.E.C.,39.85
319,1199,C.N.E.C.,466.18
320,1212,C.N.E.C.,36.05
321,1213,C.N.E.C.,228.63
322,1214,C.E.N.E.C.,528.92
323,1215,C.E.N.E.C.,224.33
324,1220,C.N.E.C.,2230.31
325,1232,C.E.N.E.C.,183.14
326,1233,C.E.N.E.C.,884.24
327,1246,C.N.E.C.,2068.52
328,1253,SANCION,19398.83
329,1254,C.N.E.C.,78.16
330,1263,C.N.E.C.,249.84
331,1264,C.N.E.C.,85.21
332,1265,C.N.E.C.,428.93
333,1266,C.N.E.C.,322.16
334,1267,SANCION DEFINIT,1584.51
335,1269,C.N.E.C.,421.71
336,1275,C.E.N.E.C.,90.31
337,1280,C.N.E.C.,140.75
338,1283,C.N.E.C.,53.49
339,1287,C.N.E.C.,19.63
340,1291,C.E.N.E.C.,429.36
341,1304,C.E.N.E.C.,128.09
342,1305,C.E.N.E.C.,120.62
343,1305,SANCION DEFINIT,15519.07
344,1310,C.N.E.C.,69.86
345,1311,C.N.E.C.,41.53
346,1325,C.E.N.E.C.,1172.88
347,1332,C.N.E.C.,118.48
348,1345,C.N.E.C.,84.74
349,1345,SANCION,15519.07
350,1354,C.N.E.C.,444.8
351,1355,C.N.E.C,1126.01
352,1359,C.N.E.C,108.84
353,1361,C.N.E.C.,710.25
354,1362,C.N.E.C.,25.56
355,1363,C.N.E.C.,444.8
356,1371,SANCION DEFINIT,2187.7
