Id_Suspension,Id_Contrato,Oficio_Suspension,Fecha_Suspension,Observaciones_Suspension,Oficio_Reinicio,Fecha_Reinicio,Observaciones_Reinicio,Fecha_Nuevo_Termino,Fecha_Oficio_Suspension,Fecha_Oficio_Reinicio
1,83,DGOP/CT/0032/13,11/06/2013 00:00,,DGOP/CT/0032/13,12/07/2013 00:00,,10/09/2013 00:00,11/06/2013 00:00,12/07/2013 00:00
2,111,DGOP/CT/0040/13,01/07/2013 00:00,,DGOP/CT/0040/13,29/08/2013 00:00,,01/10/2013 00:00,01/07/2013 00:00,29/08/2013 00:00
3,38,S/N,31/05/2013 00:00,,S/N,23/08/2013 00:00,,28/09/2013 00:00,31/05/2013 00:00,23/08/2013 00:00
4,62,S/N,20/05/2013 00:00,,S/N,23/08/2013 00:00,,03/09/2013 00:00,20/05/2013 00:00,23/08/2013 00:00
5,182,DGOP/CT/054/13,24/09/2013 00:00,,DGOP/CT/054/13,28/10/2013 00:00,,25/01/2014 00:00,24/09/2013 00:00,28/10/2013 00:00
6,104,DGOP/CT/006/14,31/01/2014 00:00,,DGOP/CT/006/14,24/02/2014 00:00,,22/03/2014 00:00,31/01/2014 00:00,24/02/2014 00:00
7,279,CT/010/14,20/02/2014 00:00,,CT/010/14,25/02/2015 00:00,,27/02/2015 00:00,20/02/2014 00:00,25/02/2015 00:00
8,303,CT/022/14,21/03/2014 00:00,,CT/022/14,05/05/2014 00:00,,08/05/2014 00:00,21/03/2014 00:00,05/05/2014 00:00
9,191,CT/062/2013,05/11/2013 00:00,,CT/062/2013,31/03/2014 00:00,,19/06/2014 00:00,05/11/2013 00:00,31/03/2014 00:00
10,132,S/N,18/09/2013 00:00,,S/N,12/03/2014 00:00,,23/06/2014 00:00,18/09/2013 00:00,12/03/2014 00:00
11,303,DGOP/CT/022/14,21/03/2014 00:00,,DGOP/CT/0022/14,05/05/2014 00:00,,08/05/2014 00:00,21/03/2014 00:00,05/05/2014 00:00
12,306,DGOP/CT/012/14,26/02/2014 00:00,,DGOP/CT/012/14,12/08/2014 00:00,,15/08/2014 00:00,26/02/2014 00:00,12/08/2014 00:00
13,308,DGOP/CT/008/14,19/02/2014 00:00,,DGOP/CT/008/14,24/11/2014 00:00,,04/12/2014 00:00,19/02/2014 00:00,24/11/2014 00:00
14,174,DGOP/PRO/488/14,27/03/2014 00:00,,DGOP/PRO/1601/1,16/10/2014 00:00,,16/01/2015 00:00,27/03/2014 00:00,16/10/2014 00:00
15,187,DGOP/CT/062/14,25/11/2014 00:00,,DGOP/CT/062/14,07/01/2015 00:00,,17/02/2015 00:00,25/11/2014 00:00,07/01/2015 00:00
16,162,S/N,20/09/2013 00:00,,S/N,28/04/2015 00:00,,25/05/2015 00:00,20/09/2013 00:00,28/04/2015 00:00
17,163,S/N,20/09/2013 00:00,,S/N,28/04/2015 00:00,,25/05/2015 00:00,20/09/2013 00:00,28/04/2015 00:00
18,161,S/N,19/09/2013 00:00,,S/N,28/04/2015 00:00,,25/05/2015 00:00,19/09/2013 00:00,28/04/2015 00:00
19,223,S/N,31/07/2015 00:00,,S/N,01/10/2015 00:00,,09/10/2015 00:00,31/07/2015 00:00,01/10/2015 00:00
20,223,S/N SUSPENSION,01/11/2015 00:00,SUSPENSION SEGUN OFICIO ANEXO,,14/03/2017 00:00,,01/01/2015 00:00,30/10/2015 00:00,14/03/2017 00:00
21,223,S/N,20/05/2015 00:00,SUSPENSION SEGUN OFICIO ANEXO,S/N,29/07/2015 00:00,SEGUN OFICIO ANEXO,10/08/2015 00:00,19/05/2015 00:00,29/07/2015 00:00
