Id_Contrato_Descuento,Id_Contrato,Id_Descuento,Importe
196,130,2,0.005
204,141,1,0.002
542,377,2,0.005
272,179,1,0.002
122,73,4,0.005
139,91,1,0.002
496,343,3,0.01
418,295,4,0.005
499,345,1,0.002
117,80,4,0.005
487,339,1,0.002
62,41,1,0.002
497,344,1,0.002
452,310,3,0.01
455,335,2,0.005
63,41,3,0.01
266,217,2,0.005
307,235,2,0.005
136,90,3,0.01
170,110,3,0.01
35,22,4,0.005
108,63,3,0.01
110,74,3,0.01
128,83,3,0.01
182,114,4,0.005
49,30,4,0.005
98,66,4,0.005
134,86,3,0.01
388,265,2,0.005
59,40,3,0.01
371,269,2,0.005
299,185,3,0.01
208,131,4,0.005
458,302,2,0.005
214,153,2,0.005
127,83,1,0.002
440,316,1,0.002
161,118,4,0.005
193,126,3,0.01
375,244,4,0.005
81,69,1,0.002
289,190,3,0.01
167,109,1,0.002
261,174,2,0.005
416,294,4,0.005
236,159,1,0.002
419,296,4,0.005
7,5,3,0.01
466,317,3,0.01
508,348,3,0.01
260,173,2,0.005
538,373,2,0.005
142,93,4,0.005
540,375,2,0.005
270,169,1,0.002
544,371,2,0.005
99,65,4,0.005
9,6,3,0.01
350,226,2,0.005
65,37,3,0.01
363,243,1,0.002
473,320,1,0.002
486,329,3,0.01
405,289,4,0.005
454,287,2,0.005
365,247,1,0.002
239,160,3,0.01
57,56,4,0.005
74,52,4,0.005
92,72,1,0.002
304,194,3,0.01
518,354,1,0.002
133,86,1,0.002
14,11,3,0.01
95,43,1,0.002
201,140,3,0.01
26,9,4,0.005
513,352,4,0.005
50,31,4,0.005
338,229,1,0.002
22,15,3,0.01
53,34,4,0.005
113,103,1,0.002
298,185,1,0.002
154,99,3,0.01
96,43,3,0.01
243,162,3,0.01
492,336,4,0.005
461,305,2,0.005
192,126,1,0.002
471,319,1,0.002
210,135,1,0.002
219,146,3,0.01
227,148,1,0.002
23,8,4,0.005
238,160,1,0.002
489,325,1,0.002
247,168,3,0.01
484,332,2,0.005
197,137,2,0.005
521,364,2,0.005
114,103,3,0.01
265,176,2,0.005
287,198,2,0.005
334,216,4,0.005
366,247,3,0.01
16,12,3,0.01
456,334,2,0.005
475,321,1,0.002
132,88,3,0.01
160,117,3,0.01
171,129,4,0.005
476,321,3,0.01
107,63,1,0.002
372,272,2,0.005
79,68,1,0.002
534,368,2,0.005
78,57,3,0.01
377,248,1,0.002
445,284,2,0.005
373,242,2,0.005
278,182,4,0.005
106,64,3,0.01
360,240,3,0.01
275,183,3,0.01
291,189,2,0.005
