Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
1,23,,CONTRATO,1998022.72,513931.63,0,513931.63,1484091.09,30,599406.8,154179.49,0,154179.49,445227.31
2,23,3,AMPLIACIÓN 1,597350.41,0,0,0,597350.41,0,0,0,0,0,0
3,57,,CONTRATO,1998022.72,273381.93,513931.63,787313.56,1210709.16,30,599406.8,82014.58,154179.49,236194.07,363212.73
4,57,3,AMPLIACIÓN 1,597350.41,0,0,0,597350.41,0,0,0,0,0,0
5,191,,CONTRATO,1998022.72,342112.04,787313.56,1129425.6,868597.12,30,599406.8,102633.61,236194.07,338827.68,260579.12
6,191,3,AMPLIACIÓN 1,597350.41,0,0,0,597350.41,0,0,0,0,0,0
7,259,,CONTRATO,1998022.72,523423.05,1129425.6,1652848.65,345174.07,30,599406.8,157026.92,338827.68,495854.6,103552.2
8,259,3,AMPLIACIÓN 1,597350.41,0,0,0,597350.41,0,0,0,0,0,0
9,293,,CONTRATO,1998022.72,345174.07,1652848.65,1998022.72,0,30,599406.8,103552.2,495854.6,599406.8,0
10,293,3,AMPLIACIÓN 1,597350.41,2054.67,0,2054.67,595295.74,0,0,0,0,0,0
11,52,,CONTRATO,1649853.29,104999.04,0,104999.04,1544854.25,30,494955.98,31499.71,0,31499.71,463456.27
12,52,105,AMPLIACIÓN 1,738245.8,0,0,0,738245.8,0,0,0,0,0,0
13,62,,CONTRATO,1649853.29,57277.78,104999.04,162276.82,1487576.47,30,494955.98,17183.33,31499.71,48683.04,446272.94
14,62,105,AMPLIACIÓN 1,738245.8,0,0,0,738245.8,0,0,0,0,0,0
15,161,,CONTRATO,1649853.29,301822.43,162276.82,464099.25,1185754.04,30,494955.98,90546.73,48683.04,139229.77,355726.21
16,161,105,AMPLIACIÓN 1,738245.8,0,0,0,738245.8,0,0,0,0,0,0
17,356,,CONTRATO,1649853.29,62112.05,464099.25,526211.3,1123641.99,30,494955.98,18633.62,139229.77,157863.39,337092.59
18,356,105,AMPLIACIÓN 1,738245.8,0,0,0,738245.8,0,0,0,0,0,0
19,357,,CONTRATO,1649853.29,113203.43,526211.3,639414.73,1010438.56,30,494955.98,33961.03,157863.39,191824.42,303131.56
20,357,105,AMPLIACIÓN 1,738245.8,0,0,0,738245.8,0,0,0,0,0,0
21,630,,CONTRATO,1649853.29,241038.01,639414.73,880452.74,769400.55,30,494955.98,72311.4,191824.42,264135.82,230820.16
22,630,105,AMPLIACIÓN 1,738245.8,0,0,0,738245.8,0,0,0,0,0,0
23,631,,CONTRATO,1649853.29,213619.97,880452.74,1094072.71,555780.58,30,494955.98,64085.99,264135.82,328221.81,166734.17
24,631,105,AMPLIACIÓN 1,738245.8,0,0,0,738245.8,0,0,0,0,0,0
25,861,,CONTRATO,1649853.29,189982.53,1094072.71,1284055.24,365798.05,30,494955.98,56994.76,328221.81,385216.57,109739.41
26,861,105,AMPLIACIÓN 1,738245.8,0,0,0,738245.8,0,0,0,0,0,0
27,866,,CONTRATO,1649853.29,174326.59,1284055.24,1458381.83,191471.46,30,494955.98,52297.98,385216.57,437514.55,57441.43
28,866,105,AMPLIACIÓN 1,738245.8,0,0,0,738245.8,0,0,0,0,0,0
29,1478,,CONTRATO,1649853.29,188855.97,1458381.83,1647237.8,2615.49,30,494955.98,57441.43,437514.55,494955.98,0
