Id_Estimacion_Concepto,Id_Estimacion,Id_Concepto,Contratado,Actual,Anterior,Acumulado,Por_Estimar,Precio_Unitario,Importe,Excedente,Excedente_Acumulado
1,23,26,1,1,0,1,0,4574.37,4574.37,0,0
2,57,27,2.52,2.52,0,2.52,0,32.71,82.43,0,0
3,23,28,14.91,6.92,0,6.92,7.99,214.52,1484.48,0,0
4,57,28,14.91,2.56,6.92,9.48,5.43,214.52,549.17,0,0
5,23,29,10.65,8.25,0,8.25,2.4,111.52,920.04,0,0
6,23,30,12.6,3.9,0,3.9,8.7,181.55,708.05,0,0
7,23,31,14.91,25.35,0,25.35,0,113.49,2876.97,10.44,10.44
8,293,32,14.2,23.94,0,23.94,0,36.68,878.12,9.74,9.74
9,23,33,47.57,42.38,0,42.38,5.19,285.5,12099.49,0,0
10,57,34,21.94,20.03,0,20.03,1.91,77.97,1561.74,0,0
11,57,35,11.99,10.5,0,10.5,1.49,307.27,3226.34,0,0
12,57,36,9.95,10.24,0,10.24,0,307.27,3146.44,0.29,0.29
13,23,38,559.98,559.76,0,559.76,0.22,77.97,43644.49,0,0
14,23,39,398.11,262.33,0,262.33,135.78,307.27,80606.14,0,0
15,57,39,398.11,141.87,262.33,404.2,0,307.27,43592.39,6.09,6.09
16,23,40,161.87,102.53,0,102.53,59.34,307.27,31504.39,0,0
17,57,40,161.87,58.1,102.53,160.63,1.24,307.27,17852.39,0,0
18,23,41,559.98,559.76,0,559.76,0.22,27.26,15259.06,0,0
19,23,42,84,83.96,0,83.96,0.04,68.14,5721.03,0,0
20,23,43,105,83.96,0,83.96,21.04,9.34,784.19,0,0
21,23,44,105,83.96,0,83.96,21.04,29.31,2460.87,0,0
22,23,45,1994.93,1595.32,0,1595.32,399.61,4.23,6748.2,0,0
23,23,46,32.33,31.2,0,31.2,1.13,307.27,9586.82,0,0
24,23,47,44.91,44.41,0,44.41,0.5,31.32,1390.92,0,0
25,23,48,32.23,31.2,0,31.2,1.03,27.26,850.51,0,0
26,23,49,4.83,6.99,0,6.99,0,68.14,476.3,2.16,2.16
27,23,50,6.04,6.99,0,6.99,0,9.34,65.29,0.95,0.95
28,23,51,6.04,6.99,0,6.99,0,29.31,204.88,0.95,0.95
29,23,52,114.82,132.9,0,132.9,0,4.23,562.17,18.08,18.08
30,23,53,95.37,93.26,0,93.26,2.11,40.87,3811.54,0,0
31,23,54,32.33,31.2,0,31.2,1.13,56.57,1764.98,0,0
32,23,55,95.37,80.38,0,80.38,14.99,285.5,22948.49,0,0
33,23,56,44.91,4.44,0,4.44,40.47,1791.95,7956.26,0,0
34,23,57,2,2,0,2,0,105.67,211.34,0,0
35,23,59,2,2,0,2,0,6559.87,13119.74,0,0
36,23,60,4,4,0,4,0,3737.97,14951.88,0,0
37,23,61,3,3,0,3,0,105.67,317.01,0,0
38,23,63,5,5,0,5,0,3737.97,18689.85,0,0
39,23,64,7,8,0,8,0,314.04,2512.32,1,1
40,23,65,1,1,0,1,0,2086.66,2086.66,0,0
41,23,66,7,3,0,3,4,1842.04,5526.12,0,0
42,23,67,4,4,0,4,0,957.37,3829.48,0,0
43,23,68,4,9,0,9,0,3196.06,28764.54,5,5
44,57,71,2,2,0,2,0,1152.53,2305.06,0,0
45,57,72,9,9,0,9,0,588.69,5298.21,0,0
46,57,73,4,4,0,4,0,516.47,2065.88,0,0
47,57,74,9,9,0,9,0,515.39,4638.51,0,0
48,57,75,2,2,0,2,0,1306.06,2612.12,0,0
49,57,76,1,1,0,1,0,1725.58,1725.58,0,0
50,57,77,354.85,583.3,0,583.3,0,9.82,5728.01,228.45,228.45
51,57,78,106.45,140.48,0,140.48,0,18.37,2580.62,34.03,34.03
52,57,79,82.22,16.86,0,16.86,65.36,18.79,316.8,0,0
53,57,81,82.21,135.69,0,135.69,0,9.34,1267.34,53.48,53.48
54,57,82,82.21,135.69,0,135.69,0,27.93,3789.82,53.48,53.48
55,57,83,1644.25,2578.09,0,2578.09,0,4.23,10905.32,933.84,933.84
56,57,84,82.21,135.69,0,135.69,0,3.25,440.99,53.48,53.48
57,57,89,27,27,0,27,0,303.86,8204.22,0,0
58,57,92,172.29,104.6,0,104.6,67.69,29.84,3121.26,0,0
59,57,93,56.39,50.9,0,50.9,5.49,71.43,3635.79,0,0
60,57,94,158.29,142.9,0,142.9,15.39,152.78,21832.26,0,0
61,57,95,21,21,0,21,0,104.71,2198.91,0,0
62,57,96,38,39,0,39,0,147.3,5744.7,1,1
63,57,97,117,77,0,77,40,91.72,7062.44,0,0
64,57,98,77,77,0,77,0,8.94,688.38,0,0
65,57,99,172.29,104.6,0,104.6,67.69,9.13,955,0,0
66,57,100,56.39,50.9,0,50.9,5.49,22.35,1137.62,0,0
67,57,101,158.29,142.9,0,142.9,15.39,7.06,1008.87,0,0
68,57,102,21,21,0,21,0,37.36,784.56,0,0
69,57,103,38,39,0,39,0,52.08,2031.12,1,1
70,57,104,117,77,0,77,40,33.63,2589.51,0,0
71,57,105,77,77,0,77,0,33.63,2589.51,0,0
72,57,106,2,1,0,1,1,3289.65,3289.65,0,0
73,293,106,2,1,1,2,0,3289.65,3289.65,0,0
74,57,107,2,2,0,2,0,4458.74,8917.48,0,0
75,57,108,1,1,0,1,0,4425.35,4425.35,0,0
76,57,109,14,14,0,14,0,623.72,8732.08,0,0
77,57,110,5,5,0,5,0,1305.39,6526.95,0,0
78,57,111,8,3,0,3,5,186.02,558.06,0,0
79,57,112,200.24,94.73,0,94.73,105.51,115.27,10919.53,0,0
80,57,113,13.82,5.53,0,5.53,8.29,146.99,812.85,0,0
81,293,115,27.81,143.6,0,143.6,0,148.39,21308.8,115.79,115.79
82,259,116,1,1,0,1,0,465.64,465.64,0,0
83,259,117,35,18,0,18,17,157.99,2843.82,0,0
84,259,118,4,2,0,2,2,4489.43,8978.86,0,0
85,259,119,35,18,0,18,17,180.04,3240.72,0,0
86,191,120,281,176.25,0,176.25,104.75,52.81,9307.76,0,0
87,259,120,281,22.89,176.25,199.14,81.86,52.81,1208.82,0,0
88,293,120,281,73.4,199.14,272.54,8.46,52.81,3876.25,0,0
89,191,121,1326.6,617.4,0,617.4,709.2,43.67,26961.86,0,0
90,259,121,1326.6,167.33,617.4,784.73,541.87,43.67,7307.3,0,0
91,293,121,1326.6,356.76,784.73,1141.49,185.11,43.67,15579.71,0,0
92,259,122,5,3,0,3,2,37.4,112.2,0,0
93,293,122,5,5,3,8,0,37.4,187,3,3
94,259,123,35,18,0,18,17,30.72,552.96,0,0
95,293,123,35,32,18,50,0,30.72,983.04,15,15
96,191,124,50,20,0,20,30,105.6,2112,0,0
97,293,124,50,25,20,45,5,105.6,2640,0,0
98,191,125,304,79,0,79,225,83.11,6565.69,0,0
99,259,125,304,21,79,100,204,83.11,1745.31,0,0
100,293,125,304,160,100,260,44,83.11,13297.6,0,0
101,259,126,493.92,641.4,0,641.4,0,23.34,14970.28,147.48,147.48
102,259,127,1420.23,1200.04,0,1200.04,220.19,14.74,17688.59,0,0
103,259,128,833.6,912.25,0,912.25,0,12.35,11266.29,78.65,78.65
104,259,129,10,7,0,7,3,6.25,43.75,0,0
105,259,130,70,50,0,50,20,4.57,228.5,0,0
106,191,131,35.51,89.2,0,89.2,0,147.85,13188.22,53.69,53.69
107,191,132,211.44,32.2,0,32.2,179.24,98.4,3168.48,0,0
108,293,132,211.44,23.5,32.2,55.7,155.74,98.4,2312.4,0,0
109,259,133,281,15,0,15,266,11.12,166.8,0,0
110,293,133,281,48,15,63,218,11.12,533.76,0,0
111,259,134,1327,320,0,320,1007,9.81,3139.2,0,0
112,293,134,1327,199,320,519,808,9.81,1952.19,0,0
113,191,135,59,97,0,97,0,37.87,3673.39,38,38
114,191,136,106,120.25,0,120.25,0,24.85,2988.21,14.25,14.25
115,191,138,176.2,568,0,568,0,1.95,1107.6,391.8,391.8
116,191,139,351,568,0,568,0,2.5,1420,217,217
117,259,140,240,42,0,42,198,14.24,598.08,0,0
118,259,142,2,2,0,2,0,24.97,49.94,0,0
119,259,143,2,2,0,2,0,296.18,592.36,0,0
120,191,144,1956.55,1309.05,0,1309.05,647.5,43.67,57166.21,0,0
121,259,144,1956.55,139.18,1309.05,1448.23,508.32,43.67,6077.99,0,0
122,293,144,1956.55,343.43,1448.23,1791.66,164.89,43.67,14997.59,0,0
123,259,145,39,23,0,23,16,30.72,706.56,0,0
124,293,145,39,36,23,59,0,30.72,1105.92,20,20
125,191,146,347,122,0,122,225,83.11,10139.42,0,0
126,293,146,347,180,122,302,45,83.11,14959.8,0,0
127,259,147,2599.11,2233.72,0,2233.72,365.39,14.74,32925.03,0,0
128,259,148,1217.21,1116.86,0,1116.86,100.35,12.35,13793.22,0,0
129,259,149,78,62,0,62,16,4.57,283.34,0,0
130,191,150,37.33,93.4,0,93.4,0,147.85,13809.19,56.07,56.07
131,293,150,37.33,19.2,93.4,112.6,0,147.85,2838.72,19.2,75.27
132,191,151,241.37,38.11,0,38.11,203.26,98.4,3750.02,0,0
133,293,151,241.37,10.8,38.11,48.91,192.46,98.4,1062.72,0,0
134,293,152,1957,347,0,347,1610,9.81,3404.07,0,0
135,191,153,67,136,0,136,0,37.87,5150.32,69,69
136,191,154,121,184.84,0,184.84,0,24.85,4593.27,63.84,63.84
137,191,155,201,718,0,718,0,1.95,1400.1,517,517
138,191,156,201,718,0,718,0,2.5,1795,517,517
139,259,157,249,42,0,42,207,14.24,598.08,0,0
140,259,159,2,2,0,2,0,24.97,49.94,0,0
141,259,160,2,2,0,2,0,296.18,592.36,0,0
142,259,161,1,1,0,1,0,7284.23,7284.23,0,0
143,259,162,39,21,0,21,18,157.99,3317.79,0,0
