Id_Prorroga,Id_Contrato,Dias_Recorrer,Fecha_Nueva,Porcentaje,Justificacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Termino_Ultima_Anterior
18,23,12,09/05/2014 00:00,22.22,NINGUNA,PRORROGA S,14/04/2014 00:00,PRORROGA01,16/04/2014 00:00,,26/04/2014 00:00
27,21,36,23/06/2014 00:00,43.9,,PRORROGA S,11/05/2014 00:00,PRORROGA01,13/05/2014 00:00,,17/05/2014 00:00
28,11,20,28/05/2014 00:00,24.39,SE ANEXA AUTORIZACION DE 1RA PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,06/05/2014 00:00,01 PR/076/14,06/05/2014 00:00,,07/05/2014 00:00
29,68,13,24/05/2014 00:00,50,SE ANEXA AUTORIZACION DE 1RA PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,09/05/2014 00:00,01 PR/082/14,09/05/2014 00:00,,10/05/2014 00:00
30,69,13,24/05/2014 00:00,50,SE ANEXA AUTORIZACION ORIGINAL DE 1RA PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PROROG,09/05/2014 00:00,01 PR/082/14,09/05/2014 00:00,,10/05/2014 00:00
32,16,35,15/06/2014 00:00,42.68,SE ANEXA AUTORIZACION ORIGINAL DE 1RA PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO ,S/N PRORRO,09/05/2014 00:00,01 PR/081/14,09/05/2014 00:00,,10/05/2014 00:00
34,31,13,24/05/2014 00:00,24.07,,PRORROGAS/,04/05/2014 00:00,PRORROGA01,06/05/2014 00:00,,10/05/2014 00:00
36,35,11,20/06/2014 00:00,13.41,,PRORROGAS/,04/06/2014 00:00,PRORROGA01,06/06/2014 00:00,,08/06/2014 00:00
38,8,61,08/08/2014 00:00,55.45,,PRORROGAS/,26/05/2014 00:00,PRORROGA01,28/05/2014 00:00,,07/06/2014 00:00
39,26,50,11/08/2014 00:00,45.45,,PRORROGAS/,15/06/2014 00:00,PRORROGA01,17/06/2014 00:00,,21/06/2014 00:00
40,39,29,28/07/2014 00:00,35.37,,PRORROGAS/,21/06/2014 00:00,PRORROGA01,23/06/2014 00:00,,28/06/2014 00:00
42,1,33,30/05/2014 00:00,48.53,SE ANEXA AUTORIZACION DE 1RA PRORROGA ORIGINAL CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,25/04/2014 00:00,CT/PR/065/14,25/04/2014 00:00,,26/04/2014 00:00
43,6,16,21/06/2014 00:00,14.55,SE ANEXA AUTORIZACION ORIGINAL DE 1RA PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,28/05/2014 00:00,01 PR/089/14,28/05/2014 00:00,,04/06/2014 00:00
48,24,105,21/10/2014 00:00,85.37,,PRORROGA S,02/07/2014 00:00,PRORROGA01,04/07/2014 00:00,,07/07/2014 00:00
49,80,33,08/08/2014 00:00,61.11,,PRORROGAS/,02/07/2014 00:00,PRORROGA01,04/07/2014 00:00,,05/07/2014 00:00
50,38,35,03/08/2014 00:00,42.68,,PRORROGAS/,23/06/2014 00:00,PRORROGA01,25/06/2014 00:00,,28/06/2014 00:00
