Id_Capitulo,Id_Presupuesto,Clave,Descripcion,Importe,Id_Contrato_Ampliacion
0000000001,0000000001,1,PRELIMINARES - AGUA POTABLE,0.00,
0000000002,0000000001,2,ACARREOS EN CAMIÓN - AGUA POTABLE,12724.91,
0000000003,0000000001,3,SUMINISTROS - AGUA POTABLE,5920.16,
0000000004,0000000001,4,INSTALACIÓN - AGUA POTABLE,12072.74,
0000000005,0000000001,5,TOMAS DOMICILIARIAS - AGUA POTABLE,18870.50,
0000000006,0000000001,6,LIMPIEZA - AGUA POTABLE,874.51,
0000000007,0000000001,7,PRELIMINARES - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (ATARJEA),3744.64,
0000000008,0000000001,8,RELLENOS Y ACARREOS - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO,37141.05,
0000000009,0000000001,9,MANO DE OBRA - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO,16735.22,
0000000010,0000000001,10,SUMINISTROS - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO,9468.54,
0000000011,0000000001,11,LIMPIEZA DE OBRA - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO,403.00,
0000000012,0000000001,12,PRELIMINARES - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),2470.14,
0000000013,0000000001,13,RELLENOS Y ACARREOS - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),18606.99,
0000000014,0000000001,14,MANO DE OBRA - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),14414.80,
0000000015,0000000001,15,SUMINISTROS - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),4440.12,
0000000016,0000000001,16,LIMPIEZA - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),403.00,
0000000017,0000000001,17,PRELIMINARES - ARROYO Y GUARNICIONES,45285.80,
0000000018,0000000001,18,ACARREOS EN CAMIÓN - ARROYO Y GUARNICIONES,55326.83,
0000000019,0000000001,19,BASES Y SUB-BASES - ARROYO Y GUARNICIONES,81605.91,
0000000020,0000000001,20,PAVIMENTOS DE CONCRETO - ARROYO Y GUARNICIONES,266166.62,
0000000021,0000000001,21,LIMPIEZA DE OBRA - ARROYO Y GUARNICIONES,2537.45,
0000000022,0000000001,22,PRELIMINARES - BANQUETAS,5020.94,
0000000023,0000000001,23,ACARREOS - BANQUETAS,2157.49,
0000000024,0000000001,24,BASES - BANQUETAS,4877.17,
0000000025,0000000001,25,PAVIMENTOS - BANQUETAS,25164.64,
0000000026,0000000001,26,SELLADO DE JUNTAS - BANQUETAS,8381.39,
0000000027,0000000001,27,LIMPIEZA - BANQUETAS,709.52,
0000000028,0000000001,28,SEÑALAMIENTO HORIZONTAL,11306.09,
0000000029,0000000001,29,SEÑALAMIENTO VERTICAL,7442.46,
