Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Id_Contrato_Ampliacion
292,253,1,100,196100.17,
336,284,70,100,764784.46,
462,360,95,100,4740.39,
72,73,12,100,758593.83,
370,303,80,100,3396599.9,
432,344,14,100,45308.19,
457,199,1,100,232615.4,66
56,57,8,100,101265.24,
339,286,1,100,144925.57,
400,326,40,100,266928.41,
182,170,42,37.5,430975.5,
247,211,31,100,381385.54,
26,26,1,100,358786.33,
48,47,1,100,306945.54,
82,83,1,100,1289069.36,
304,263,40,100,336998.77,
459,248,45,100,99999.31,68
377,307,33,74.25,775224,
357,250,51,100,259782.54,38
376,307,48,25.75,268902.88,
60477,324,100,100,277091.62,78
13,14,1,100,266088.32,
80483,359,102,100,3823.32,80
159,154,20,100,156746.66,
273,236,40,100,110481.18,
223,192,45,100,654111.82,
80,81,6,100,2534597.96,
410,217,88,53.73,119292.82,
57,58,2,100,704231.94,
309,266,64,100,214449.49,
12,13,1,100,86846.06,
133,129,1,100,2075754.72,
174,38,1,100,41725.29,11
367,300,79,100,299694.41,
63,64,14,100,12102600.51,
105,101,20,100,211041.84,
342,288,40,100,143200.6,
444,356,42,100,4565.57,
463,361,95,100,1345,
130,126,6,100,921976.38,
389,318,83,100,6679490.55,
474,258,95,100,42011.88,75
465,363,14,100,65757.35,
45,44,1,100,1441839.2,
190,174,39,100,68623.05,
478,365,14,100,11902.31,
394,322,81,100,1542803.2,
113,109,24,100,1352199.24,
221,190,1,100,993954.67,
288,251,51,100,259171.23,
454,312,91,69.91,70457.45,64
32,31,2,100,316265.61,
100487,381,101,100,748452.98,
65,66,14,100,25156427.85,
138,134,30,100,198646.54,
255,221,54,100,284468.3,
369,302,33,100,499453.96,
61,62,14,100,15507793.48,
271,234,40,100,274617.62,
76,77,8,100,1121941.21,
11,12,1,100,102003.29,
331,282,69,100,1482452.83,
149,145,34,100,493940.25,
390,319,85,46.54,1739179.55,
262,226,40,100,180301.43,
333,222,56,27,17735.75,28
42,41,1,100,297315.34,
188,172,1,100,144925.57,
