Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Año,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Leyenda_Oficial,Id_Oficio_Asignacion_Obra,Id_Numero_Contrato_Pertenece
1,3,B-5051-236-6141-D/0003/2015,PAVIMENTACION DE LA CALLE ACAYA TRAMO: HEBREOS A EPISTOLAS COL. SAN PABLO,551348.15,30,165404.45,12/01/2015 00:00,26/01/2015 00:00,25/04/2015 00:00,1,1,1,,EJECUCION,2015,196,,,2,12/01/2015 00:00,1,,NULL,0,NULL
2,8,B-5051-236-6141-H/0007/2015,PROYECTO EJECUTIVO DE LAS CALLES: 1. IGNACIO VILLAVICENCIO TRAMO: ARTURO VALADEZ - ARTURO VILLEGAS COL. LEON I; 2. VERONA TRAMO: FLUMINENSE - BOTAFOGO COL. DEPORTIVA II,173688.5,0,0,03/02/2015 00:00,16/02/2015 00:00,11/04/2015 00:00,1,1,1,,EJECUCION,2015,588,,,2,03/02/2015 00:00,1,,NULL,0,NULL
3,2,B-5051-236-6141-D/0002/2015,PAVIMENTACION DE LA CALLE CAMPO GRANDE TRAMO: CAMPO ESCONDIDO A CAMPO ALEGRE COL. VALLE HERMOSO,578838.23,30,173651.47,12/01/2015 00:00,26/01/2015 00:00,18/04/2015 00:00,1,1,1,,EJECUCION,2015,584,,,2,12/01/2015 00:00,1,,NULL,0,NULL
4,1,B-5051-236-6141-D/0001/2015,ISTISTISTISTISTPAVIMENTACION DE LA CALLE MANUEL LOPEZ MERCADO TRAMO: BLVD. LEON II A BLVD. MARIANO ESCOBEDO COLONIA LEON II,815994.41,30,244798.32,12/01/2015 00:00,26/01/2015 00:00,18/04/2015 00:00,1,1,1,,EJECUCION,2015,567,,,2,12/01/2015 00:00,1,,NULL,0,NULL
5,4,B-5051-236-6141-H/0004/2015,PROYECTO EJECUTIVO DE LAS CALLES: 1. MANUEL CRECENCIO REJON TRAMO: JOSE A. GODOY - JOSE M. DE LA TORRE COL. PERIODISTAS MEXICANOS; 2. MANUEL GONZALEZ TRAMO: LAZARO CARDENAS - PASCUAL ORTIZ RUBIO COL. PRESIDENTES MEXICANOS Y 3. ORTIGUILLA TRAMO: BLVD. PASEO DE LA PRESA - JUDIA COL. VALLE HERMOSO.,283003.31,30,84901,03/02/2015 00:00,16/02/2015 00:00,11/04/2015 00:00,1,1,1,,EJECUCION,2015,97,,,2,03/02/2015 00:00,1,,NULL,0,NULL
6,5,B-5051-236-6141-H/0005/2015,PROYECTO EJECUTIVO DE LAS CALLES: VALLE CEYLAN TRAMO: MADRE TIERRA - VALLE ARIZPE COL. VALLE DE SAN JOSE; 2. JEREZ DE BERNA TRAMO: JEREZ DE MENORCA - JEREZ DE BESAYA COL. VALLE DE JEREZ,218447.41,30,65534.23,03/02/2015 00:00,16/02/2015 00:00,11/04/2015 00:00,1,1,1,,EJECUCION,2015,420,,,2,03/02/2015 00:00,1,,NULL,0,NULL
7,6,B-5051-236-6141-H/0006/2015,PROYECTO EJECUTIVO DE LAS CALLES: 1. DE LA CONQUISTA TRAMO: ALPES A TOPAR Y 2. DE LA PLACITA TRAMO: LOS ALPES A LA CONQUISTA COL. LAS AMALIAS SUR.,218161.72,0,0,03/02/2015 00:00,16/02/2015 00:00,11/04/2015 00:00,1,1,1,,EJECUCION,2015,465,,,2,03/02/2015 00:00,1,,NULL,0,NULL
8,10,B-5051-236-6141-H/0009/2015,PROYECTO EJECUTIVO DE LAS CALLES: 1. LA VIZCAINA TRAMO: LOS ALPES - LA CONQUISTA; 2. CALLE ALPES TRAMO: BLVD. JUAN JOSE TORRES LANDA - TOPAR COL. LAS AMALIAS SUR,284571.4,30,85371.42,04/02/2015 00:00,16/02/2015 00:00,11/04/2015 00:00,1,1,1,,EJECUCION,2015,448,,,2,04/02/2015 00:00,1,,NULL,0,NULL
9,11,B-5051-236-6141-H/0010/2015,PROYECTO EJECUTIVO DE LAS CALLES: 1. TORRE DE VIGIA TRAMO: LATINOAMERICANA - LAS TORRES COL. LAS TORRES; 2. FRAY RAUL TRAMO: FRAY FELIPE - FRAY TOMAS COL. AMPLIACIÓN SAN FRANCISCO.,241629.43,0,0,04/02/2015 00:00,16/02/2015 00:00,11/04/2015 00:00,1,1,1,,EJECUCION,2015,306,,,2,04/02/2015 00:00,1,,NULL,0,NULL
10,12,B-5051-236-6141-H/0011/2015,PROYECTO EJECUTIVO DE LAS CALLES: 1. PRESA SARDANETA TRAMO: PRESA TILOSTOC - PRESA LA LLAVE COL. PRESITAS DEL CONSUELO; 2. MALDIVAS TRAMO: GANGES - AGRA COL. CAÑON DE LA INDIA; 3. REAL DEL ORO TRAMO: REAL DEL CASTILLO A TOPAR COL. REAL DEL CASTILLO.,281552.89,30,84465.87,04/02/2015 00:00,16/02/2015 00:00,11/04/2015 00:00,1,1,1,,EJECUCION,2015,293,,,2,04/02/2015 00:00,1,,NULL,0,NULL
