Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion,Id_Presupuesto
1,12,1,27/03/2015 00:00,27/03/2015 00:00,04/04/2015 00:00,4367.79,0,0,1,15
2,7,1,15/04/2015 00:00,15/04/2015 00:00,16/04/2015 00:00,37950.48,0,0,1,7
3,22,1,18/05/2015 00:00,18/05/2015 00:00,06/06/2015 00:00,146014.05,0,0,1,27
4,15,1,07/04/2015 00:00,07/04/2015 00:00,23/04/2015 00:00,5020003.25,0,0,1,19
5,4,1,16/05/2015 00:00,16/05/2015 00:00,25/05/2015 00:00,96321.22,0,0,1,
6,18,1,04/06/2015 00:00,04/06/2015 00:00,10/06/2015 00:00,33408.08,0,0,1,23
7,104,1,17/08/2015 00:00,17/08/2015 00:00,19/09/2015 00:00,154259.34,0,0,1,128
8,30,1,18/08/2015 00:00,18/08/2015 00:00,26/08/2015 00:00,62470.89,0,0,1,44
9,89,1,17/08/2015 00:00,17/08/2015 00:00,29/08/2015 00:00,98960.7,0,0,1,117
10,42,1,17/08/2015 00:00,17/08/2015 00:00,22/08/2015 00:00,46583.71,0,0,1,70
11,38,1,03/08/2015 00:00,03/08/2015 00:00,08/08/2015 00:00,41725.29,0,0,1,75
12,99,1,18/09/2015 00:00,18/09/2015 00:00,15/12/2015 00:00,619814.38,0,0,1,122
13,31,1,16/07/2015 00:00,16/07/2015 00:00,20/07/2015 00:00,51259.11,0,0,1,57
14,140,1,25/09/2015 00:00,25/09/2015 00:00,30/09/2015 00:00,86434.87,0,0,1,143
15,137,1,29/09/2015 00:00,29/09/2015 00:00,17/10/2015 00:00,156234.09,0,0,1,
16,120,1,11/09/2015 00:00,11/09/2015 00:00,24/10/2015 00:00,36228.18,0,0,1,
17,192,1,10/11/2015 00:00,10/11/2015 00:00,21/11/2015 00:00,199949.6,0,0,1,214
18,113,1,23/09/2015 00:00,23/09/2015 00:00,05/12/2015 00:00,182580.58,0,0,1,133
19,134,1,12/10/2015 00:00,12/10/2015 00:00,14/10/2015 00:00,13216.39,0,0,1,172
20,79,1,09/11/2015 00:00,09/11/2015 00:00,12/12/2015 00:00,37487.32,0,0,1,105
21,177,1,10/11/2015 00:00,10/11/2015 00:00,19/12/2015 00:00,250000,0,0,1,228
22,179,1,09/11/2015 00:00,09/11/2015 00:00,31/12/2015 00:00,411883.6,0,0,1,211
23,128,1,20/10/2015 00:00,20/10/2015 00:00,19/12/2015 00:00,1097958.69,30,329387.61,1,140
24,163,1,09/11/2015 00:00,09/11/2015 00:00,26/12/2015 00:00,521946.33,0,0,1,198
25,176,1,10/10/2015 00:00,10/10/2015 00:00,20/12/2015 00:00,390488.42,0,0,1,225
26,168,1,02/12/2015 00:00,02/12/2015 00:00,14/12/2015 00:00,69038.15,0,0,1,217
27,281,1,15/12/2015 00:00,15/12/2015 00:00,26/12/2015 00:00,2285904.82,0,0,1,342
28,222,1,17/12/2015 00:00,17/12/2015 00:00,26/12/2015 00:00,65687.96,0,0,1,239
29,280,1,16/12/2015 00:00,16/12/2015 00:00,26/12/2015 00:00,841980.94,0,0,1,340
30,44,1,31/08/2015 00:00,31/08/2015 00:00,08/09/2015 00:00,155051.73,0,0,1,79
31,265,1,15/12/2015 00:00,15/12/2015 00:00,02/04/2016 00:00,346400,0,0,1,315
32,184,1,02/12/2015 00:00,02/12/2015 00:00,09/12/2015 00:00,155527.13,0,0,1,231
33,121,1,17/11/2015 00:00,17/11/2015 00:00,25/12/2015 00:00,1074355.31,30,322306.59,1,156
34,121,2,17/11/2015 00:00,17/11/2015 00:00,25/12/2015 00:00,794451.09,30,238335.33,1,157
35,142,1,22/12/2015 00:00,22/12/2015 00:00,31/12/2015 00:00,87791.27,0,0,1,185
36,43,1,01/07/2015 00:00,01/07/2015 00:00,04/07/2015 00:00,134966.94,0,0,1,63
37,34,1,26/10/2015 00:00,26/10/2015 00:00,30/10/2015 00:00,385835.83,0,0,1,60
38,250,1,29/12/2015 00:00,29/12/2015 00:00,19/03/2016 00:00,259782.54,0,0,1,311
39,176,2,28/12/2015 00:00,28/12/2015 00:00,14/02/2016 00:00,387246.23,0,0,1,226
40,233,1,15/12/2015 00:00,15/12/2015 00:00,02/02/2016 00:00,37346.05,0,0,1,281
41,255,1,10/12/2015 00:00,10/12/2015 00:00,23/01/2016 00:00,47939.99,0,0,1,277
42,151,1,09/12/2015 00:00,09/12/2015 00:00,26/12/2015 00:00,80066.24,0,0,1,182
43,266,1,29/12/2015 00:00,29/12/2015 00:00,02/01/2016 00:00,30000,0,0,1,325
44,60,1,02/12/2015 00:00,02/12/2015 00:00,24/12/2015 00:00,7836699.16,30,2351009.73,1,48
45,274,1,15/12/2015 00:00,15/12/2015 00:00,19/03/2016 00:00,259800,0,0,1,313
46,179,2,29/12/2015 00:00,29/12/2015 00:00,14/02/2016 00:00,270000,0,0,1,212
47,196,1,26/10/2015 00:00,26/10/2015 00:00,12/12/2015 00:00,182378.54,0,0,1,249
48,148,1,01/12/2015 00:00,01/12/2015 00:00,03/12/2015 00:00,164975.17,0,0,1,169
49,232,1,10/02/2016 00:00,10/02/2016 00:00,14/02/2016 00:00,169677.21,0,0,1,279
50,190,1,28/03/2016 00:00,28/03/2016 00:00,23/04/2016 00:00,336981.31,0,0,1,220
51,279,1,01/03/2016 00:00,01/03/2016 00:00,19/03/2016 00:00,49049.8,0,0,1,
