Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
1,4,,CONTRATO,551348.15,44668.77,0,44668.77,506679.38,30,165404.45,13400.63,0,13400.63,152003.82
2,10,,CONTRATO,551348.15,146940.96,44668.77,191609.73,359738.42,30,165404.45,44082.29,13400.63,57482.92,107921.53
3,15,,CONTRATO,551348.15,304469.9,191609.73,496079.63,55268.52,30,165404.45,91340.97,57482.92,148823.89,16580.56
4,48,,CONTRATO,551348.15,22885.28,496079.63,518964.91,32383.24,30,165404.45,16580.56,148823.89,165404.45,0
5,61,,CONTRATO,551348.15,30943.63,518964.91,549908.54,1439.61,30,165404.45,0,165404.45,165404.45,0
6,5,,CONTRATO,173688.5,62952.1,0,62952.1,110736.4,0,0,0,0,0,0
7,13,,CONTRATO,173688.5,30608.69,62952.1,93560.79,80127.71,0,0,0,0,0,0
8,26,,CONTRATO,173688.5,28375.54,93560.79,121936.33,51752.17,0,0,0,0,0,0
9,28,,CONTRATO,173688.5,26907.22,121936.33,148843.55,24844.95,0,0,0,0,0,0
10,32,,CONTRATO,578838.23,155819.22,0,155819.22,423019.01,30,173651.47,46745.77,0,46745.77,126905.7
11,41,,CONTRATO,578838.23,50819,155819.22,206638.22,372200.01,30,173651.47,15245.7,46745.77,61991.47,111660
12,49,,CONTRATO,578838.23,288794.74,206638.22,495432.96,83405.27,30,173651.47,86638.42,61991.47,148629.89,25021.58
13,83,,CONTRATO,578838.23,26404.34,495432.96,521837.3,57000.93,30,173651.47,25021.58,148629.89,173651.47,0
14,9,,CONTRATO,815994.41,64090.75,0,64090.75,751903.66,30,244798.32,19227.23,0,19227.23,225571.09
15,9,5,AMPLIACIÓN 1,96321.22,0,0,0,96321.22,0,0,0,0,0,0
16,12,,CONTRATO,815994.41,124607.69,64090.75,188698.44,627295.97,30,244798.32,37382.31,19227.23,56609.54,188188.78
17,12,5,AMPLIACIÓN 1,96321.22,0,0,0,96321.22,0,0,0,0,0,0
18,27,,CONTRATO,815994.41,135188.95,188698.44,323887.39,492107.02,30,244798.32,40556.69,56609.54,97166.23,147632.09
19,27,5,AMPLIACIÓN 1,96321.22,0,0,0,96321.22,0,0,0,0,0,0
20,95,,CONTRATO,815994.41,488503.13,323887.39,812390.52,3603.89,30,244798.32,146550.94,97166.23,243717.17,1081.15
21,95,5,AMPLIACIÓN 1,96321.22,0,0,0,96321.22,0,0,0,0,0,0
22,145,,CONTRATO,815994.41,3603.89,812390.52,815994.41,0,30,244798.32,1081.15,243717.17,244798.32,0
23,145,5,AMPLIACIÓN 1,96321.22,36274.08,0,36274.08,60047.14,0,0,0,0,0,0
