Id_Obra,Año,Clave_Obra,Nombre,Tipo_Precio,Id_Sub_Programa,Id_Localidad,Beneficiarios,Id_Convenio,Tipo_Obra_Proyecto,Id_Sub_Tipo_Obra,Observaciones,Enviar_Para,Id_Oficio_Asignacion_Obra
1,2015,3,PAVIMENTACION DE LA CALLE ACAYA TRAMO: HEBREOS A EPISTOLAS COL. SAN PABLO,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 09/02/2015 ALMA,CONTRATADO,0
2,2015,7,PROYECTO EJECUTIVO DE LAS CALLES: 1. IGNACIO VILLAVICENCIO TRAMO: ARTURO VALADEZ - ARTURO VILLEGAS C,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 09/02/2015 ALMA,CONTRATADO,0
3,2015,2,PAVIMENTACION DE LA CALLE CAMPO GRANDE TRAMO: CAMPO ESCONDIDO A CAMPO ALEGRE COL. VALLE HERMOSO,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 12/02/2015 ALMA,CONTRATADO,0
4,2015,1,PAVIMENTACION DE LA CALLE MANUEL LOPEZ MERCADO TRAMO: BLVD. LEON II A BLVD. MARIANO ESCOBEDO COLONIA,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 12/02/2015 ALMA,CONTRATADO,0
5,2015,4,PROYECTO EJECUTIVO DE LAS CALLES: 1. MANUEL CRECENCIO REJON TRAMO: JOSE A. GODOY - JOSE M. DE LA TOR,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 12/02/2015 ALMA,CONTRATADO,0
6,2015,5,PROYECTO EJECUTIVO DE LAS CALLES: VALLE CEYLAN TRAMO: MADRE TIERRA - VALLE ARIZPE COL. VALLE DE SAN,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 12/02/2015 ALMA,CONTRATADO,0
7,2015,6,PROYECTO EJECUTIVO DE LAS CALLES: 1. DE LA CONQUISTA TRAMO: ALPES A TOPAR Y 2. DE LA PLACITA TRAMO:,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 12/02/2015 ALMA,CONTRATADO,0
8,2015,9,PROYECTO EJECUTIVO DE LAS CALLES: 1. LA VIZCAINA TRAMO: LOS ALPES - LA CONQUISTA; 2. CALLE ALPES TRA,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 12/02/2015 ALMA,CONTRATADO,0
9,2015,10,PROYECTO EJECUTIVO DE LAS CALLES: 1. TORRE DE VIGIA TRAMO: LATINOAMERICANA - LAS TORRES COL. LAS TOR,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 13/02/2015 ALMA,CONTRATADO,0
10,2015,11,PROYECTO EJECUTIVO DE LAS CALLES: 1. PRESA SARDANETA TRAMO: PRESA TILOSTOC - PRESA LA LLAVE COL. PRE,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 13/02/2015 ALMA,CONTRATADO,0
11,2015,12,ADECUACION Y TRABAJOS COMPLEMENTARIOS DEL PROYECTO EJECUTIVO: DE ESCUELA DE VANGUARDIA JACINTO LOPEZ,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 12/02/2015 ALMA,CONTRATADO,0
12,2015,13,PROYECTO EJECUTIVO DE LA CALLE: MAZATLAN TRAMO: BLVD. HILARIO MEDINA A CALLE ALFALFA COL. LA CANDELA,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 13/02/2015 ALMA,CONTRATADO,0
13,2015,14,PROYECTO EJECUTIVO DE LA CALLE: CUITLAHUAC TRAMO: AV. PRADERA A CHOLULA COL. AZTECA|,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 19/02/2015 ALMA,CONTRATADO,0
14,2015,15,PROYECTO EJECUTIVO DE LAS CALLES: 1. JACARANDA DEL VALLE TRAMO: OLIVO DEL VALLE - AVELLANO DEL VALLE,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 19/02/2015 ALMA,CONTRATADO,0
15,2015,16,REHABILITACIÓN DE LOS PAVIMENTOS DEL BLVD. TORRES LANDA EN EL TRAMO COMPRENDIDO DE LA AV. JUAREZ A M,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 19/02/2015 ALMA,CONTRATADO,0
16,2015,8,PAVIMENTACION DE LA CALLE COFRADIA TRAMO: HUIMILPAN - PALO ALTO COL. PRESA DEL PALOTE,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 19/02/2015 ALMA,CONTRATADO,0
17,2015,17,PROYECTO EJECUTIVO DE PAVIMENTACION DE LAS CALLES: 1. DE LA CAMPANA TRAMO: LOS ALPES - LA CONQUISTA,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 26/02/2015 ALMA,CONTRATADO,0
18,2015,19,PROYECTO EJECUTIVO DE OBRAS COMPLEMENTARIAS DE PAVIMENTACIÓN Y ALUMBRADO DEL FRACCIONAMIENTO CIUDAD,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 27/02/2015 ALMA,CONTRATADO,0
19,2015,18,PAVIMENTACION DE LA CALLE ETA (MEDIO CUERPO) TRAMO: JEREZ DE CARTAGENA A CERRITO DE JEREZ COL. CERRI,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 05/03/2015 ALMA,CONTRATADO,0
20,2015,20,PROYECTO EJECUTIVO DE INTERSECCIÓN A DESNIVEL DE PUENTE HIDALGO INTERSECCIÓN DE BLVD. JUAN ALONSO DE,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 26/03/2015 ALMA,CONTRATADO,0
21,2015,23,PAVIMENTACION DE LA CALLE MADRE REYNA TRAMO: AV. ATOTONILCO A MADRE MARINA COL. DIEZ DE MAYO,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 26/03/2015 ALMA,CONTRATADO,0
22,2015,22,REMODELACION DE AREAS EN EDIFICIO DE OBRAS PÚBLICAS MUNICIPALES,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 31/03/2015 ALMA  ,CONTRATADO,0
23,2015,24,PAVIMENTACION DE BANQUETA SUR CALLE ANDALUCIA TRAMO: GARCIA ORDOÑEZ - 21 DE MARZO; PAVIMENTACION DE,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 31/03/2015 ALMA,CONTRATADO,0
24,2015,21,PROYECTO DE LA PAVIMENTACION DE LAS CALLES: 1. PEÑAROL TRAMO: BOTOFOGO - FLUMINENSES COL. DEPORTIVA,Unitario,1,1,0,NULL,Obra,1,CAPTURADO 31/03/2015 ALMA,CONTRATADO,0
