Id_Presupuesto,Id_Obra,Nombre,Tipo_Presupuesto,Id_Modalidad,Fecha_Adjudicacion,Id_Presupuesto_Pertenece,Clave,Numero_Ampliacion
0000000001,0000000004,B-5051-236-6141-D/0001/2015  PAVIMENTACION DE LA CALLE MANUEL LOPEZ MERCADO TRAMO: BLVD. LEON II A BLVD. MARIANO ESCOBEDO COLONIA LEON II,ORIGINAL,0000000001,2015-01-12 00:00:00,,0,0
0000000002,0000000003,B-5051-236-6141-D/0002/2015  PAVIMENTACION DE LA CALLE CAMPO GRANDE TRAMO: CAMPO ESCONDIDO A CAMPO ALEGRE COL. VALLE HERMOSO,ORIGINAL,0000000001,2015-01-12 00:00:00,,0,0
0000000003,0000000001,B-5051-236-6141-D/0003/2015  PAVIMENTACION DE LA CALLE ACAYA TRAMO: HEBREOS A EPISTOLAS COL. SAN PABLO,ORIGINAL,0000000001,2015-01-12 00:00:00,,0,0
0000000004,0000000005,B-5051-236-6141-H/0004/2015  PROYECTO EJECUTIVO DE LAS CALLES: 1. MANUEL CRECENCIO REJON TRAMO: JOSE A. GODOY - JOSE M. DE LA TORRE COL. PERIODISTAS MEXICANOS; 2. MANUEL GONZALEZ TRAMO: LAZARO CARDENAS - PASCUAL ORTIZ RUBIO COL. PRESIDENTES MEXICANOS Y 3. ORTIGUILLA TRAMO: BLVD. PASEO DE LA PRESA - JUDIA COL. VALLE HERMOSO.,ORIGINAL,0000000001,2015-02-03 00:00:00,,0,0
0000000005,0000000006,B-5051-236-6141-H/0005/2015  PROYECTO EJECUTIVO DE LAS CALLES: VALLE CEYLAN TRAMO: MADRE TIERRA - VALLE ARIZPE COL. VALLE DE SAN JOSE; 2. JEREZ DE BERNA TRAMO: JEREZ DE MENORCA - JEREZ DE BESAYA COL. VALLE DE JEREZ,ORIGINAL,0000000001,2015-02-03 00:00:00,,0,0
0000000006,0000000007,B-5051-236-6141-H/0006/2015  PROYECTO EJECUTIVO DE LAS CALLES: 1. DE LA CONQUISTA TRAMO: ALPES A TOPAR Y 2. DE LA PLACITA TRAMO: LOS ALPES A LA CONQUISTA COL. LAS AMALIAS SUR.,ORIGINAL,0000000001,2015-02-03 00:00:00,,0,0
0000000007,0000000007,AMPLIACION 1,AMPLIACION,0000000001,2015-02-03 00:00:00,0000000006,1,1
0000000008,0000000002,B-5051-236-6141-H/0007/2015  PROYECTO EJECUTIVO DE LAS CALLES: 1. IGNACIO VILLAVICENCIO TRAMO: ARTURO VALADEZ - ARTURO VILLEGAS COL. LEON I; 2. VERONA TRAMO: FLUMINENSE - BOTAFOGO COL. DEPORTIVA II,ORIGINAL,0000000001,2015-02-03 00:00:00,,0,0
0000000009,0000000016,B-5051-236-6141-D/0008/2015  PAVIMENTACION DE LA CALLE COFRADIA TRAMO: HUIMILPAN - PALO ALTO COL. PRESA DEL PALOTE,ORIGINAL,0000000001,2015-02-03 00:00:00,,0,0
0000000010,0000000008,B-5051-236-6141-H/0009/2015  PROYECTO EJECUTIVO DE LAS CALLES: 1. LA VIZCAINA TRAMO: LOS ALPES - LA CONQUISTA; 2. CALLE ALPES TRAMO: BLVD. JUAN JOSE TORRES LANDA - TOPAR COL. LAS AMALIAS SUR,ORIGINAL,0000000001,2015-02-04 00:00:00,,0,0
