Id_Capitulo,Id_Presupuesto,Clave,Descripcion,Importe
10,1,10,SUMINISTROS - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO,9468.54
11,1,11,LIMPIEZA DE OBRA - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO,403
12,1,12,PRELIMINARES - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),2470.14
13,1,13,RELLENOS Y ACARREOS - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),18606.99
14,1,14,MANO DE OBRA - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),14414.8
15,1,15,SUMINISTROS - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),4440.12
16,1,16,LIMPIEZA - REHABILITACIÓN Y/O REPOSICIÓN DE DRENAJE SANITARIO (DESCARGAS),403
17,1,17,PRELIMINARES - ARROYO Y GUARNICIONES,45285.8
18,1,18,ACARREOS EN CAMIÓN - ARROYO Y GUARNICIONES,55326.83
19,1,19,BASES Y SUB-BASES - ARROYO Y GUARNICIONES,81605.91
20,1,20,PAVIMENTOS DE CONCRETO - ARROYO Y GUARNICIONES,266166.62
21,1,21,LIMPIEZA DE OBRA - ARROYO Y GUARNICIONES,2537.45
22,1,22,PRELIMINARES - BANQUETAS,5020.94
23,1,23,ACARREOS - BANQUETAS,2157.49
24,1,24,BASES - BANQUETAS,4877.17
25,1,25,PAVIMENTOS - BANQUETAS,25164.64
26,1,26,SELLADO DE JUNTAS - BANQUETAS,8381.39
27,1,27,LIMPIEZA - BANQUETAS,709.52
28,1,28,SEÑALAMIENTO HORIZONTAL,11306.09
29,1,29,SEÑALAMIENTO VERTICAL,7442.46
30,1,30,SEÑALAMIENTO DE PROTECCIÓN DE OBRA,6198.09
31,1,31,FUERA DE CATALOGO,0
32,2,1,PRELIMINARES AGUA POTABLE,5050.12
33,2,2,RELLENOS Y ACARREOS AGUA POTABLE,26509.25
34,2,3,SUMINISTROS AGUA POTABLE,3631.87
35,2,4,MANO DE OBRA AGUA POTABLE,18068.53
36,2,5,LIMPIEZA DE OBRA AGUA POTABLE,520.11
37,2,6,PRELIMINARES DRENAJE SANITARIO,7462.53
38,2,7,RELLENOS Y ACARREOS DRENAJE SANITARIO,66442.09
39,2,8,SUMINISTROS DRENAJE SANITARIO,8264.36
40,2,9,MANO DE OBRA DRENAJE SANITARIO,21560.66
41,2,10,LIMPIEZA DE OBRA DRENAJE SANITARIO,429.92
42,2,11,PRELIMINARES DESCARGAS SANITARIAS,3422.59
43,2,12,RELLENOS Y ACARREOS  DESCARGAS SANITARIAS,21713.26
44,2,13,MANO DE OBRA  DESCARGAS SANITARIAS,12924.45
45,2,14,LIMPIEZAS DESCARGAS SANITARIAS,322.4
46,2,15,PRELIMINARES ARROYO Y GUARNICIONES,19622.35
47,2,16,ACARREOS EN CAMION ARROYO Y GUARNICIONES,23271.54
48,2,17,BASES Y SUB-BASES ARROYO Y GUARNICIONES,38004.14
49,2,18,PAVIMENTOS ASFALTICOS ARROYO Y GUARNICIONES,10279.82
50,2,19,PAVIMENTOS DE CONCRETO ARROYO Y GUARNICIONES,140953.17
51,2,20,DRENAJE SANITARIO ARROYO Y GUARNICIONES,5968.48
52,2,21,PRELIMINARES BANQUETAS,4532.74
53,2,22,ACARREOS BANQUETAS,1246.03
54,2,23,BASES BANQUETAS,4911.54
55,2,24,PAVIMENTOS BANQUETAS,40306.05
56,2,25,LIMPIEZA DE OBRA BANQUETAS,491.42
57,2,26,SEÑALAMIENTO VERTICAL Y HORIZONTAL,10304.28
58,2,27,SEÑALAMIENTO DE PROTECCION DE OBRA,2784.77
59,2,28,FUERA DE CATALOGO,0
60,3,1,SEÑALAMIENTO DE PROTECCIÓN DE OBRA,3213.46
61,3,2,PRELIMINARES - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE AGUA POTABLE,3329.7
62,3,3,RELLENOS Y ACARREOS - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE AGUA POTABLE,20400.39
63,3,4,SUMINISTROS - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE AGUA POTABLE,4739.74
64,3,5,MANO DE OBRA - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE AGUA POTABLE,14992.36
65,3,6,LIMPIEZA DE OBRA - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE AGUA POTABLE,160.93
66,3,7,PRELIMINARES - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (ATARJEA),3255.21
67,3,8,RELLENOS Y ACARREOS - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (ATARJEA),42358.15
68,3,9,SUMINISTROS - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (ATARJEA),1480.04
69,3,10,MANO DE OBRA - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (ATARJEA),7067.49
70,3,11,LIMPIEZA DE OBRA - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (ATARJEA),88.23
71,3,12,PRELIMINARES - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (DESCARGAS),2833.19
72,3,13,RELLENOS Y ACARREOS - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (DESCARGAS),14707.67
73,3,14,SUMINISTROS - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (DESCARGAS),1480.04
74,3,15,MANO DE OBRA - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (DESCARGAS),18714.19
75,3,16,LIMPIEZA DE OBRA - REPOSICIÓN Y/O REHABILITACIÓN DE LA LÍNEA DE DRENAJE SANITARIO (DESCARGAS),73.15
76,3,17,PRELIMINARES - ARROYO Y GUARNICIONES,12225.29
77,3,18,ACARREOS EN CAMIÓN - ARROYO Y GUARNICIONES,22324.49
78,3,19,BASES Y SUB-BASES - ARROYO Y GUARNICIONES,37385.7
79,3,20,PAVIMENTOS ASFÁLTICOS - ARROYO Y GUARNICIONES,11198.85
80,3,21,PAVIMENTOS DE CONCRETO - ARROYO Y GUARNICIONES,145643.24
81,3,22,LIMPIEZA DE OBRA - ARROYO Y GUARNICIONES,1786.1
82,3,23,PRELIMINARES - BANQUETAS,10928.49
83,3,24,ACARREOS - BANQUETAS,3225.46
84,3,25,BASES - BANQUETAS,4532.46
85,3,26,PAVIMENTOS - BANQUETAS,36598.47
86,3,27,LIMPIEZA DE OBRA - BANQUETAS,606.03
87,3,28,SEÑALAMIENTO VERTICAL Y HORIZONTAL,22682.16
88,3,29,ELECTRICO,27269.45
89,3,30,FUERA DE CATALOGO,0
90,4,1,TOPOGRAFIA C. MANUEL CRECENCIO REJÓN.,10097.37
91,4,2,TRAMITES C. MANUEL CRECENCIO REJÓN.,1204.2
92,4,3,SONDEOS C. MANUEL CRECENCIO REJÓN.,4101.8
93,4,4,ANTEPROYECTO C. MANUEL CRECENCIO REJÓN.,18607.8
94,4,5,PROYECTO C. MANUEL CRECENCIO REJÓN.,21781.73
95,4,6,ENTREGA C. MANUEL CRECENCIO REJÓN.,11681.39
96,4,7,MECANICA DE SUELOS (CONSIDERADO COMO SUBCONTRATO) C. MANUEL CRECENCIO REJÓN.,19694.86
97,4,8,TOPOGRAFIA C. MANUEL GONZALEZ.,11407.83
98,4,9,TRAMITES C. MANUEL GONZALEZ.,1204.2
99,4,10,SONDEOS C. MANUEL GONZALEZ.,4101.8
100,4,11,ANTEPROYECTO C. MANUEL GONZALEZ.,20326.65
101,4,12,PROYECTO C. MANUEL GONZALEZ.,24512.96
102,4,13,ENTREGA C. MANUEL GONZALEZ.,12444.07
103,4,14,MECANICA DE SUELOS (CONSIDERADO COMO SUBCONTRATO) C. MANUEL GONZALEZ.,19694.86
104,4,15,TOPOGRAFIA C. ORTIGUILLA.,6175.98
105,4,16,TRAMITES C. ORTIGUILLA.,1204.2
106,4,17,SONDEOS C. ORTIGUILLA.,4101.8
107,4,18,ANTEPROYECTO C. ORTIGUILLA.,10315.37
108,4,19,PROYECTO C. ORTIGUILLA.,11821.56
109,4,20,ENTREGA C. ORTIGUILLA.,9793.08
110,4,21,MECANICA DE SUELOS (CONSIDERADO COMO SUBCONTRATO) C. ORTIGUILLA.,19694.86
111,5,1,TOPOGRAFIA C. VALLE DE CEYLAN.,11407.83
112,5,2,TRAMITES C. VALLE DE CEYLAN.,1204.2
113,5,3,SONDEOS C. VALLE DE CEYLAN.,4101.8
114,5,4,ANTEPROYECTO C. VALLE DE CEYLAN.,20326.65
115,5,5,PROYECTO C. VALLE DE CEYLAN.,24512.96
116,5,6,ENTREGA C. VALLE DE CEYLAN.,12444.07
117,5,7,MECANICA DE SUELOS (CONSIDERADO COMO SUBCONTRATO) C. VALLE DE CEYLAN.,19694.86
118,5,8,TOPOGRAFIA C. JEREZ DE BERNA.,12144.82
119,5,9,TRAMITES C. JEREZ DE BERNA.,1204.2
120,5,10,SONDEOS C. JEREZ DE BERNA.,4101.8
121,5,11,ANTEPROYECTO C. JEREZ DE BERNA.,20326.65
122,5,12,PROYECTO C. JEREZ DE BERNA.,24512.96
123,5,13,ENTREGA C. JEREZ DE BERNA.,12639.07
124,5,14,MECANICA DE SUELOS (CONSIDERADO COMO SUBCONTRATO) C. JEREZ DE BERNA.,19694.86
125,6,1,TOPOGRAFIA CALLE DE LA CONQUISTA,13673.58
126,6,2,TRAMITES CALLE DE LA CONQUISTA,1204.2
127,6,3,SONDEOS CALLE DE LA CONQUISTA,4101.8
128,6,4,ANTEPROYECTO CALLE DE LA CONQUISTA,21764.75
129,6,5,PROYECTO CALLE DE LA CONQUISTA,27047.45
130,6,6,ENTREGA CALLE DE LA CONQUISTA,13414.66
131,6,7,MECANICA DE SUELOS CALLE DE LA CONQUISTA (CONSIDERADO COMO SUBCONTRATO).,19694.86
132,6,8,TOPOGRAFIA CALLE DE LA PLACITA,10097.37
133,6,9,TRAMITES CALLE DE LA PLACITA,1204.2
134,6,10,SONDEOS CALLE DE LA PLACITA,4101.8
135,6,11,ANTEPROYECTO CALLE DE LA PLACITA,18607.8
136,6,12,PROYECTO CALLE DE LA PLACITA,21781.73
137,6,13,ENTREGA CALLE DE LA PLACITA,11681.39
138,6,14,MECANICA DE SUELOS CALLE DE LA PLACITA (CONSIDERADO COMO SUBCONTRATO).,19694.86
139,7,1,SONDEOS C. DE LA CONQUISTA,9664.82
140,7,2,ANTEPROYECTO C. DE LA CONQUISTA,7702.66
141,7,3,PROYECTO C. DE LA CONQUISTA,12733.02
142,7,4,ANTEPROYECTO C. DE LA PLACITA,3209.67
143,7,5,PROYECTO C. DE LA PLACITA,4640.21
144,8,1,TOPOGRAFIA C. IGNACIO VILLAVICENCIO.,9649.2
145,8,2,TRAMITES C. IGNACIO VILLAVICENCIO.,1204.2
146,8,3,SONDEOS C. IGNACIO VILLAVICENCIO.,4101.8
147,8,4,ANTEPROYECTO C. IGNACIO VILLAVICENCIO.,18607.8
148,8,5,PROYECTO C. IGNACIO VILLAVICENCIO.,21781.73
149,8,6,ENTREGA C. IGNACIO VILLAVICENCIO.,11585.02
150,8,7,MECANICA DE SUELOS (CONSIDERADO COMO SUBCONTRATO) C. IGNACIO VILLAVICENCIO.,19694.86
151,8,8,TOPOGRAFIA C. VERONA.,6175.98
152,8,9,TRAMITES C. VERONA.,1204.2
153,8,10,SONDEOS C. VERONA.,4101.8
154,8,11,ANTEPROYECTO C. VERONA.,10315.37
155,8,12,PROYECTO C. VERONA.,11821.56
156,8,13,ENTREGA C. VERONA.,9793.08
157,8,14,MECANICA DE SUELOS (CONSIDERADO COMO SUBCONTRATO) C. VERONA.,19694.86
158,9,1,PRELIMINARES AGUA POTABLE,27577.12
159,9,2,ACARREOS EN CAMION AGUA POTABLE,26391.95
160,9,3,RELLENOS AGUA POTABLE,38997.28
161,9,4,RED DE AGUA POTABLE,24931.98
162,9,5,CAJA DE VÁLVULAS AGUA POTABLE,39240.88
163,9,6,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS (DRENAJE SANITARIO),23205.52
164,9,7,ACARREOS EN CAMION (DRENAJE SANITARIO),24985.51
165,9,8,RELLENOS (DRENAJE SANITARIO),94589.6
166,9,9,DRENAJE (DRENAJE SANITARIO),36933.02
167,9,10,LIMPIEZAS (DRENAJE SANITARIO),2330.77
168,9,11,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS (DESCARGAS DOMICILIARIAS),8138.26
169,9,12,ACARREOS EN CAMION (DESCARGAS DOMICILIARIAS),11366.12
170,9,13,RELLENOS (DESCARGAS DOMICILIARIAS),17932.92
171,9,14,DESCARGAS DOMICILIARIAS,53362.95
172,9,15,LIMPIEZAS (DESCARGAS DOMICILIARIAS),456.3
