Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
1,3,1,ANTICIPO,12/02/2015 00:00,10,05/02/2015 00:00,27/04/2015 00:00,SN        ,06/02/2015 00:00,DG/RCA/011/15  ,12/02/2015 00:00,,26/01/2015 00:00,18/04/2015 00:00
2,16,1,ANTICIPO,11/03/2015 00:00,25,06/03/2015 00:00,24/06/2015 00:00,SN        ,10/03/2015 00:00,DG/RCA/016/15  ,11/03/2015 00:00,,09/02/2015 00:00,30/05/2015 00:00
4,18,1,ANTICIPO,26/03/2015 00:00,15,10/03/2015 00:00,10/05/2015 00:00,SN        ,11/03/2015 00:00,DG/RCA/019/15  ,26/03/2015 00:00,,23/02/2015 00:00,25/04/2015 00:00
5,20,1,ANTICIPO,20/03/2015 00:00,4,20/03/2015 00:00,23/09/2015 00:00,001/2015/0,20/03/2015 00:00,DG/RCA/018/15  ,20/03/2015 00:00,,16/03/2015 00:00,19/09/2015 00:00
9,24,1,ANTICIPO,14/04/2015 00:00,10,09/04/2015 00:00,22/06/2015 00:00,SN        ,14/04/2015 00:00,DG/RCA/022/15  ,14/04/2015 00:00,,30/03/2015 00:00,13/06/2015 00:00
10,25,1,ANTICIPO,14/04/2015 00:00,10,09/04/2015 00:00,22/06/2015 00:00,SN        ,14/04/2015 00:00,DG/RCA/022/15-1,14/04/2015 00:00,,30/03/2015 00:00,13/06/2015 00:00
11,26,1,ANTICIPO,14/04/2015 00:00,10,09/04/2015 00:00,22/06/2015 00:00,SN        ,14/04/2015 00:00,DG/RCA/022/15-2,14/04/2015 00:00,,30/03/2015 00:00,13/06/2015 00:00
12,27,1,ANTICIPO,14/04/2015 00:00,10,09/04/2015 00:00,22/06/2015 00:00,SN        ,14/04/2015 00:00,DG/RCA/022/15-3,14/04/2015 00:00,,30/03/2015 00:00,13/06/2015 00:00
14,34,1,ANTICIPO,11/05/2015 00:00,5,02/05/2015 00:00,12/08/2015 00:00,S/N       ,08/05/2015 00:00,S/N            ,11/05/2015 00:00,,27/04/2015 00:00,08/08/2015 00:00
15,37,1,ANTICIPO,06/05/2015 00:00,9,29/04/2015 00:00,20/07/2015 00:00,S/N       ,06/05/2015 00:00,S/N            ,06/05/2015 00:00,,20/04/2015 00:00,11/07/2015 00:00
17,51,1,ANTICIPO,26/05/2015 00:00,9,06/05/2015 00:00,10/08/2015 00:00,S/N       ,25/05/2015 00:00,DGOP/RCA/023/15,26/05/2015 00:00,,27/04/2015 00:00,31/07/2015 00:00
18,44,1,ANTICIPO,26/05/2015 00:00,16,20/05/2015 00:00,10/08/2015 00:00,S/N       ,25/05/2015 00:00,DGOP/RCA/024/15,26/05/2015 00:00,,04/05/2015 00:00,25/07/2015 00:00
19,46,1,ANTICIPO,18/05/2015 00:00,9,13/05/2015 00:00,06/07/2015 00:00,S/N       ,15/05/2015 00:00,DGOP/RCA/025/15,18/05/2015 00:00,,04/05/2015 00:00,27/06/2015 00:00
20,78,1,ANTICIPO,25/05/2015 00:00,8,19/05/2015 00:00,08/08/2015 00:00,S/N       ,22/05/2015 00:00,DGOP/RCA/026/15,25/05/2015 00:00,,11/05/2015 00:00,01/08/2015 00:00
21,62,1,ANTICIPO,26/05/2015 00:00,40,23/05/2015 00:00,23/09/2015 00:00,S/N       ,25/05/2015 00:00,DGOP/RCA/027/15,26/05/2015 00:00,,13/04/2015 00:00,14/08/2015 00:00
22,76,1,ANTICIPO,26/05/2015 00:00,5,16/05/2015 00:00,03/09/2015 00:00,S/N       ,25/05/2015 00:00,DGOP/RCA/028/15,26/05/2015 00:00,,11/05/2015 00:00,29/08/2015 00:00
23,79,1,ANTICIPO,28/05/2015 00:00,9,27/05/2015 00:00,17/08/2015 00:00,S/N       ,27/05/2015 00:00,DGOP/RCA/029/15,28/05/2015 00:00,,18/05/2015 00:00,08/08/2015 00:00
24,74,1,ANTICIPO,03/06/2015 00:00,12,16/05/2015 00:00,10/07/2015 00:00,S/N       ,10/07/2015 00:00,DGOP/RCA/030/15,03/06/2015 00:00,,04/05/2015 00:00,27/06/2015 00:00
26,33,1,ANTICIPO,21/05/2015 00:00,22,12/05/2015 00:00,09/08/2015 00:00,S/N RECAL ,21/05/2015 00:00,REC/021/15     ,21/05/2015 00:00,SE ANEXA AUTORIZACION DE RECALEDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,20/04/2015 00:00,18/07/2015 00:00
27,85,1,ANTICIPO,15/06/2015 00:00,3,28/05/2015 00:00,19/08/2015 00:00,S/N       ,08/06/2015 00:00,DGOP/RCA/031/15,15/06/2015 00:00,,25/05/2015 00:00,15/08/2015 00:00
28,30,1,ANTICIPO,29/04/2015 00:00,3,23/04/2015 00:00,15/07/2015 00:00,S/N       ,27/04/2015 00:00,DGOP/RCA/032/15,29/04/2015 00:00,CAPTURADO EL 29 DE ABRIL DE 2015 Y SE ANEXA AL EXPEDIENTE EL PROGRAMA RECALENDARIZADO Y COPIA DE NOTA DE BITACORA ASÍ COMO OFICIO DE SOLICITUD DEL CONTRATISTA.,20/04/2015 00:00,11/07/2015 00:00
34,83,1,ANTICIPO,08/06/2015 00:00,7,08/06/2015 00:00,29/08/2015 00:00,S/N RECALE,08/06/2015 00:00,REC/023/15     ,08/06/2015 00:00,SE ANEXA AUTORIZACION ORIGINAL DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,01/06/2015 00:00,22/08/2015 00:00
40,104,1,ANTICIPO,06/07/2015 00:00,4,26/06/2015 00:00,03/09/2015 00:00,S/N       ,02/07/2015 00:00,DGOP/RCA/033/15,06/07/2015 00:00,,22/06/2015 00:00,29/08/2015 00:00
43,110,1,ANTICIPO,13/07/2015 00:00,4,03/07/2015 00:00,23/09/2015 00:00,S/N       ,10/07/2015 00:00,DGOP/RCA/034/15,13/07/2015 00:00,,29/06/2015 00:00,19/09/2015 00:00
44,108,1,ANTICIPO,13/07/2015 00:00,8,07/07/2015 00:00,06/09/2015 00:00,S/N       ,08/07/2015 00:00,DGOP/RCA/035/15,13/07/2015 00:00,,29/06/2015 00:00,29/08/2015 00:00
45,107,1,ANTICIPO,13/07/2015 00:00,7,06/07/2015 00:00,19/09/2015 00:00,S/N       ,09/07/2015 00:00,DGOP/RCA/036/15,13/07/2015 00:00,,29/06/2015 00:00,12/09/2015 00:00
46,112,1,ANTICIPO,16/07/2015 00:00,10,09/07/2015 00:00,29/09/2015 00:00,S/N       ,10/07/2015 00:00,DGOP/RCA/037/15,16/07/2015 00:00,,29/06/2015 00:00,19/09/2015 00:00
50,114,1,ANTICIPO,27/07/2015 00:00,8,21/07/2015 00:00,21/05/2016 00:00,001/2015/0,22/07/2015 00:00,DGOP/RCA/038/15,27/07/2015 00:00,,13/07/2015 00:00,14/05/2016 00:00
51,115,1,ANTICIPO,31/07/2015 00:00,3,23/07/2015 00:00,29/09/2015 00:00,OPL/ANDUJA,27/07/2015 00:00,DGOP/RCA/039/15,31/07/2015 00:00,,20/07/2015 00:00,26/09/2015 00:00
52,116,1,ANTICIPO,03/08/2015 00:00,8,21/07/2015 00:00,14/11/2015 00:00,S/N       ,27/07/2015 00:00,DGOP/RCA/040/15,03/08/2015 00:00,,13/07/2015 00:00,07/11/2015 00:00
53,117,1,ANTICIPO,04/08/2015 00:00,8,28/07/2015 00:00,28/10/2015 00:00,S/N       ,04/08/2015 00:00,DGOP/RCA/041/15,04/08/2015 00:00,,20/07/2015 00:00,10/10/2015 00:00
61,133,1,ANTICIPO,13/08/2015 00:00,11,07/08/2015 00:00,24/11/2015 00:00,S/N       ,12/08/2015 00:00,DGOP/RCA/042/15,13/08/2015 00:00,,27/07/2015 00:00,13/11/2015 00:00
68,149,1,ANTICIPO,21/08/2015 00:00,4,14/08/2015 00:00,14/10/2015 00:00,S/N       ,20/08/2015 00:00,DGOP/RCA/043/15,21/08/2015 00:00,,10/08/2015 00:00,10/10/2015 00:00
69,144,1,ANTICIPO,21/08/2015 00:00,8,11/08/2015 00:00,12/12/2015 00:00,S/N       ,18/08/2015 00:00,DGOP/RCA/044/15,21/08/2015 00:00,,03/08/2015 00:00,04/12/2015 00:00
