Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion,Descripcion_Fianza,Importe_Fianza,
2,2,2,1683125,12/01/2016 00:00,12/01/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",12/01/2017 00:00,,CUMPLIMIENTO,40924.33,
3,3,2,1683125,12/01/2016 00:00,12/01/2016 00:00,ACE FIANZAS MONTERREY. S-A-,12/01/2017 00:00,,CUMPLIMIENTO,40924.33,
4,7,1,1682588,12/01/2016 00:00,12/01/2016 00:00,"ACE FIANZAS MONTERREY, S.A. DE",12/01/2017 00:00,,30% ANTICIPO,98787.84,
5,7,2,1682589,12/01/2016 00:00,12/01/2016 00:00,"ACE FIANZAS MONTERREY, S.A. DE",12/01/2017 00:00,,CUMPLIMIENTO,32929.28,
6,8,2,1682589,12/01/2016 00:00,12/01/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",12/01/2017 00:00,,CUMPLIMIENTO,32929.28,
7,8,1,1682588,12/01/2016 00:00,12/01/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",12/01/2017 00:00,,30% ANTICIPO,98787.84,
8,9,1,1682588,12/01/2016 00:00,12/01/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",12/01/2017 00:00,,30% ANTICIPO,98787.84,
9,9,2,1682589,12/01/2016 00:00,12/01/2016 00:00,"ACE FIANZAS MONTERREY, S.A.",12/01/2017 00:00,,CUMPLIMIENTO,32929.28,
10,10,1,88277763,12/01/2016 00:00,12/01/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,12/01/2017 00:00,,30% ANTICIPO,77903.57,
11,10,2,88277765,12/01/2016 00:00,12/01/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,12/01/2017 00:00,,CUMPLIMIENTO,25967.85,
12,11,2,88277765,12/01/2016 00:00,12/01/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,12/01/2017 00:00,,CUMPLIMIENTO,25967.85,
13,11,1,88277763,12/01/2016 00:00,12/01/2016 00:00,CHUBB DE MEXICO COMPAÑIA AFIAN,12/01/2017 00:00,,30% ANTICIPO,77903.57,
14,4,2,1667915,18/01/2016 00:00,18/01/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",18/01/2017 00:00,,CUMPLIMIENTO,47062.47,
15,4,1,1667916,18/01/2016 00:00,18/01/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",18/01/2017 00:00,,30% ANTICIPO,141187.4,
16,5,1,1667916,18/01/2016 00:00,18/01/2016 00:00,"PRIMERO FIANZAS, S.A. DE C.V.",18/01/2017 00:00,,30% ANTICIPO,141187.4,
