Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
941,559,1,6.43
942,559,3,32.17
949,561,1,314.38
950,561,3,1571.92
955,562,1,216.91
956,562,3,1084.57
961,565,1,527.15
962,565,3,2635.73
963,566,1,1604.1
964,566,3,8020.52
975,568,1,103.16
976,568,3,515.78
983,569,1,66.37
984,569,3,331.84
987,570,1,114.52
988,570,3,572.61
1000,574,1,492.09
1001,574,3,2460.47
1006,575,1,445.5
1007,575,3,2227.52
1012,576,1,634.7
1013,576,3,3173.49
1014,577,1,424.63
1015,577,3,2123.13
1016,578,1,14.17
1017,578,3,70.84
1018,579,1,1260.04
1019,579,3,6300.18
1022,580,1,422.26
1023,580,3,2111.31
1030,582,1,1850.95
1031,582,3,9254.76
1034,583,1,22.24
1035,583,3,111.18
1038,584,4,223.74
1041,585,1,289.98
1042,585,3,1449.91
1047,588,1,155.67
1048,588,3,778.37
1049,587,1,533.21
1050,587,3,2666.07
1053,589,1,110.9
1054,589,3,554.5
1057,590,1,1935.95
1058,590,3,9679.73
1061,591,1,142.2
1062,591,3,711.01
1065,592,1,823.74
1066,592,3,4118.69
1071,594,1,181.66
1072,594,3,908.31
1091,598,1,168.1
1092,598,3,840.52
1097,599,1,334.9
1098,599,3,1674.48
1099,600,1,412.49
1100,600,3,2062.47
1103,601,1,632.4
1104,601,3,3162
1105,602,2,11114.32
1106,595,1,123.41
1107,595,3,617.07
1108,603,1,677.93
1109,603,3,3389.66
1110,42,1,15
1111,42,3,75
1112,59,1,13.13
1113,59,3,65.63
1114,68,1,1247.04
1115,68,3,6235.18
1116,69,1,1429.8
1117,69,3,7148.99
1118,70,1,123.97
1119,70,3,619.87
1120,76,1,255.67
1121,76,3,1278.37
1122,77,1,6.54
1123,77,3,32.68
1124,78,1,40.33
1125,78,3,201.66
1126,79,1,429.6
1127,79,3,2147.99
1128,80,1,188.08
1129,80,3,940.42
1130,81,1,219.05
1131,81,3,1095.24
1132,85,1,183.3
1133,85,3,916.5
1134,87,1,94.83
1135,87,3,474.15
1136,89,1,175.26
1137,89,3,876.3
1138,94,1,149.45
1139,94,3,747.23
1140,97,1,72.85
1141,97,3,364.24
1142,99,1,369.37
1143,99,3,1846.85
1144,100,1,316.89
1145,100,3,1584.43
1146,103,1,377.9
