Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
2,4,,CONTRATO,155648.08,3338.92,9068.71,12407.63,143240.45,0,0,0,0,0,0
3,16,,CONTRATO,155648.08,27940.79,12407.63,40348.42,115299.66,0,0,0,0,0,0
4,43,,CONTRATO,155648.08,47206.27,40348.42,87554.69,68093.39,0,0,0,0,0,0
5,60,,CONTRATO,155648.08,30775.45,87554.69,118330.14,37317.94,0,0,0,0,0,0
6,119,,CONTRATO,155648.08,17254.73,118330.14,135584.87,20063.21,0,0,0,0,0,0
7,2,,CONTRATO,130581.1,2893.9,0,2893.9,127687.2,0,0,0,0,0,0
8,5,,CONTRATO,130581.1,47443.2,2893.9,50337.1,80244,0,0,0,0,0,0
9,17,,CONTRATO,130581.1,1752.91,50337.1,52090.01,78491.09,0,0,0,0,0,0
10,44,,CONTRATO,130581.1,12217.57,52090.01,64307.58,66273.52,0,0,0,0,0,0
11,61,,CONTRATO,130581.1,3246.65,64307.58,67554.23,63026.87,0,0,0,0,0,0
12,120,,CONTRATO,130581.1,20525.26,67554.23,88079.49,42501.61,0,0,0,0,0,0
13,3,,CONTRATO,123014.16,4485.02,0,4485.02,118529.14,0,0,0,0,0,0
14,6,,CONTRATO,123014.16,2484.84,4485.02,6969.86,116044.3,0,0,0,0,0,0
15,18,,CONTRATO,123014.16,24725.96,6969.86,31695.82,91318.34,0,0,0,0,0,0
16,45,,CONTRATO,123014.16,33557.08,31695.82,65252.9,57761.26,0,0,0,0,0,0
17,62,,CONTRATO,123014.16,25359.12,65252.9,90612.02,32402.14,0,0,0,0,0,0
18,121,,CONTRATO,123014.16,15101.56,90612.02,105713.58,17300.58,0,0,0,0,0,0
19,20,,CONTRATO,155902.46,16422.02,0,16422.02,139480.44,30,46770.74,4926.61,0,4926.61,41844.13
20,39,,CONTRATO,155902.46,30953.1,16422.02,47375.12,108527.34,30,46770.74,9285.93,4926.61,14212.54,32558.2
21,50,,CONTRATO,155902.46,17522.89,47375.12,64898.01,91004.45,30,46770.74,5256.87,14212.54,19469.41,27301.33
22,63,,CONTRATO,155902.46,35749.69,64898.01,100647.7,55254.76,30,46770.74,10724.91,19469.41,30194.32,16576.42
23,82,,CONTRATO,155902.46,15444.97,100647.7,116092.67,39809.79,30,46770.74,4633.49,30194.32,34827.81,11942.93
24,206,,CONTRATO,155902.46,22493.62,116092.67,138586.29,17316.17,30,46770.74,6748.09,34827.81,41575.9,5194.84
25,21,,CONTRATO,156291.43,16969.21,0,16969.21,139322.22,30,46887.43,5090.76,0,5090.76,41796.67
26,40,,CONTRATO,156291.43,24928.48,16969.21,41897.69,114393.74,30,46887.43,7478.54,5090.76,12569.3,34318.13
27,51,,CONTRATO,156291.43,17522.89,41897.69,59420.58,96870.85,30,46887.43,5256.87,12569.3,17826.17,29061.26
28,64,,CONTRATO,156291.43,35749.69,59420.58,95170.27,61121.16,30,46887.43,10724.91,17826.17,28551.08,18336.35
29,83,,CONTRATO,156291.43,15444.97,95170.27,110615.24,45676.19,30,46887.43,4633.49,28551.08,33184.57,13702.86
30,207,,CONTRATO,156291.43,22882.59,110615.24,133497.83,22793.6,30,46887.43,6864.78,33184.57,40049.35,6838.08
31,22,,CONTRATO,158430.77,16816.95,0,16816.95,141613.82,30,47529.23,5045.09,0,5045.09,42484.14
