Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
6,14,14/03/2016 00:00,14/03/2016 00:00,14/03/2016 00:00,135/2016,14/03/2016 00:00,,AUTORIZADO
7,15,14/03/2016 00:00,14/03/2016 00:00,14/03/2016 00:00,136/2016,14/03/2016 00:00,,AUTORIZADO
8,15,14/03/2016 00:00,14/03/2016 00:00,14/03/2016 00:00,137/2016,14/03/2016 00:00,,AUTORIZADO
22,12,15/04/2016 00:00,15/04/2016 00:00,15/04/2016 00:00,187/2016,15/04/2016 00:00,,AUTORIZADO
30,1,18/04/2016 00:00,18/04/2016 00:00,18/04/2016 00:00,211/2016,18/04/2016 00:00,,AUTORIZADO
31,2,18/04/2016 00:00,18/04/2016 00:00,18/04/2016 00:00,212/2016,18/04/2016 00:00,,AUTORIZADO
32,3,18/04/2016 00:00,18/04/2016 00:00,18/04/2016 00:00,213/2016,18/04/2016 00:00,,AUTORIZADO
36,13,26/05/2016 00:00,26/05/2016 00:00,26/05/2016 00:00,248/2016,26/05/2016 00:00,,AUTORIZADO
38,16,19/05/2016 00:00,19/05/2016 00:00,19/05/2016 00:00,273/2016,19/05/2016 00:00,,AUTORIZADO
42,14,06/06/2016 00:00,06/06/2016 00:00,06/06/2016 00:00,282/2016,06/06/2016 00:00,,AUTORIZADO
47,28,20/06/2016 00:00,20/06/2016 00:00,20/06/2016 00:00,294/2016,20/06/2016 00:00,,AUTORIZADO
48,28,20/06/2016 00:00,20/06/2016 00:00,20/06/2016 00:00,295/2016,20/06/2016 00:00,,AUTORIZADO
53,33,30/06/2016 00:00,30/06/2016 00:00,30/06/2016 00:00,309/2016,30/06/2016 00:00,,AUTORIZADO
60,74,08/07/2016 00:00,08/07/2016 00:00,08/07/2016 00:00,323/2016,08/07/2016 00:00,,AUTORIZADO
64,72,08/07/2016 00:00,08/07/2016 00:00,08/07/2016 00:00,329/2016,08/07/2016 00:00,,AUTORIZADO
70,28,20/06/2016 00:00,20/06/2016 00:00,20/06/2016 00:00,335/2016,20/06/2016 00:00,,AUTORIZADO
78,74,15/07/2016 00:00,15/07/2016 00:00,15/07/2016 00:00,342/2016,15/07/2016 00:00,,AUTORIZADO
79,60,04/07/2016 00:00,04/07/2016 00:00,04/07/2016 00:00,341/2016,04/07/2016 00:00,,AUTORIZADO
93,58,15/07/2016 00:00,15/07/2016 00:00,15/07/2016 00:00,347/2016,15/07/2016 00:00,,AUTORIZADO
99,74,15/07/2016 00:00,15/07/2016 00:00,15/07/2016 00:00,356/2016,15/07/2016 00:00,,AUTORIZADO
103,31,28/07/2016 00:00,28/07/2016 00:00,28/07/2016 00:00,358/2016,28/07/2016 00:00,,AUTORIZADO
104,16,04/07/2016 00:00,04/07/2016 00:00,04/07/2016 00:00,359/2016,04/07/2016 00:00,,AUTORIZADO
105,27,28/07/2016 00:00,28/07/2016 00:00,28/07/2016 00:00,360/2016,28/07/2016 00:00,,AUTORIZADO
113,26,08/07/2016 00:00,08/07/2016 00:00,08/07/2016 00:00,321/2016,08/07/2016 00:00,,AUTORIZADO
136,80,29/07/2016 00:00,29/07/2016 00:00,29/07/2016 00:00,377/2016,29/07/2016 00:00,,AUTORIZADO
150,72,18/07/2016 00:00,18/07/2016 00:00,18/07/2016 00:00,389/2016,18/07/2016 00:00,,AUTORIZADO
153,33,25/07/2016 00:00,25/07/2016 00:00,25/07/2016 00:00,393/2016,25/07/2016 00:00,,AUTORIZADO
156,26,11/07/2016 00:00,11/07/2016 00:00,11/07/2016 00:00,398/2016,11/07/2016 00:00,,AUTORIZADO
158,27,28/07/2016 00:00,28/07/2016 00:00,28/07/2016 00:00,399/2016,28/07/2016 00:00,,AUTORIZADO
160,54,25/07/2016 00:00,25/07/2016 00:00,25/07/2016 00:00,400/2016,25/07/2016 00:00,,AUTORIZADO
162,31,28/07/2016 00:00,28/07/2016 00:00,28/07/2016 00:00,402/2016,28/07/2016 00:00,,AUTORIZADO
164,33,25/07/2016 00:00,25/07/2016 00:00,25/07/2016 00:00,405/2016,25/07/2016 00:00,,AUTORIZADO
165,32,22/08/2016 00:00,22/08/2016 00:00,22/08/2016 00:00,406/2016,22/08/2016 00:00,,AUTORIZADO
168,59,28/07/2016 00:00,28/07/2016 00:00,28/07/2016 00:00,407/2016,28/07/2016 00:00,,AUTORIZADO
169,59,28/07/2016 00:00,28/07/2016 00:00,28/07/2016 00:00,408/2016,28/07/2016 00:00,,AUTORIZADO
171,47,15/08/2016 00:00,15/08/2016 00:00,15/08/2016 00:00,409/2016,15/08/2016 00:00,,AUTORIZADO
173,32,22/08/2016 00:00,22/08/2016 00:00,22/08/2016 00:00,410/2016,22/08/2016 00:00,,AUTORIZADO
