Id_Prorroga,Id_Contrato,No_Prorroga,Dias_Recorrer,Fecha_Nueva,Porcentaje,Justificacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Termino_Ultima_Anterior
3,1,1,27,16/04/2016 00:00,50,,S/N,18/03/2016 00:00,DGOP/408/16,18/03/2016 00:00,,19/03/2016 00:00
4,2,1,27,16/04/2016 00:00,50,,S/N,18/03/2016 00:00,DGOP/408/16,18/03/2016 00:00,,19/03/2016 00:00
5,3,1,27,16/04/2016 00:00,50,,S/N,18/03/2016 00:00,DGOP/408/16,18/03/2016 00:00,,19/03/2016 00:00
9,4,1,53,16/06/2016 00:00,64.63,,S/N,23/05/2016 00:00,PRORROGA1,25/05/2016 00:00,,23/04/2016 00:00
10,5,1,53,16/06/2016 00:00,64.63,,S/N,23/05/2016 00:00,PRORROGA1,25/05/2016 00:00,,23/04/2016 00:00
11,6,1,53,16/06/2016 00:00,64.63,,S/N,23/05/2016 00:00,PRORROGA1,25/05/2016 00:00,,23/04/2016 00:00
16,16,1,34,08/08/2016 00:00,31,"debido a los tiempos generados por la autorización de traza ante Desarrollo Urbano, al proyecto geométrico por tránsito municipal y a la ejecucion de conceptos fuera de catalogo y volúmenes excedentes",S/N,30/06/2016 00:00,PRORROGA1,01/07/2016 00:00,ninguna,05/07/2016 00:00
17,31,1,15,29/08/2016 00:00,18.29,SE ANEXA AUTORIZACION ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,22/07/2016 00:00,01 PR/114/16,28/07/2016 00:00,,13/08/2016 00:00
21,32,1,26,09/09/2016 00:00,31.71,SE ANEXA AUTORIZACION ORIGINAL DE CONVENIO DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,04/08/2016 00:00,01 PR/125/16,10/08/2016 00:00,,13/08/2016 00:00
22,33,1,36,24/09/2016 00:00,43.9,SE ANEXA AUTORIZA ORIGINAL DE CONVENIO DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,15/08/2016 00:00,01 PR/131/16,18/08/2016 00:00,,18/08/2016 00:00
24,97,1,10,07/09/2016 00:00,25,SE ANEXA AUTORIZACION DE ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,24/08/2016 00:00,01 PR/145/16,30/08/2016 00:00,,27/08/2016 00:00
33,34,1,27,15/09/2016 00:00,32.93,SE ANEXA AUTORIZACIION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUN TA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,17/08/2016 00:00,01 PR/139/16,24/08/2016 00:00,,18/08/2016 00:00
68,54,2,37,15/10/2016 00:00,60.66,SE ANEXA AUTORIZACION DE CONVENIO E 2A PRORROGA  CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EXPEDIENTE UNITARIO ,S/N PRORRO,30/08/2016 00:00,02 PR/159/16,05/09/2016 00:00,,07/09/2016 00:00
69,54,1,24,07/09/2016 00:00,39.34,SE ANEXA AUTORIZACION DE CONVENIO E 1A PRORROGA  CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EXPEDIENTE UNITARIO ,S/N PRORRO,11/08/2016 00:00,01 PR/127/16,11/08/2016 00:00,,13/08/2016 00:00
