Id_Suspension,Id_Contrato,Oficio_Suspension,Fecha_Suspension,Observaciones_Suspension,Oficio_Reinicio,Fecha_Reinicio,Observaciones_Reinicio,Fecha_Nuevo_Termino,Fecha_Oficio_Suspension,Fecha_Oficio_Reinicio
1,27,DGOP/CT/035/16,06/06/2016 00:00,,DGOP/CT/035/16,13/06/2016 00:00,,20/08/2016 00:00,06/06/2016 00:00,13/06/2016 00:00
2,31,DGOP/CT/052/16,31/08/2016 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/052/16,28/09/2016 00:00,SE TRAMITA Y SE ENVÍA ADMÓN PARA SU CONTROL Y ARCHIVO,03/10/2016 00:00,31/08/2016 00:00,28/09/2016 00:00
3,14,ACTA CIRCUNSTANCIADA DE SUSPENSIÓN,18/04/2016 00:00,SE SUSPENDE POR OFICIO EMITIDO POR LA GESTION AMBIENTAL POR 45 DIAS,REINICIO DE PROYECTO,21/10/2016 00:00,,02/11/2016 00:00,11/04/2016 00:00,21/10/2016 00:00
4,15,ACTA CIRCUNSTANCIADA DE SUSPENSIÓN,18/04/2016 00:00,SUSPENCIÓN DE 45 DIAS,REINICIO DE PROYECTO,21/10/2016 00:00,,02/11/2016 00:00,11/04/2016 00:00,21/10/2016 00:00
5,84,DGOP/CT/066/16,26/10/2016 00:00,POR INFORMES RENDIDOS POR LA SUPERVISIÓN  DE LA OBRA.,DGOP/CT066/16,16/11/2016 00:00,REINICIO ,28/11/2014 00:00,26/10/2016 00:00,23/11/2016 00:00
6,25,DGOP/CT/037/16,10/06/2016 00:00,RESPUESTA POR SAPAL DE RESTITUCIÓN DE LÍNEAS DE AGUA POTABLE Y DRENAJE EXISTENTE,DGOP/CT/037/16,23/11/2016 00:00,SE SUSTITUYES LAS LÍNEAS DE AGUA POTABLE Y DRENAJE POR SAPAL,11/02/2017 00:00,09/06/2016 00:00,30/11/2016 00:00
7,104,ACTA CIRCUSTANCIADA,23/09/2016 00:00,"ENTREGA DE TRAZA DE LA CALLE SAN JOSE DEL POTRERO POR PARTE DE LA DIRECCIÓN DE DESARROLLO URBANO, YA QUE SE ESTA DEFINIENDO EL TRAZO CON EL IMUVI",PROY/0112/17,16/01/2017 00:00,SE ENTREGO LA TRAZA POR PARTE DE DESARROLLO URBANO POR LO QUE SE AUTORIZO EL REINICIO DE LA CALLE SAN JODE LE POTRERO,31/01/2017 00:00,23/09/2016 00:00,16/01/2017 00:00
8,296,DGOP/CT/092/16,26/12/2016 00:00,SE ENVIA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/092/16,23/01/2017 00:00,SE TRAMITA Y SE ENVÍA PARA SU CONTROL Y ARCHIVO,20/06/2017 00:00,26/12/2016 00:00,23/01/2017 00:00
9,131,DGOP/CT/078/16,26/11/2016 00:00,SE ENVIA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/078/16,08/03/2017 00:00,SE TRAMITA Y SE ENVÍA PARA SU CONTROL Y ARCHIVO REINICIO Y 1ER PRORROGA,07/04/2017 00:00,26/11/2016 00:00,08/03/2017 00:00
10,230,DGOP/CT/084/16,15/12/2016 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,,13/03/2017 00:00,,11/04/2017 00:00,15/12/2016 00:00,13/03/2017 00:00
11,91,DGOP/CT/082/16,08/12/2016 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/082/16,09/01/2017 00:00,SE TRAMITA Y SE ENVÍA PARA SU CONTROL Y ARCHIVO ES REINICIO Y TERCER PRORROGA,20/02/2015 00:00,08/12/2016 00:00,09/01/2017 00:00
12,244,DGOP/CT/091/16,12/12/2016 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/091/16,09/01/2017 00:00,"LIBERAR ESPACIO PUESTOS AMBULANTES, REANUDAN ACTIVIDADES",15/02/2017 00:00,23/12/2016 00:00,09/01/2017 00:00
