Id_Recurso_Proyecto,Id_Unidad_Responsable,Clave,Id_Aportacion,Nombre,,,,,
122,8,185,1,PARQUE MEXICO,,,,,
112,4,389,1,MERCADOS (PARTICIPACIONES),,,,,
121,11,831,2,BARDA PERIMETRAL,,,,,
123,3,343,1,REHAB PQUE HIDALGO,,,,,
103,19,9034,3,PARQUE CHAPALITA,,,,,
114,3,816,2,BACHEO AISLADO,,,,,
111,1,392,1,PAVIMENTACIONES MANO CON MANO,,,,,
118,21,359,1,SITIO DE REPETICION,,,,,
110,3,849,2,CICLOVIA LA LUZ,,,,,
116,20,378,1,BODEGA DE ALMACENAMIENTO,,,,,
107,3,845,2,TEJIDO SOCIAL,,,,,
120,10,CONV CETITEG,2,CONVENIO CECITEG,,,,,
109,3,804,2,AV. LA MERCED,,,,,
105,3,332,1,ILUMINACION INTELIGENTE,,,,,
106,3,805,2,carpeta asfaltica,,,,,
117,19,321,1,UNIDAD DEPORTIVA,,,,,
113,7,393,1,PARQUES LINEALES,,,,,
108,7,817,2,impulso social,,,,,
124,3,368,1,MUNICIPAL,,,,,
104,3,6211,1,EDIFICACION NO HABITACIONAL,,,,,
119,22,SIAP,1,SIAP,,,,,
115,7,364,1,PAVIMENTACIONES MANO CON MANO,,,,,
