Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion
1,98,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,165467.5,0,0,1
2,81,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,130217.47,0,0,1
3,106,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,224322.93,0,0,1
4,108,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,270006.33,30,81001.9,1
5,100,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,145252.28,0,0,1
6,94,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,151649.58,0,0,1
7,103,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,221665,0,0,1
8,92,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,201122.93,0,0,1
9,99,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,154746.46,0,0,1
10,104,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,152206.2,0,0,1
11,110,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,134428.03,0,0,1
12,113,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,203948.79,0,0,1
13,118,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,146623.4,0,0,1
14,112,1,01/07/2017 00:00,02/07/2017 00:00,29/07/2017 00:00,153867.5,0,0,1
15,92,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,389886.6,0,0,1
16,99,2,28/08/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,269879.53,0,0,1
17,108,2,31/08/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,268214.25,30,80464.27,1
18,94,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,278571.56,0,0,1
19,100,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,264177.62,0,0,1
20,98,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,299221.88,0,0,1
21,81,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,266889.31,0,0,1
22,104,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,279823.95,0,0,1
23,106,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,452268.22,0,0,1
24,103,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,383906.15,0,0,1
25,110,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,255482.88,0,0,1
26,113,2,22/09/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,317944.77,0,0,1
27,112,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,299221.88,0,0,1
28,134,1,30/09/2017 00:00,20/06/2017 00:00,18/11/2017 00:00,1199999.45,30,359999.83,1
29,338,1,29/09/2017 00:00,20/09/2017 00:00,04/10/2017 00:00,18431.72,0,0,1
30,337,1,30/09/2017 00:00,20/09/2017 00:00,04/10/2017 00:00,4171.53,0,0,1
31,118,2,28/07/2017 00:00,03/03/2017 00:00,30/09/2017 00:00,277702.64,0,0,1
32,66,1,19/07/2017 00:00,19/05/2017 00:00,24/09/2017 00:00,558292,0,0,1
33,19,1,18/09/2017 00:00,23/03/2017 00:00,28/10/2017 00:00,3498900.2,30,1049670.06,1
34,208,1,12/09/2017 00:00,25/07/2017 00:00,26/11/2017 00:00,4000000,30,1200000,1
35,40,1,18/10/2017 00:00,01/05/2017 00:00,05/11/2017 00:00,2495846.11,30,748753.83,1
36,189,1,26/10/2017 00:00,13/07/2017 00:00,09/11/2017 00:00,348734.53,0,0,1
37,30,1,12/09/2017 00:00,24/04/2017 00:00,10/11/2017 00:00,2487452.51,30,746235.75,1
38,311,1,28/10/2017 00:00,29/10/2017 00:00,15/12/2017 00:00,336628.82,0,0,1
39,94,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,402381.15,0,0,1
40,100,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,381589.9,0,0,1
41,99,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,389825.99,0,0,1
42,104,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,404190.14,0,0,1
43,92,3,10/11/2017 00:00,01/10/2017 00:00,09/12/2017 00:00,433207.34,0,0,1
44,106,3,30/09/2017 00:00,03/04/2017 00:00,25/11/2017 00:00,346565.68,0,0,1
45,203,1,25/09/2017 00:00,18/07/2017 00:00,02/11/2017 00:00,221054.54,0,0,1
46,98,3,30/09/2017 00:00,01/10/2017 00:00,21/12/2017 00:00,432209.39,0,0,1
47,81,3,16/11/2017 00:00,01/10/2017 00:00,21/12/2017 00:00,385506.78,0,0,1
48,113,3,16/11/2017 00:00,01/10/2017 00:00,21/12/2017 00:00,459253.56,0,0,1
49,108,3,30/09/2017 00:00,01/10/2017 00:00,21/12/2017 00:00,387420.58,30,116226.17,1
50,268,1,02/10/2017 00:00,27/07/2017 00:00,02/11/2017 00:00,565041.23,0,0,1
51,172,1,17/11/2017 00:00,15/06/2017 00:00,28/10/2017 00:00,1286497.33,30,385949.19,1
52,110,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,369030.82,0,0,1
53,118,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,401126.04,0,0,1
54,112,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,432209.39,0,0,1
