Id_Contrato_Fianza,Id_Contrato,Id_Fianza,Numero_Fianza,Fecha_Emision,Fecha_Recepcion,Nombre_Afianzadora,Fecha_Liberacion,Id_Contrato_Ampliacion
9,8,2,1783563,14/02/2017 00:00,17/02/2017 00:00,ACE FIANZAS MONTERREY,13/02/2018 00:00,
10,8,1,1783559,14/02/2017 00:00,17/02/2017 00:00,ACE FIAZAS MONTERREY,13/02/2018 00:00,
20009,12,1,1255-00846-9,14/02/2017 00:00,20/02/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",14/02/2018 00:00,
20010,12,2,1255-00847-2,14/02/2017 00:00,20/02/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",14/02/2018 00:00,
20011,13,2,17A06369,16/02/2017 00:00,17/02/2017 00:00,"FIANZAS DORAMA, S.A.",16/02/2018 00:00,
20012,13,1,17A06368,16/02/2017 00:00,17/02/2017 00:00,"FIANZAS DORAMA, S.A.",16/02/2018 00:00,
30009,14,2,1789065,06/03/2017 00:00,16/03/2017 00:00,FIANZAS MONTERREY,06/05/2017 00:00,
30010,14,1,1789063,06/03/2017 00:00,16/03/2017 00:00,FIANZAS MONTERREY,05/03/2018 00:00,
30011,15,2,728993,15/03/2017 00:00,05/04/2017 00:00,FIANZAS DORAMA,15/03/2018 00:00,
30012,15,1,728975,15/03/2017 00:00,05/04/2017 00:00,FIANZAS DORAMA,14/03/2018 00:00,
30013,16,1,4197-00369-9,31/03/2017 00:00,04/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V. ",30/03/2018 00:00,
30014,16,2,4197-00370-7,31/03/2017 00:00,04/04/2017 00:00,AFIANZADORA ASERTA,30/03/2018 00:00,
30015,17,2,3449-00722-7,21/04/2017 00:00,21/04/2017 00:00,AFIANZADORA ASERTA S.A. DE C.V.,21/04/2017 00:00,
30016,17,1,3449-00721-0,21/04/2017 00:00,21/04/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V. ",21/04/2017 00:00,
30019,20,1,1790965,22/03/2017 00:00,03/04/2017 00:00,ACE FIANZAS MONTERREY,21/03/2018 00:00,
30020,20,2,1790962,22/03/2017 00:00,25/04/2017 00:00,ACE FIANZAS MONTERREY,21/03/2018 00:00,
30021,19,1,1790965,22/03/2017 00:00,03/04/2017 00:00,ACE FIANZAS MONTERREY,21/03/2018 00:00,
30022,19,2,1790962,22/03/2017 00:00,03/04/2017 00:00,ACE FIANZAS MONTERREY,21/03/2018 00:00,
30023,24,2,1428581,07/04/2017 00:00,27/04/2017 00:00,AFIANZADORA SOFIMEX S.A.,06/04/2018 00:00,
30024,25,2,4197-00354-1,17/02/2017 00:00,23/02/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",17/02/2018 00:00,
30025,26,2,4197-00354-1,17/02/2017 00:00,23/02/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V",17/02/2018 00:00,
30026,27,2,4197-00354-1,17/02/2017 00:00,23/02/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",17/02/2018 00:00,
30027,28,2,4197-00354-1,17/02/2017 00:00,23/02/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",17/02/2018 00:00,
30028,29,2,4197-00354-1,17/02/2017 00:00,23/02/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V.",17/02/2018 00:00,
30029,30,1,17A11275,29/03/2017 00:00,07/04/2017 00:00,DORAMA,28/03/2018 00:00,
30030,30,2,17A11277,29/03/2017 00:00,07/04/2017 00:00,DORAMA,28/03/2018 00:00,
30031,31,1,1793931,30/03/2017 00:00,10/04/2017 00:00,ACE FIANZAS MONTERREY,29/03/2018 00:00,
30032,31,2,1793934,31/03/2017 00:00,10/04/2017 00:00,ACE FIANZAS MONTERREY,29/03/2018 00:00,
30033,32,1,1839396-0000,07/04/2017 00:00,17/04/2017 00:00,LIBERTY FIANZAS,06/04/2018 00:00,
30034,32,2,1839397-0000,07/04/2017 00:00,17/04/2017 00:00,LIBERTY FIANZAS,06/04/2018 00:00,
40017,34,1,4197-00361-5,16/03/2017 00:00,23/03/2017 00:00,"AFINAZADORA ASERTA, S.A. DE C.V. ",15/03/2018 00:00,
40018,34,2,4197-00362-4,16/03/2017 00:00,23/03/2017 00:00,"AFIANZADORA ASERTA, S.A. DE C.V. ",15/03/2018 00:00,
40019,35,1,3915-03658-0,27/03/2017 00:00,12/04/2017 00:00,"AFIANZADORA INSURGENTES, S.A. DE C.V. ",26/03/2018 00:00,
