Id_Contrato_Recurso,Id_Contrato,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado
7,7,2,100,359039.36
8,8,3,100,24166051.4
10008,9,3,100,33079805.41
10009,10,4,100,1425769.41
10010,11,5,100,36461.29
20008,12,3,100,23613846.68
20009,13,3,100,15916188.81
30008,14,9,100,346907.14
30009,15,12,100,617193.5
30010,16,11,100,291193.4
30011,17,1,100,1284896.72
30012,18,5,100,37343.46
30013,19,10,100,19223383.39
30014,20,13,100,6381931.8
30015,21,1,100,117185.82
30016,22,5,100,185645.84
30017,23,10,100,146121.67
30018,24,16,100,1229232.29
30019,25,7,100,129092.65
30020,26,7,100,99424.13
30021,27,7,100,138879.21
30022,28,7,100,130199.05
30023,29,7,100,112834.44
30024,30,15,100,8889936.69
30025,31,13,100,1892237.17
30026,32,15,100,215135.55
40013,33,8,100,25289.91
40014,34,5,100,216669.35
40015,35,7,100,134055.9
40016,36,7,100,126256.57
40017,37,7,100,215217.15
40018,38,7,100,142717
50013,39,12,100,115485.28
60013,40,15,100,9512732.68
60014,41,7,100,174279.32
60015,42,7,100,134055.9
60016,43,7,100,160008.65
60017,44,7,100,134055.9
60018,45,14,100,1482919.56
60019,46,12,100,77863.11
60020,47,7,100,1206030.2
60021,48,7,100,97620.14
60022,49,7,100,112834.44
60023,50,7,100,126256.57
60024,51,7,100,144256.28
60025,52,11,100,226056.82
60028,55,8,100,1357867.02
70013,56,17,100,324046.21
70014,57,6,100,323915.02
70015,58,1,100,135172.71
70016,59,1,100,98074.28
70017,60,1,100,142716.99
80013,63,19,100,36165.22
80014,64,12,100,138109.84
80015,65,16,100,1103465.75
80016,66,9,100,2823971.8
80017,67,1,100,158062.49
80018,68,7,100,170616.74
80019,69,7,100,136190.77
80020,70,12,100,146393.72
80021,71,7,100,81420.64
80022,72,7,100,94141.01
80028,77,11,100,918160.42
80032,81,21,100,366994.01
80033,82,21,100,1175488.82
80034,83,7,100,239367.14
80035,84,7,100,145845.28
80036,85,7,100,158062.5
80037,86,7,100,142717
80038,87,21,100,1175488.82
80039,88,21,100,1175488.82
80041,89,11,100,187813.88
80042,90,11,100,1250403.67
80043,91,11,100,154159.68
80044,92,21,100,530990.41
80045,93,9,100,360387.09
80046,94,21,100,382570.35
80047,95,9,100,373454.3
80048,96,10,100,29012196.75
80049,97,11,100,1334308.24
80050,98,21,100,406426.28
80051,99,21,100,370980.98
80052,100,21,100,363378.43
80053,101,21,100,1175488.82
80054,102,21,100,1175488.82
80055,103,21,100,523016.61
80056,104,21,100,393841.48
80058,106,21,100,530990.41
80059,107,11,100,945359.21
80060,108,21,100,364804.54
80062,110,21,100,350393.72
80063,111,21,100,1175488.82
80064,112,21,100,408712.11
80065,113,21,100,434785.57
80066,114,21,100,1175488.82
80067,115,22,100,627518.89
80068,116,11,100,1102864.49
80069,117,11,100,939435.66
80070,118,21,100,381411.79
80071,119,11,100,1033313.57
80072,120,11,100,1062554.85
80073,121,11,100,357495.92
80074,122,11,100,621377.8
80075,123,11,100,155627.01
80076,124,11,100,113721.1
80078,125,11,100,194976.47
80079,126,11,100,203711.97
80080,127,11,100,178095.78
80081,128,11,100,165924.94
80082,129,11,100,137855.24
80083,130,7,100,390937.67
80085,131,11,100,153685.78
80087,132,23,100,456541.19
80088,133,7,100,300184.15
80089,134,15,100,13425191.36
80090,135,12,100,98200.07
80091,136,23,100,1451245.04
80092,137,11,100,307807.24
80093,138,12,100,150949.83
80094,139,12,100,119634.56
80095,140,12,100,106294.69
80096,141,23,100,3573584.71
80097,142,11,100,619144.92
80099,143,11,100,176511.75
80100,144,7,100,258303.84
80101,145,12,100,727480.68
80102,146,24,100,3913683.02
80103,147,23,100,1315507.85
80104,148,23,100,1072757.05
80109,150,1,100,142717
80111,152,1,100,126256.57
80112,153,19,100,660481.37
80113,154,11,100,125312.53
80115,156,15,100,1285048.73
80116,157,15,100,1507554.68
80117,158,15,100,1319387.99
80118,159,11,100,126220.75
80119,160,11,100,172926.35
80120,161,7,100,119365.95
80121,162,7,100,119365.95
80122,163,5,100,65759.81
80123,164,15,100,1420411.36
80124,165,25,100,1016644.36
80125,166,15,100,1483028.1
80126,167,25,100,4747877.8
80127,168,23,100,1138477.7
80128,169,25,100,663130.85
80129,170,25,100,6303777.83
80130,171,25,100,1632734.49
80131,172,15,100,4060769.69
80132,173,25,100,975507.09
80133,174,25,100,1997674.08
80134,175,25,100,810578.69
80135,176,25,100,1490273.91
80136,177,23,100,1559401.49
80137,178,12,100,95018.96
80138,179,25,100,935772.08
80139,180,25,100,1775279.16
80140,181,11,100,215927.17
80141,182,25,100,3878434.78
80142,183,7,100,388780.02
80143,184,25,100,3768023.59
80144,185,25,100,2482929.63
80145,186,25,100,1647673.72
80146,187,11,100,529471.84
80147,149,1,100,88539.61
80148,151,1,100,153336.81
80149,188,25,100,7626255.07
80150,189,25,100,1946131.22
80151,190,25,100,2241865.56
80152,191,25,100,1873769.74
80153,192,25,100,3023393.46
80154,193,25,100,4713791.15
80155,194,25,100,783889.64
80156,195,25,100,1703957.11
80157,196,23,100,1427977.5
80158,197,15,100,10182997.44
80159,198,25,100,2489528.47
80160,199,25,100,369192.47
80161,200,26,100,830853.86
80162,201,26,100,439965.37
80163,202,11,100,507480.15
80164,203,25,100,2631646.67
80165,204,25,100,3563951.89
80166,205,25,100,4321442.8
80167,206,12,100,104410
80168,207,28,100,257052.06
80169,208,15,100,10747831.82
80170,209,25,100,1061967.43
80171,210,15,100,2363416.14
80172,211,25,100,4682947.21
80173,98,21,100,165467.5
80174,81,21,100,130217.47
80175,212,29,100,1520517.25
80176,213,25,100,1307374.57
80177,214,30,100,1478896.04
80181,218,31,100,451996.88
80182,219,15,100,3987823.94
80183,220,7,100,483943.64
80184,221,1,100,895000.2
80187,224,25,100,1586340.94
80188,225,13,100,5623941.26
80189,226,1,100,466037.9
80190,227,11,100,600037.57
80193,230,25,100,13915962.98
80194,231,1,100,1187194.94
80196,232,7,100,65715.69
80197,233,25,100,3572789.8
80198,234,11,100,858548.31
80199,235,25,100,1473697.27
80200,236,7,100,266738.47
80201,237,32,100,1036532.99
80202,238,7,100,83300.74
80203,239,7,100,87192.5
80205,106,21,100,224322.93
80206,240,25,100,2590343.99
80207,241,7,100,334928.52
80208,108,21,100,270006.33
80209,100,21,100,145252.28
80210,94,21,100,151649.58
80211,103,21,100,221665
80212,92,21,100,201122.93
80213,99,21,100,154746.46
80214,242,25,100,554569.44
80215,243,30,100,1260450.62
80216,244,32,100,1411223.51
80217,245,36,100,1389859.13
80218,246,25,100,1445446.59
80219,105,6,100,168700.25
80220,109,6,100,151377.84
80221,247,30,100,2147668.72
80222,248,30,100,1111315.97
80223,249,10,100,24359859.54
80224,250,35,100,966857.7
80225,251,7,100,233160.3
80226,252,37,100,100
80227,253,7,100,270512.83
80228,254,11,100,296659.39
80229,255,43,100,1212277.33
80230,256,32,100,3490881.12
80231,257,32,100,3669765.68
80232,258,35,100,1492786.02
80233,259,36,100,1389859.13
80234,260,32,100,3403217.65
80235,261,27,100,3414580.4
80236,104,21,100,152206.2
80237,110,21,100,134427.95
80238,262,34,100,697021.29
80239,263,32,100,2629275.62
80240,264,16,61.88,515324.32
80246,217,16,73.86,190371.83
80248,216,16,73.86,286051.75
