Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
29,29,,CONTRATO,33079805.41,2412345.44,3039225.2,5451570.64,27628234.77,50,16539902.7,1206172.72,1519612.6,2725785.32,13814117.38
31,31,,CONTRATO,1284896.72,98712.31,0,98712.31,1186184.41,30,385469.02,29613.69,0,29613.69,355855.33
32,32,,CONTRATO,1229232.29,230618.9,873816.05,1104434.95,124797.34,0,0,0,0,0,0
33,33,,CONTRATO,115485.28,100689.44,0,100689.44,14795.84,0,0,0,0,0,0
39,39,,CONTRATO,1357867.02,180563.31,0,180563.31,1177303.71,30,407360.1,54168.99,0,54168.99,353191.11
40,40,,CONTRATO,19223383.39,71528.04,0,71528.04,19151855.35,30,5767015.01,21458.41,0,21458.41,5745556.6
41,41,,CONTRATO,291193.4,59460.44,0,59460.44,231732.96,30,87358.02,17838.13,0,17838.13,69519.89
44,44,,CONTRATO,134055.9,5517.49,0,5517.49,128538.41,30,40216.77,1655.25,0,1655.25,38561.52
68,68,,CONTRATO,33079805.41,2535835.43,5451570.64,7987406.07,25092399.34,50,16539902.7,1267917.72,2725785.32,3993703.04,12546199.66
69,69,,CONTRATO,15916188.81,144136.87,0,144136.87,15772051.94,50,7958094.41,72068.44,0,72068.44,7886025.97
71,71,,CONTRATO,144256.28,77714.7,0,77714.7,66541.58,0,0,0,0,0,0
72,72,,CONTRATO,126256.57,50989.22,0,50989.22,75267.35,0,0,0,0,0,0
73,73,,CONTRATO,112834.44,50165.37,0,50165.37,62669.07,0,0,0,0,0,0
74,74,,CONTRATO,97620.14,35059.58,0,35059.58,62560.56,0,0,0,0,0,0
75,75,,CONTRATO,359039.36,17048.61,231997.23,249045.84,109993.52,0,0,0,0,0,0
79,79,,CONTRATO,393841.48,124366.2,124366.2,248732.4,145109.08,0,0,0,0,0,0
80,80,,CONTRATO,363378.43,117412.28,0,117412.28,245966.15,0,0,0,0,0,0
112,112,,CONTRATO,94141.01,15448.03,0,15448.03,78692.98,0,0,0,0,0,0
138,138,,CONTRATO,6381931.8,101340.14,0,101340.14,6280591.66,30,1914579.54,30402.04,0,30402.04,1884177.5
141,141,,CONTRATO,165077.2,74349.09,10452.62,84801.71,80275.49,0,0,0,0,0,0
142,142,,CONTRATO,165077.2,53563.79,84801.71,138365.5,26711.7,0,0,0,0,0,0
165,165,,CONTRATO,381411.79,123423.4,123423.4,246846.8,134564.99,0,0,0,0,0,0
173,173,,CONTRATO,1175488.82,61023.86,258741.19,319765.05,855723.77,0,0,0,0,0,0
176,176,,CONTRATO,434785.57,141308.79,141308.79,282617.58,152167.99,0,0,0,0,0,0
188,188,,CONTRATO,176511.75,68682.73,0,68682.73,107829.02,0,0,0,0,0,0
189,189,,CONTRATO,176511.75,53471.62,68682.73,122154.35,54357.4,0,0,0,0,0,0
217,217,,CONTRATO,126256.57,37624.51,50989.22,88613.73,37642.84,0,0,0,0,0,0
257,257,,CONTRATO,226056.82,27319.1,0,27319.1,198737.72,30,67817.05,8195.73,0,8195.73,59621.32
258,258,,CONTRATO,226056.82,64909.86,27319.1,92228.96,133827.86,30,67817.05,19472.96,8195.73,27668.69,40148.36
259,259,,CONTRATO,226056.82,5120.22,92228.96,97349.18,128707.64,30,67817.05,1536.07,27668.69,29204.76,38612.29
