Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,No_Registro_Obrasi,Numero_Oficio,Fecha_Oficio
1,1,1,100,233246.99,,INICIAL,NULL,S/N  ,02/01/2017 00:00
2,2,2,100,359039.36,,INICIAL,NULL,S/N ,02/01/2017 00:00
10002,3,1,100,510849.99,,INICIAL,NULL,S/N,09/01/2017 00:00
10003,4,4,100,1425769.41,,INICIAL,NULL,S/N,02/01/2017 00:00
10004,5,3,100,33079805.41,,INICIAL,NULL,S/N,02/01/2017 00:00
10005,6,5,100,36461.29,,INICIAL,NULL,S/N,02/01/2017 00:00
10006,7,3,100,24166051.4,,INICIAL,NULL,S/N,02/01/2017 00:00
10007,8,3,100,15916188.81,,INICIAL,NULL,S/N,02/01/2017 00:00
20007,9,3,100,23613846.68,,INICIAL,NULL,S/N,02/01/2017 00:00
20008,10,6,100,323915.02,,INICIAL,NULL,S/N  ,02/01/2017 00:00
30007,11,7,100,610429.48,,INICIAL,NULL,S/N,13/02/2017 00:00
30008,12,1,100,117185.82,,INICIAL,NULL,S/N,13/02/2017 00:00
30009,13,8,100,25289.91,,INICIAL,NULL,S/N,13/02/2017 00:00
30010,14,5,100,185645.84,,INICIAL,NULL,S/N,13/02/2017 00:00
30011,15,9,100,346907.14,,INICIAL,NULL,S/N,13/02/2017 00:00
30012,16,1,100,1284896.72,,INICIAL,NULL,S/N,13/02/2017 00:00
30013,17,10,100,19223383.39,,INICIAL,NULL,S/N,13/02/2017 00:00
30014,18,7,100,1206030.2,,INICIAL,NULL,S/N,13/02/2017 00:00
30015,19,5,100,216669.35,,INICIAL,NULL,S/N,13/02/2017 00:00
30016,20,7,100,480967.43,,INICIAL,NULL,S/N,13/02/2017 00:00
30017,21,11,100,291193.4,,INICIAL,NULL,S/N,13/02/2017 00:00
30018,22,5,100,37343.46,,INICIAL,NULL,S/N,13/02/2017 00:00
30019,23,12,100,617193.5,,INICIAL,NULL,S/N,13/02/2017 00:00
40007,24,13,100,6381931.8,,INICIAL,NULL,S/N,13/02/2017 00:00
40008,25,14,100,1482919.56,,INICIAL,NULL,S/N,02/01/2017 00:00
40009,26,7,100,602399.77,,INICIAL,NULL,S/N,02/01/2017 00:00
40010,27,12,100,77863.11,,INICIAL,NULL,S/N,02/01/2017 00:00
