Id_Contrato,Fecha_Anticipo,Porcentaje,Importe,Observaciones
0000000009,2018-03-05 00:00:00,20.00,2953876.56,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DGOP/496/2018
0000000007,2018-03-05 00:00:00,10.00,496080.75,SE AUTORIZA EL 10% ANTICIPO ADICIONAL SEGÚN OFICIO DGOP/0411/2018
0000000068,2018-03-05 00:00:00,20.00,1722900.46,SE AUTORIZA ANTICIPO ADICIONAL DEL 20% SEGÚN OFICIO NO. DGOP/497/2018
0000000084,2018-05-21 00:00:00,20.00,149600.00,SE AUTORIZA 20% ANTICIPO ADICIONAL 
0000000094,2018-05-16 00:00:00,20.00,94000.00,SE AUTORIZA 20% ANTICIPO ADICIONAL
0000000119,2018-06-04 00:00:00,20.00,800000.00,SE AUTORIZA 20% ANTICIPO ADICIONAL 04/06/2018
0000000140,2018-05-28 00:00:00,20.00,280443.08,SE AUTORIZA 20% ANTICIPO ADICIONAL
0000000079,2018-05-28 00:00:00,20.00,269039.59,SE AUTORIZA 20% ANTICIPO ADICIONAL
0000000078,2018-05-28 00:00:00,20.00,317870.07,SE AUTORIZA 20% ANTICIPO
0000000141,2018-05-28 00:00:00,20.00,325445.95,SE AUTORIZA 20% ANTICIPO ADICIONAL
0000000080,2018-05-28 00:00:00,20.00,309269.28,SE AUTORIZA 20% ANTICIPO ADICIONAL
0000000081,2018-05-28 00:00:00,20.00,313062.26,SE AUTORIZA 20% ANTICIPO ADICIONAL
0000000146,2018-05-28 00:00:00,20.00,314928.66,SE AUTORIZA 20% ANTICIPO ADICIONAL
0000000095,2018-06-08 00:00:00,20.00,198825.52,SE AUTORIZA 20% ANTICIPO ADICIONAL
0000000097,2018-06-15 00:00:00,20.00,21981.14,SE AUTORIZA 20% ANTICIPO ADICIONAL SOLO PARTE R-33-I
0000000098,2018-06-15 00:00:00,20.00,72333.31,SE AUTORIZA 20% ANTICIPO ADICIONAL SOLO PARTE R33-I
0000000151,2018-06-13 00:00:00,20.00,103115.97,SE AUTORIZA EL 20% ANTICIPO AMPLIACION DEL RECURSO RAMO 33-I
0000000138,2018-05-28 00:00:00,20.00,274915.57,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DEL 28/05/2018
0000000139,2018-05-28 00:00:00,20.00,327759.39,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DEL 28/05/2018
0000000083,2018-05-28 00:00:00,20.00,262091.26,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DEL 28/05/2018
0000000188,2018-06-21 00:00:00,20.00,24676.66,"SE AUTORIZA 20% ADICIONAL SOLO DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 21/06/2018"
0000000189,2018-06-21 00:00:00,20.00,67236.48,"SE AUTORIZA 20% ADICIONAL SOLO DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 21/06/2018"
0000000190,2018-06-21 00:00:00,20.00,32171.71,"SE AUTORIZA 20% ADICIONAL SOLO DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 21/06/2018"
0000000187,2018-06-13 00:00:00,20.00,90360.04,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DE FECHA 13/06/2018"
0000000203,2018-06-21 00:00:00,20.00,27122.58,SE AUTORIZA 20% ANTICIPO ADICIONAL SOLO DEL RECURSO R33-I
0000000204,2018-06-21 00:00:00,20.00,62454.00,SE AUTORIZA 20% ADICIONAL SOLO DEL RECURSO RAMO 33-1 SEGÚN OFICIO DEL 21/06/2018
0000000205,2018-06-01 00:00:00,20.00,70174.67,"SE AUTORIZA EL 20% ANTICIPO ADICIONAL SOLO DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018"
0000000206,2018-06-01 00:00:00,20.00,110169.06,"SE AUTORIZA EL 20% ANTICIPO ADICIONAL SOLO DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018"
