Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion
0000000001,0000000084,1,2018-07-09 00:00:00,2018-05-23 00:00:00,2018-08-25 00:00:00,466196.42,50.00,233098.21,0000000001
0000000002,0000000085,1,2018-06-08 00:00:00,2018-05-14 00:00:00,2018-06-08 00:00:00,57228.09,0.00,0.00,0000000001
0000000003,0000000009,1,2018-08-10 00:00:00,2018-04-02 00:00:00,2018-09-27 00:00:00,3103804.06,50.00,1551902.03,0000000001
0000000004,0000000068,1,2018-08-13 00:00:00,2018-05-07 00:00:00,2018-10-20 00:00:00,1752744.94,50.00,876372.47,0000000001
0000000005,0000000143,1,2018-08-17 00:00:00,2018-07-04 00:00:00,2018-11-26 00:00:00,1704000.00,30.00,511200.01,0000000001
0000000006,0000000039,1,2018-06-15 00:00:00,2018-08-16 00:00:00,2018-09-08 00:00:00,989957.84,30.00,296987.35,0000000001
0000000007,0000000142,1,2018-08-27 00:00:00,2018-07-04 00:00:00,2018-09-17 00:00:00,95316.31,0.00,0.00,0000000001
0000000008,0000000011,1,2018-03-30 00:00:00,2018-02-26 00:00:00,2018-06-15 00:00:00,60509.13,0.00,0.00,0000000001
0000000010,0000000172,1,2018-09-27 00:00:00,2018-07-16 00:00:00,2018-11-03 00:00:00,240968.47,0.00,0.00,0000000001
0000000011,0000000176,1,2018-09-27 00:00:00,2018-08-01 00:00:00,2018-11-03 00:00:00,10000.00,0.00,0.00,0000000001
0000000012,0000000158,1,2018-09-03 00:00:00,2018-06-18 00:00:00,2018-10-12 00:00:00,316127.12,0.00,0.00,0000000001
0000000013,0000000158,2,2018-10-01 00:00:00,2018-06-18 00:00:00,2018-10-12 00:00:00,464683.71,50.00,232341.86,0000000001
0000000014,0000000279,1,2018-10-01 00:00:00,2018-08-20 00:00:00,2018-10-27 00:00:00,109301.94,0.00,0.00,0000000001
0000000015,0000000166,1,2018-10-01 00:00:00,2018-07-23 00:00:00,2019-02-28 00:00:00,399999.75,0.00,0.00,0000000001
0000000016,0000000170,1,2018-10-08 00:00:00,2018-07-17 00:00:00,2018-12-02 00:00:00,294498.40,0.00,0.00,0000000001
0000000017,0000000191,1,2018-10-16 00:00:00,2018-06-18 00:00:00,2018-12-01 00:00:00,350151.22,0.00,0.00,0000000001
0000000018,0000000175,1,2018-10-15 00:00:00,2018-07-25 00:00:00,2018-10-29 00:00:00,93735.81,0.00,0.00,0000000001
