Id_Contrato_Descuento,Id_Contrato,Id_Descuento,Importe
1,0000000001,0000000001,0.002000
2,0000000001,0000000003,0.010000
3,0000000002,0000000001,0.002000
4,0000000002,0000000003,0.010000
5,0000000003,0000000001,0.002000
6,0000000003,0000000003,0.010000
7,0000000004,0000000001,0.002000
8,0000000004,0000000003,0.010000
9,0000000005,0000000001,0.002000
10,0000000005,0000000003,0.010000
11,0000000006,0000000001,0.002000
12,0000000006,0000000003,0.010000
13,0000000007,0000000001,0.002000
14,0000000007,0000000003,0.010000
15,0000000008,0000000001,0.002000
16,0000000008,0000000003,0.010000
17,0000000009,0000000001,0.002000
18,0000000009,0000000003,0.010000
23,0000000011,0000000004,0.005000
24,0000000012,0000000004,0.005000
25,0000000013,0000000001,0.002000
26,0000000013,0000000003,0.010000
27,0000000014,0000000004,0.005000
28,0000000014,0000000007,0.010000
29,0000000014,0000000006,0.100000
30,0000000015,0000000004,0.005000
31,0000000015,0000000007,0.010000
32,0000000015,0000000006,0.100000
33,0000000016,0000000004,0.005000
34,0000000016,0000000007,0.010000
35,0000000016,0000000006,0.100000
36,0000000017,0000000001,0.002000
37,0000000017,0000000003,0.010000
38,0000000018,0000000004,0.005000
39,0000000019,0000000004,0.005000
40,0000000020,0000000004,0.005000
41,0000000021,0000000004,0.005000
42,0000000021,0000000007,0.010000
43,0000000021,0000000006,0.100000
44,0000000022,0000000004,0.005000
45,0000000023,0000000004,0.005000
46,0000000024,0000000004,0.005000
47,0000000024,0000000007,0.010000
48,0000000024,0000000006,0.100000
49,0000000025,0000000004,0.005000
50,0000000026,0000000004,0.005000
51,0000000026,0000000007,0.010000
52,0000000026,0000000006,0.100000
53,0000000027,0000000004,0.005000
54,0000000027,0000000007,0.010000
55,0000000027,0000000006,0.100000
56,0000000028,0000000004,0.005000
57,0000000028,0000000007,0.010000
58,0000000028,0000000006,0.100000
59,0000000029,0000000004,0.005000
60,0000000029,0000000007,0.010000
61,0000000029,0000000006,0.100000
62,0000000030,0000000001,0.002000
63,0000000030,0000000003,0.010000
64,0000000031,0000000004,0.005000
65,0000000032,0000000004,0.005000
66,0000000032,0000000007,0.010000
67,0000000032,0000000006,0.100000
68,0000000033,0000000004,0.005000
69,0000000033,0000000007,0.010000
70,0000000033,0000000006,0.100000
71,0000000034,0000000001,0.002000
72,0000000034,0000000003,0.010000
73,0000000035,0000000004,0.005000
74,0000000036,0000000004,0.005000
75,0000000037,0000000004,0.005000
76,0000000038,0000000001,0.002000
77,0000000038,0000000003,0.010000
78,0000000039,0000000001,0.002000
79,0000000039,0000000003,0.010000
80,0000000040,0000000004,0.005000
81,0000000040,0000000006,0.100000
82,0000000040,0000000007,0.010000
85,0000000032,0000000009,0.106667
86,0000000033,0000000009,0.106667
87,0000000011,0000000006,0.100000
88,0000000011,0000000007,0.010000
89,0000000041,0000000001,0.002000
90,0000000041,0000000003,0.010000
91,0000000042,0000000004,0.005000
92,0000000042,0000000007,0.010000
93,0000000042,0000000006,0.100000
94,0000000043,0000000001,0.002000
95,0000000043,0000000003,0.010000
96,0000000044,0000000004,0.005000
97,0000000044,0000000006,0.100000
98,0000000044,0000000007,0.010000
99,0000000045,0000000004,0.005000
100,0000000046,0000000004,0.005000
101,0000000047,0000000001,0.002000
102,0000000047,0000000003,0.010000
103,0000000048,0000000001,0.002000
104,0000000048,0000000003,0.010000
105,0000000049,0000000004,0.005000
106,0000000049,0000000007,0.010000
107,0000000049,0000000006,0.100000
108,0000000050,0000000004,0.005000
109,0000000050,0000000007,0.010000
110,0000000050,0000000006,0.100000
111,0000000051,0000000001,0.002000
112,0000000051,0000000003,0.010000
113,0000000052,0000000001,0.002000
114,0000000052,0000000003,0.010000
115,0000000053,0000000001,0.002000
116,0000000053,0000000003,0.010000
118,0000000054,0000000001,0.002000
119,0000000054,0000000003,0.010000
121,0000000049,0000000009,0.106667
122,0000000050,0000000009,0.106667
126,0000000055,0000000001,0.002000
127,0000000055,0000000003,0.010000
135,0000000059,0000000004,0.005000
136,0000000060,0000000004,0.005000
138,0000000061,0000000004,0.005000
140,0000000062,0000000004,0.005000
142,0000000063,0000000004,0.005000
144,0000000064,0000000004,0.005000
146,0000000065,0000000004,0.005000
148,0000000066,0000000004,0.005000
150,0000000067,0000000004,0.005000
152,0000000068,0000000001,0.002000
153,0000000068,0000000003,0.010000
154,0000000069,0000000004,0.005000
155,0000000070,0000000004,0.005000
156,0000000071,0000000001,0.002000
157,0000000071,0000000003,0.010000
158,0000000072,0000000001,0.002000
159,0000000072,0000000003,0.010000
160,0000000073,0000000001,0.002000
161,0000000073,0000000003,0.010000
162,0000000074,0000000004,0.005000
163,0000000074,0000000007,0.010000
164,0000000074,0000000006,0.100000
165,0000000075,0000000004,0.005000
166,0000000075,0000000007,0.010000
167,0000000075,0000000006,0.100000
168,0000000076,0000000004,0.005000
169,0000000076,0000000007,0.010000
