Id_Estimacion_Concepto,Id_Estimacion,Id_Concepto,Contratado,Actual,Anterior,Acumulado,Por_Estimar,Precio_Unitario,Importe,Excedente,Excedente_Acumulado
1,0000000001,77,16.00,4.00,0.00,4.00,12.00,80576.81,322307.24,0.00,0.00
2,0000000002,103,5590.00,2800.00,0.00,2800.00,2790.00,50.00,140000.00,0.00,0.00
3,0000000003,103,5590.00,2200.00,2800.00,5000.00,590.00,50.00,110000.00,0.00,0.00
4,0000000004,77,16.00,3.00,4.00,7.00,9.00,80576.81,241730.43,0.00,0.00
5,0000000005,83,15.00,3.00,0.00,3.00,12.00,80324.32,240972.96,0.00,0.00
6,0000000006,83,15.00,3.00,3.00,6.00,9.00,80324.32,240972.96,0.00,0.00
7,0000000007,84,16.00,4.00,0.00,4.00,12.00,80576.81,322307.24,0.00,0.00
8,0000000008,84,16.00,3.00,4.00,7.00,9.00,80576.81,241730.43,0.00,0.00
9,0000000009,103,5590.00,590.00,5000.00,5590.00,0.00,50.00,29500.00,0.00,0.00
13,0000000012,284,17500.00,9631.16,0.00,9631.16,7868.84,58.01,558703.59,0.00,0.00
14,0000000013,284,17500.00,5915.90,9631.16,15547.06,1952.94,58.01,343181.36,0.00,0.00
28,0000000016,143,15443.67,3808.88,0.00,3808.88,11634.79,3.32,12645.48,0.00,0.00
29,0000000016,144,15443.67,2827.89,0.00,2827.89,12615.78,6.19,17504.64,0.00,0.00
30,0000000016,145,2060.22,516.71,0.00,516.71,1543.51,13.45,6949.75,0.00,0.00
31,0000000016,149,4180.38,1406.98,0.00,1406.98,2773.40,11.38,16011.43,0.00,0.00
32,0000000016,150,2568.42,2461.59,0.00,2461.59,106.83,10.88,26782.10,0.00,0.00
33,0000000016,151,1396.82,258.10,0.00,258.10,1138.72,270.47,69808.31,0.00,0.00
34,0000000016,152,6858.66,1406.98,0.00,1406.98,5451.68,4.23,5951.53,0.00,0.00
35,0000000016,153,89162.58,26732.55,0.00,26732.55,62430.03,3.63,97039.16,0.00,0.00
36,0000000016,154,6858.66,1406.98,0.00,1406.98,5451.68,4.44,6246.99,0.00,0.00
37,0000000016,156,1692.98,147.85,0.00,147.85,1545.13,162.24,23987.18,0.00,0.00
38,0000000016,283,11270.42,1163.90,0.00,1163.90,10106.52,15.21,17702.92,0.00,0.00
39,0000000017,104,3500.00,1837.18,0.00,1837.18,1662.82,90.73,166687.34,0.00,0.00
40,0000000017,107,250.00,177.00,0.00,177.00,73.00,563.91,99812.07,0.00,0.00
41,0000000017,109,2900.00,2935.00,0.00,2935.00,-35.00,36.24,106364.40,35.00,35.00
42,0000000017,112,2000.00,2000.00,0.00,2000.00,0.00,7.87,15740.00,0.00,0.00
43,0000000017,113,800.00,1017.00,0.00,1017.00,-217.00,19.64,19973.88,217.00,217.00
44,0000000017,114,300.00,150.00,0.00,150.00,150.00,52.00,7800.00,0.00,0.00
45,0000000017,106,1.00,1.00,0.00,1.00,0.00,780.00,780.00,0.00,0.00
46,0000000017,117,50.00,50.00,0.00,50.00,0.00,40.48,2024.00,0.00,0.00
47,0000000018,119,106342.31,8653.80,0.00,8653.80,97688.51,10.20,88268.76,0.00,0.00
48,0000000019,119,106342.31,15188.80,8653.80,23842.60,82499.71,10.20,154925.76,0.00,0.00
49,0000000019,120,19046.42,2530.22,0.00,2530.22,16516.20,159.59,403797.81,0.00,0.00
50,0000000020,119,106342.31,60113.70,23842.60,83956.30,22386.01,10.20,613159.74,0.00,0.00
51,0000000020,120,19046.42,2564.48,2530.22,5094.70,13951.72,159.59,409265.36,0.00,0.00
52,0000000021,83,15.00,1.00,6.00,7.00,8.00,80324.32,80324.32,0.00,0.00
53,0000000022,83,15.00,1.00,7.00,8.00,7.00,80324.32,80324.32,0.00,0.00
54,0000000023,120,19046.42,3435.18,5094.70,8529.88,10516.54,159.59,548220.38,0.00,0.00
111,0000000024,143,15443.67,1359.85,3808.88,5168.73,10274.94,3.32,4514.70,0.00,0.00
112,0000000024,144,15443.67,955.08,2827.89,3782.97,11660.70,6.19,5911.95,0.00,0.00
