Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar,Periodo,Num_Rows
0000000001,0000000001,,CONTRATO,1495505.59,373876.40,0.00,373876.40,1121629.19,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000002,0000000002,,CONTRATO,324220.00,162400.00,0.00,162400.00,161820.00,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000003,0000000003,,CONTRATO,324220.00,127600.00,0.00,290000.00,34220.00,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000004,0000000004,,CONTRATO,1495505.59,280407.30,0.00,654283.70,841221.89,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000005,0000000005,,CONTRATO,1529438.15,279528.63,0.00,279528.63,1249909.52,30.00,458831.46,83858.59,0.00,83858.59,374972.87,2018,0
0000000006,0000000006,,CONTRATO,1529438.15,279528.63,0.00,559057.26,970380.89,30.00,458831.46,83858.59,0.00,167717.18,291114.28,2018,0
0000000007,0000000007,,CONTRATO,1495505.59,373876.40,0.00,373876.40,1121629.19,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000008,0000000008,,CONTRATO,1495505.59,280407.30,0.00,654283.70,841221.89,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000009,0000000009,,CONTRATO,324220.00,34220.00,0.00,324220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000012,0000000012,,CONTRATO,1273511.80,648096.16,0.00,648096.16,625415.64,30.00,382053.54,194428.85,0.00,194428.85,187624.69,2018,0
0000000013,0000000013,,CONTRATO,1273511.80,398090.38,0.00,1046186.54,227325.26,30.00,382053.54,119427.11,0.00,313855.96,68197.58,2018,0
0000000016,0000000016,,CONTRATO,14769382.81,348730.21,0.00,348730.21,14420652.60,50.00,7384691.40,174365.11,0.00,174365.11,7210326.29,2018,0
0000000017,0000000017,,CONTRATO,858726.89,486250.76,0.00,486250.76,372476.13,30.00,257618.08,145875.23,0.00,145875.23,111742.85,2018,0
0000000018,0000000018,,CONTRATO,4960807.47,102391.76,0.00,102391.76,4858415.71,40.00,1984322.99,40956.70,0.00,40956.70,1943366.29,2018,0
0000000019,0000000019,,CONTRATO,4960807.47,648119.34,0.00,750511.10,4210296.37,40.00,1984322.99,259247.74,0.00,300204.44,1684118.55,2018,0
0000000020,0000000020,,CONTRATO,4960807.47,1186013.12,0.00,1936524.22,3024283.25,40.00,1984322.99,474405.25,0.00,774609.69,1209713.30,2018,0
0000000021,0000000021,,CONTRATO,1529438.15,93176.21,0.00,652233.47,877204.68,30.00,458831.46,27952.86,0.00,195670.04,263161.42,2018,0
0000000022,0000000022,,CONTRATO,1529438.15,93176.21,0.00,745409.68,784028.47,30.00,458831.46,27952.86,0.00,223622.90,235208.56,2018,0
0000000023,0000000023,,CONTRATO,4960807.47,635935.64,0.00,2572459.86,2388347.61,40.00,1984322.99,254374.26,0.00,1028983.95,955339.04,2018,0
0000000024,0000000024,,CONTRATO,14769382.81,305208.32,0.00,653938.53,14115444.28,50.00,7384691.40,152604.16,0.00,326969.27,7057722.13,2018,0
0000000025,0000000025,,CONTRATO,1318321.66,1220147.02,0.00,1220147.02,98174.64,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000026,0000000026,,CONTRATO,4960807.47,501801.91,0.00,3074261.77,1886545.70,40.00,1984322.99,200720.76,0.00,1229704.71,754618.28,2018,0
0000000027,0000000027,,CONTRATO,8560193.85,6721.60,0.00,6721.60,8553472.25,30.00,2568058.16,2016.48,0.00,2016.48,2566041.68,2018,0
0000000028,0000000028,,CONTRATO,8560193.85,488290.38,0.00,495011.98,8065181.87,30.00,2568058.16,146487.11,0.00,148503.59,2419554.57,2018,0
0000000030,0000000030,,CONTRATO,1273511.80,227317.75,0.00,1273504.29,7.51,30.00,382053.54,68197.58,0.00,382053.54,0.00,2018,0
0000000034,0000000034,,CONTRATO,1495505.59,410329.12,0.00,1064612.82,430892.77,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000035,0000000035,,CONTRATO,1495505.59,337423.19,0.00,1402036.01,93469.58,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000042,0000000042,,CONTRATO,1480684.37,706694.91,0.00,706694.91,773989.46,30.00,444205.31,212008.47,0.00,212008.47,232196.84,2018,0
0000000043,0000000043,,CONTRATO,1480684.37,567863.33,0.00,1274558.24,206126.13,30.00,444205.31,170359.00,0.00,382367.47,61837.84,2018,0
0000000045,0000000045,,CONTRATO,123836.81,53145.55,0.00,53145.55,70691.26,30.00,37151.04,15943.67,0.00,15943.67,21207.37,2018,0
0000000046,0000000046,,CONTRATO,149142.75,61217.46,0.00,61217.46,87925.29,30.00,44742.83,18365.24,0.00,18365.24,26377.59,2018,0
0000000047,0000000047,,CONTRATO,337796.54,6668.53,0.00,6668.53,331128.01,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000048,0000000048,,CONTRATO,337796.54,261257.82,0.00,267926.35,69870.19,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000049,0000000049,,CONTRATO,123836.81,54769.93,0.00,107915.48,15921.33,30.00,37151.04,16430.98,0.00,32374.65,4776.39,2018,0
0000000050,0000000050,,CONTRATO,149142.75,63173.40,0.00,124390.86,24751.89,30.00,44742.83,18952.02,0.00,37317.26,7425.57,2018,0
0000000051,0000000051,,CONTRATO,337796.54,30251.01,0.00,298177.36,39619.18,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000052,0000000052,,CONTRATO,3480953.64,906644.68,0.00,906644.68,2574308.96,30.00,1044286.09,271993.40,0.00,271993.40,772292.69,2018,0
0000000053,0000000053,,CONTRATO,470770.43,8216.27,0.00,8216.27,462554.16,30.00,141231.13,2464.88,0.00,2464.88,138766.25,2018,0
0000000056,0000000056,,CONTRATO,41773.36,37131.88,0.00,37131.88,4641.48,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000057,0000000057,,CONTRATO,64697.10,10782.85,0.00,10782.85,53914.25,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000058,0000000058,,CONTRATO,73107.84,73107.84,0.00,73107.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000059,0000000059,,CONTRATO,64697.10,43131.40,0.00,53914.25,10782.85,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000060,0000000060,,CONTRATO,64697.10,10782.85,0.00,64697.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000061,0000000061,,CONTRATO,470770.43,408462.08,0.00,416678.35,54092.08,30.00,141231.13,122538.62,0.00,125003.50,16227.63,2018,0
0000000062,0000000062,,CONTRATO,858726.89,286444.99,0.00,772695.75,86031.14,30.00,257618.08,85933.50,0.00,231808.73,25809.35,2018,0
0000000063,0000000063,,CONTRATO,858726.89,86008.72,0.00,858704.47,22.42,30.00,257618.08,25809.35,0.00,257618.08,0.00,2018,0
0000000064,0000000064,,CONTRATO,149142.75,20397.57,0.00,144788.43,4354.32,30.00,44742.83,7425.57,0.00,44742.83,0.00,2018,0
0000000065,0000000065,,CONTRATO,95385.05,79631.53,0.00,79631.53,15753.52,30.00,28615.52,23889.46,0.00,23889.46,4726.06,2018,0
0000000066,0000000066,,CONTRATO,95385.05,79631.53,0.00,79631.53,15753.52,30.00,28615.52,23889.46,0.00,23889.46,4726.06,2018,0
0000000067,0000000067,,CONTRATO,145513.13,129151.91,0.00,129151.91,16361.22,30.00,43653.94,38745.57,0.00,38745.57,4908.37,2018,0
0000000076,0000000076,,CONTRATO,3480953.64,557367.61,0.00,1464012.29,2016941.35,30.00,1044286.09,167210.28,0.00,439203.68,605082.41,2018,0
0000000077,0000000077,,CONTRATO,1495505.59,93469.10,0.00,1495505.11,0.48,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000078,0000000078,,CONTRATO,123836.81,15889.60,0.00,123805.08,31.73,30.00,37151.04,4776.39,0.00,37151.04,0.00,2018,0
0000000081,0000000081,,CONTRATO,8560193.85,693695.92,0.00,1188707.90,7371485.95,30.00,2568058.16,208108.78,0.00,356612.37,2211445.79,2018,0
0000000082,0000000082,,CONTRATO,95385.05,52253.52,0.00,52253.52,43131.53,30.00,28615.52,15676.06,0.00,15676.06,12939.46,2018,0
0000000083,0000000083,,CONTRATO,125125.08,59675.16,0.00,59675.16,65449.92,30.00,37537.52,17902.55,0.00,17902.55,19634.97,2018,0
0000000084,0000000084,,CONTRATO,168959.60,47922.55,0.00,47922.55,121037.05,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000085,0000000085,,CONTRATO,95385.05,15753.52,0.00,95385.05,0.00,30.00,28615.52,4726.06,0.00,28615.52,0.00,2018,0
0000000086,0000000086,,CONTRATO,95385.05,15753.52,0.00,95385.05,0.00,30.00,28615.52,4726.06,0.00,28615.52,0.00,2018,0
0000000087,0000000087,,CONTRATO,145513.13,16361.22,0.00,145513.13,0.00,30.00,43653.94,4908.37,0.00,43653.94,0.00,2018,0
0000000088,0000000088,,CONTRATO,4005662.13,414040.04,0.00,414040.04,3591622.09,30.00,1201698.64,124212.01,0.00,124212.01,1077486.63,2018,0
0000000089,0000000089,,CONTRATO,115011.65,29074.12,0.00,29074.12,85937.53,30.00,34503.49,8722.24,0.00,8722.24,25781.25,2018,0
0000000090,0000000090,,CONTRATO,133913.11,38017.83,0.00,38017.83,95895.28,30.00,40173.93,11405.35,0.00,11405.35,28768.58,2018,0
0000000091,0000000091,,CONTRATO,164097.52,41823.95,0.00,41823.95,122273.57,30.00,49229.26,12547.19,0.00,12547.19,36682.07,2018,0
0000000092,0000000092,,CONTRATO,115011.65,60108.68,0.00,89182.80,25828.85,30.00,34503.49,18032.60,0.00,26754.84,7748.65,2018,0
0000000093,0000000093,,CONTRATO,133913.11,82315.82,0.00,120333.65,13579.46,30.00,40173.93,24694.75,0.00,36100.10,4073.83,2018,0
0000000094,0000000094,,CONTRATO,164097.52,81012.90,0.00,122836.85,41260.67,30.00,49229.26,24303.87,0.00,36851.06,12378.20,2018,0
0000000095,0000000095,,CONTRATO,115011.65,13369.94,0.00,102552.74,12458.91,30.00,34503.49,7748.65,0.00,7748.65,26754.84,2018,0
0000000096,0000000096,,CONTRATO,164097.52,21389.01,0.00,144225.86,19871.66,30.00,49229.26,12378.20,0.00,12378.20,36851.06,2018,0
0000000097,0000000097,,CONTRATO,133913.11,13271.98,0.00,133605.63,307.48,30.00,40173.93,4073.83,0.00,40173.93,0.00,2018,0
0000000098,0000000098,,CONTRATO,14769382.81,792327.10,0.00,1446265.63,13323117.18,50.00,7384691.40,396163.55,0.00,723132.82,6661558.58,2018,0
0000000099,0000000099,,CONTRATO,94022.73,52253.51,0.00,52253.51,41769.22,30.00,28206.82,15676.05,0.00,15676.05,12530.77,2018,0
0000000100,0000000100,,CONTRATO,95385.05,52253.52,0.00,52253.52,43131.53,30.00,28615.52,15676.06,0.00,15676.06,12939.46,2018,0
0000000101,0000000101,,CONTRATO,101920.93,53022.57,0.00,53022.57,48898.36,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000102,0000000102,,CONTRATO,95385.05,46486.69,0.00,46486.69,48898.36,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000103,0000000103,,CONTRATO,101920.93,47063.24,0.00,100085.81,1835.12,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000104,0000000104,,CONTRATO,95385.05,46145.68,0.00,92632.37,2752.68,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000105,0000000105,,CONTRATO,4960807.47,1325246.58,0.00,4399508.35,561299.12,40.00,1984322.99,530098.63,0.00,1759803.34,224519.65,2018,0
0000000106,0000000106,,CONTRATO,8614502.32,589434.44,0.00,589434.44,8025067.88,50.00,4307251.16,294717.22,0.00,294717.22,4012533.94,2018,0
0000000107,0000000107,,CONTRATO,14769382.81,461339.98,0.00,1907605.61,12861777.20,50.00,7384691.40,230669.99,0.00,953802.81,6430888.59,2018,0
0000000108,0000000108,,CONTRATO,1495505.59,93469.10,0.00,747752.80,747752.79,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000109,0000000109,,CONTRATO,1495505.59,467345.50,0.00,1215098.30,280407.29,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000110,0000000110,,CONTRATO,114019.17,38881.08,0.00,38881.08,75138.09,30.00,34205.75,11664.32,0.00,11664.32,22541.43,2018,0
0000000111,0000000111,,CONTRATO,176254.49,68196.71,0.00,68196.71,108057.78,30.00,52876.35,20459.01,0.00,20459.01,32417.34,2018,0
0000000113,0000000113,,CONTRATO,176254.49,70386.12,0.00,138582.83,37671.66,30.00,52876.35,21115.84,0.00,41574.85,11301.50,2018,0
0000000114,0000000114,,CONTRATO,82341.01,17268.87,0.00,17268.87,65072.14,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000115,0000000115,,CONTRATO,996635.07,307070.84,0.00,307070.84,689564.23,30.00,298990.52,92121.25,0.00,92121.25,206869.27,2018,0
0000000116,0000000116,,CONTRATO,114019.17,42175.62,0.00,81056.70,32962.47,30.00,34205.75,12652.69,0.00,24317.01,9888.74,2018,0
0000000117,0000000117,,CONTRATO,97987.83,9920.47,0.00,9920.47,88067.36,30.00,29396.35,2976.14,0.00,2976.14,26420.21,2018,0
0000000118,0000000118,,CONTRATO,97987.83,9920.47,0.00,9920.47,88067.36,30.00,29396.35,2976.14,0.00,2976.14,26420.21,2018,0
0000000119,0000000119,,CONTRATO,97987.83,9920.47,0.00,9920.47,88067.36,30.00,29396.35,2976.14,0.00,2976.14,26420.21,2018,0
0000000120,0000000120,,CONTRATO,98626.48,10425.62,0.00,10425.62,88200.86,30.00,29587.94,3127.69,0.00,3127.69,26460.25,2018,0
0000000121,0000000121,,CONTRATO,97987.83,9920.47,0.00,9920.47,88067.36,30.00,29396.35,2976.14,0.00,2976.14,26420.21,2018,0
0000000122,0000000122,,CONTRATO,1690452.42,1446176.64,0.00,1446176.64,244275.78,30.00,507135.73,433852.99,0.00,433852.99,73282.74,2018,0
0000000124,0000000124,,CONTRATO,1480684.37,206126.13,0.00,1480684.37,0.00,30.00,444205.31,61837.84,0.00,444205.31,0.00,2018,0
0000000125,0000000125,,CONTRATO,8560193.85,438194.70,0.00,1626902.60,6933291.25,30.00,2568058.16,131458.41,0.00,488070.78,2079987.38,2018,0
0000000126,0000000126,,CONTRATO,374726.30,131248.94,0.00,131248.94,243477.36,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000127,0000000127,,CONTRATO,748000.02,367013.34,0.00,367013.34,380986.68,50.00,374000.00,183506.67,0.00,183506.67,190493.33,2018,0
0000000128,0000000128,,CONTRATO,4960807.47,547627.27,0.00,4947135.62,13671.85,40.00,1984322.99,224519.65,0.00,1984322.99,0.00,2018,0
0000000129,0000000129,,CONTRATO,499898.90,163106.46,0.00,163106.46,336792.44,30.00,149969.67,48931.94,0.00,48931.94,101037.73,2018,0
0000000130,0000000130,,CONTRATO,41773.36,4641.48,0.00,41773.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000131,0000000131,,CONTRATO,65001.33,8047.82,0.00,8047.82,56953.51,30.00,19500.40,2414.35,0.00,2414.35,17086.05,2018,0
0000000132,0000000132,,CONTRATO,65001.33,31470.80,0.00,39518.62,25482.71,30.00,19500.40,9441.24,0.00,11855.59,7644.81,2018,0
0000000135,0000000135,,CONTRATO,114019.17,24120.87,0.00,24120.87,89898.30,30.00,34205.75,7236.26,0.00,7236.26,26969.49,2018,0
0000000136,0000000136,,CONTRATO,114019.17,49494.89,0.00,73615.76,40403.41,30.00,34205.75,14848.47,0.00,22084.73,12121.02,2018,0
0000000139,0000000139,,CONTRATO,114019.17,18867.20,0.00,18867.20,95151.97,30.00,34205.75,5660.16,0.00,5660.16,28545.59,2018,0
0000000140,0000000140,,CONTRATO,114019.17,50726.63,0.00,69593.83,44425.34,30.00,34205.75,15217.99,0.00,20878.15,13327.60,2018,0
0000000143,0000000143,,CONTRATO,5036090.63,718544.31,0.00,718544.31,4317546.32,30.00,1510827.19,215563.29,0.00,215563.29,1295263.90,2018,0
0000000144,0000000144,,CONTRATO,14769382.81,443160.33,0.00,2350765.94,12418616.87,50.00,7384691.40,221580.17,0.00,1175382.98,6209308.42,2018,0
0000000145,0000000145,,CONTRATO,122625.15,25434.25,0.00,25434.25,97190.90,30.00,36787.55,7630.28,0.00,7630.28,29157.27,2018,0
0000000146,0000000146,,CONTRATO,737017.86,270123.72,0.00,270123.72,466894.14,30.00,221105.36,81037.12,0.00,81037.12,140068.24,2018,0
0000000147,0000000147,,CONTRATO,187307.52,10886.36,0.00,10886.36,176421.16,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000148,0000000148,,CONTRATO,187307.52,168560.33,0.00,179446.69,7860.83,0.00,0.00,0.00,0.00,0.00,0.00,2018,0
0000000149,0000000149,,CONTRATO,5597587.97,699460.92,0.00,699460.92,4898127.05,30.00,1679276.39,209838.28,0.00,209838.28,1469438.11,2018,0
0000000150,0000000150,,CONTRATO,3347144.92,346421.03,0.00,346421.03,3000723.89,30.00,1004143.48,103926.31,0.00,103926.31,900217.17,2018,0
0000000151,0000000151,,CONTRATO,65001.33,12090.68,0.00,51609.30,13392.03,30.00,19500.40,7644.81,0.00,7644.81,11855.59,2018,0
0000000152,0000000152,,CONTRATO,65001.33,666.05,0.00,52275.35,12725.98,30.00,19500.40,0.00,0.00,0.00,19500.40,2018,0
0000000153,0000000153,,CONTRATO,114019.17,26896.86,0.00,100512.62,13506.55,30.00,34205.75,12121.02,0.00,12121.02,22084.73,2018,0
0000000154,0000000154,,CONTRATO,114019.17,764.49,0.00,101277.11,12742.06,30.00,34205.75,0.00,0.00,0.00,34205.75,2018,0
0000000155,0000000155,,CONTRATO,114019.17,27577.32,0.00,97171.15,16848.02,30.00,34205.75,13327.60,0.00,13327.60,20878.15,2018,0
0000000156,0000000156,,CONTRATO,114019.17,764.49,0.00,97935.64,16083.53,30.00,34205.75,0.00,0.00,0.00,34205.75,2018,0
