Id_Obra_Recurso,Id_Obra,Id_Recurso_Partida,Porcentaje_Aportacion,Importe_Autorizado,Observaciones,Movimiento,Numero_Oficio,Fecha_Oficio
1,0000000001,0000000001,100.00,1495505.59,,INICIAL,S/N,2018-04-24 00:00:00
2,0000000002,0000000001,100.00,1529438.15,,INICIAL,S/N,2018-04-24 00:00:00
3,0000000003,0000000001,100.00,1495505.59,,INICIAL,S/N,2018-04-24 00:00:00
4,0000000004,0000000002,100.00,470770.43,,INICIAL,S/N,2018-04-24 00:00:00
5,0000000005,0000000001,100.00,324220.00,,INICIAL,S/N,2018-04-24 00:00:00
6,0000000006,0000000002,100.00,858726.89,,INICIAL,S/N,2018-04-24 00:00:00
7,0000000007,0000000003,100.00,4960807.47,,INICIAL,S/N,2018-04-30 00:00:00
8,0000000008,0000000004,100.00,726687.20,,INICIAL,S/N,2018-05-02 00:00:00
9,0000000009,0000000006,100.00,14769382.81,,INICIAL,S/N,2018-05-02 00:00:00
10,0000000010,0000000007,100.00,1273511.80,,INICIAL,S/N,2018-05-02 00:00:00
12,0000000012,0000000009,100.00,337796.54,,INICIAL,S/N,2018-05-11 00:00:00
13,0000000013,0000000010,100.00,8560193.85,,INICIAL,S/N,2018-05-11 00:00:00
14,0000000014,0000000005,100.00,357423.60,,INICIAL,S/N,2018-05-11 00:00:00
15,0000000015,0000000005,100.00,272979.56,,INICIAL,s/n,2018-05-11 00:00:00
16,0000000016,0000000004,100.00,95385.05,,INICIAL,S/N,2018-05-18 00:00:00
17,0000000017,0000000004,100.00,95385.05,,INICIAL,S/N,2018-05-18 00:00:00
18,0000000018,0000000004,100.00,145513.13,,INICIAL,S/N,2018-05-18 00:00:00
21,0000000021,0000000011,100.00,8614502.32,,INICIAL,S/N,2018-05-18 00:00:00
22,0000000022,0000000004,100.00,64697.10,,INICIAL,S/N,2018-05-18 00:00:00
23,0000000023,0000000004,100.00,293039.67,,INICIAL,S/N,2018-05-18 00:00:00
24,0000000024,0000000012,100.00,1322702.69,,INICIAL,S/N,2018-05-18 00:00:00
25,0000000025,0000000012,100.00,1318321.66,,INICIAL,S/N,2018-05-18 00:00:00
26,0000000026,0000000005,100.00,2555808.43,,INICIAL,S/N,2018-05-18 00:00:00
27,0000000027,0000000005,100.00,3347144.92,,INICIAL,S/N,2018-05-18 00:00:00
28,0000000028,0000000013,100.00,1480684.37,,INICIAL,S/N,2018-05-18 00:00:00
29,0000000029,0000000004,100.00,342933.38,,INICIAL,S/N,2018-05-18 00:00:00
30,0000000030,0000000004,100.00,304645.09,,INICIAL,S/N,2018-05-18 00:00:00
32,0000000032,0000000004,100.00,41773.36,,INICIAL,S/N,2018-05-18 00:00:00
33,0000000033,0000000004,100.00,95385.05,,INICIAL,S/N,2018-05-18 00:00:00
34,0000000034,0000000004,100.00,125125.08,,INICIAL,S/N,2018-05-18 00:00:00
35,0000000035,0000000004,100.00,94022.73,,INICIAL,S/N,2018-05-18 00:00:00
36,0000000036,0000000004,100.00,95385.05,,INICIAL,S/N,2018-05-18 00:00:00
37,0000000037,0000000004,100.00,121785.73,,INICIAL,s/n,2018-05-23 00:00:00
38,0000000038,0000000004,100.00,95069.08,,INICIAL,s/n,2018-05-23 00:00:00
39,0000000039,0000000004,100.00,123762.79,,INICIAL,s/n,2018-05-23 00:00:00
40,0000000040,0000000009,100.00,237726.35,,INICIAL,s/n,2018-05-23 00:00:00
41,0000000041,0000000009,100.00,82341.01,,INICIAL,s/n,2018-05-23 00:00:00
42,0000000042,0000000005,100.00,114019.17,,INICIAL,s/n,2018-05-23 00:00:00
43,0000000043,0000000005,100.00,149142.75,,INICIAL,s/n,2018-05-23 00:00:00
44,0000000044,0000000009,100.00,132241.76,,INICIAL,s/n,2018-05-23 00:00:00
45,0000000045,0000000009,100.00,552485.94,,INICIAL,s/n,2018-05-23 00:00:00
46,0000000046,0000000004,100.00,187307.52,,INICIAL,s/n,2018-05-23 00:00:00
47,0000000047,0000000014,100.00,710273.52,,INICIAL,s/n,2018-05-23 00:00:00
48,0000000048,0000000009,100.00,97987.83,,INICIAL,s/n,2018-05-23 00:00:00
49,0000000049,0000000005,100.00,1079985.69,,INICIAL,s/n,2018-05-23 00:00:00
50,0000000050,0000000015,100.00,1046410.27,,INICIAL,S/N,2018-05-23 00:00:00
51,0000000051,0000000015,100.00,945674.49,,INICIAL,S/N,2018-05-23 00:00:00
52,0000000052,0000000008,100.00,73107.84,,INICIAL,s/n,2018-05-30 00:00:00
53,0000000053,0000000005,100.00,115011.65,,INICIAL,s/n,2018-05-30 00:00:00
54,0000000054,0000000005,100.00,133913.11,,INICIAL,s/n,2018-05-30 00:00:00
55,0000000055,0000000005,100.00,164097.52,,INICIAL,s/n,2018-05-30 00:00:00
56,0000000056,0000000005,100.00,113313.61,,INICIAL,S/N,2018-05-30 00:00:00
57,0000000057,0000000005,100.00,114019.17,,INICIAL,S/N,2018-05-30 00:00:00
58,0000000058,0000000004,100.00,94022.73,,INICIAL,S/N,2018-05-30 00:00:00
59,0000000059,0000000017,100.00,1546346.43,,INICIAL,S/N,2018-05-30 00:00:00
60,0000000060,0000000017,100.00,1565311.31,,INICIAL,S/N,2018-05-30 00:00:00
61,0000000061,0000000017,100.00,1345197.94,,INICIAL,S/N,2018-05-30 00:00:00
62,0000000062,0000000017,100.00,1589350.38,,INICIAL,S/N,2018-05-30 00:00:00
65,0000000065,0000000015,100.00,1370226.74,,INICIAL,s/n,2018-05-30 00:00:00
66,0000000066,0000000002,100.00,1480128.37,,INICIAL,s/n,2018-05-30 00:00:00
67,0000000067,0000000018,100.00,254561.58,,INICIAL,s/n,2018-05-30 00:00:00
68,0000000068,0000000020,100.00,4005662.13,,INICIAL,S/N,2018-05-31 00:00:00
69,0000000069,0000000005,100.00,149142.75,,INICIAL,S/N,2018-05-31 00:00:00
70,0000000070,0000000005,100.00,123836.81,,INICIAL,S/N,2018-05-31 00:00:00
71,0000000071,0000000001,100.00,996635.07,,INICIAL,S/N,2018-05-31 00:00:00
72,0000000072,0000000009,100.00,374726.30,,INICIAL,S/N,2018-05-31 00:00:00
73,0000000073,0000000004,100.00,168959.60,,INICIAL,S/N,2018-05-31 00:00:00
76,0000000076,0000000005,100.00,178711.80,,INICIAL,S/N,2018-05-31 00:00:00
77,0000000077,0000000005,100.00,97987.83,,INICIAL,S/N,2018-05-31 00:00:00
78,0000000078,0000000005,100.00,98626.48,,INICIAL,S/N,2018-05-31 00:00:00
79,0000000079,0000000005,100.00,97987.83,,INICIAL,S/N,2018-05-31 00:00:00
80,0000000080,0000000005,100.00,97987.83,,INICIAL,S/N,2018-05-31 00:00:00
81,0000000081,0000000005,100.00,97987.83,,INICIAL,S/N,2018-05-31 00:00:00
82,0000000082,0000000005,100.00,178711.80,,INICIAL,S/N,2018-05-31 00:00:00
83,0000000083,0000000004,100.00,497465.51,,INICIAL,S/N,2018-05-31 00:00:00
84,0000000084,0000000021,100.00,827967.14,,INICIAL,S/N,2018-05-31 00:00:00
85,0000000085,0000000023,100.00,3480953.64,,INICIAL,s/n,2018-06-01 00:00:00
86,0000000031,0000000004,100.00,493541.82,,INICIAL,S/N,2018-06-05 00:00:00
87,0000000086,0000000005,100.00,97987.83,,INICIAL,,2018-06-07 00:00:00
90,0000000087,0000000004,100.00,101920.93,,INICIAL,s/n,2018-06-15 00:00:00
91,0000000089,0000000001,100.00,5036090.63,,INICIAL,s/n,2018-06-15 00:00:00
92,0000000090,0000000015,100.00,1263774.62,,INICIAL,s/n,2018-06-15 00:00:00
94,0000000088,0000000004,100.00,95385.05,,INICIAL,,2018-06-15 00:00:00
95,0000000091,0000000001,100.00,5099090.18,,INICIAL,S/N,2018-06-15 00:00:00
96,0000000092,0000000001,100.00,5128832.94,,INICIAL,,2018-06-19 00:00:00
97,0000000093,0000000017,100.00,1310465.30,,INICIAL,s/n,2018-06-19 00:00:00
98,0000000094,0000000005,100.00,10375842.17,,INICIAL,S/N,2018-06-19 00:00:00
99,0000000095,0000000024,100.00,3000000.00,,INICIAL,,2018-06-19 00:00:00
100,0000000095,0000000002,100.00,927532.43,,INICIAL,,2018-06-19 00:00:00
101,0000000096,0000000017,100.00,1627229.75,,INICIAL,S/N,2018-06-19 00:00:00
102,0000000097,0000000017,100.00,1402215.47,,INICIAL,S/N,2018-06-19 00:00:00
103,0000000098,0000000025,100.00,1000000.00,,INICIAL,S/N,2018-06-19 00:00:00
104,0000000099,0000000026,100.00,470000.00,,INICIAL,S/N,2018-06-19 00:00:00
105,0000000100,0000000002,100.00,499898.90,,INICIAL,S/N,2018-06-19 00:00:00
106,0000000101,0000000027,100.00,9956060.52,,INICIAL,S/N,2018-06-19 00:00:00
107,0000000102,0000000028,100.00,1690452.42,,INICIAL,S/N,2018-06-19 00:00:00
108,0000000103,0000000029,100.00,994127.64,,INICIAL,S/N,2018-06-19 00:00:00
109,0000000104,0000000029,100.00,1154078.07,,INICIAL,S/N,2018-06-19 00:00:00
