Id_Partida,Id_Capitulo,Clave,Descripcion,Importe
0000000001,0000000001,1,PINTURAS,310593.00
0000000002,0000000002,1,Conceptos,400172.50
0000000003,0000000003,1,Conceptos,11660.56
0000000004,0000000004,1,Conceptos,1289228.96
0000000005,0000000005,1,Conceptos,1289228.96
0000000006,0000000006,1,Conceptos,256249.10
0000000007,0000000007,1,Conceptos,149587.48
0000000008,0000000008,1,Conceptos,1318481.16
0000000009,0000000009,1,Conceptos,279500.00
0000000010,0000000010,1,Conceptos,323185.40
0000000011,0000000011,1,Conceptos,406090.50
0000000012,0000000012,1,Conceptos,11005.90
0000000013,0000000013,1,CONCEPTOS,12763.68
0000000014,0000000014,1,CONCEPTOS,64130.70
0000000015,0000000015,1,CONCEPTOS,76492.13
0000000016,0000000016,1,CONCEPTOS,59394.53
0000000017,0000000017,1,CONCEPTOS,65302.22
0000000018,0000000018,1,CONCEPTOS,37741.90
0000000019,0000000019,1,CONCEPTOS,44021.81
0000000020,0000000020,1,CONCEPTOS,1095.22
0000000021,0000000021,1,CONCEPTOS,26301.92
0000000022,0000000022,1,CONCEPTOS,42334.19
0000000023,0000000023,1,CONCEPTOS,54949.60
0000000024,0000000024,1,CONCEPTOS,132667.85
0000000025,0000000025,1,CONCEPTOS,8354.03
0000000026,0000000026,1,CONCEPTOS,30731.20
0000000027,0000000027,1,CONCEPTOS,534.30
0000000028,0000000028,1,CONCEPTOS,12006.06
0000000029,0000000029,1,CONCEPTOS,16320.42
0000000030,0000000030,1,CONCEPTOS,22147.08
0000000031,0000000031,1,CONCEPTOS,15193.70
0000000032,0000000032,1,CONCEPTOS,28101.30
0000000033,0000000033,1,CONCEPTOS,247.80
0000000034,0000000034,1,CONCEPTOS,185833.79
0000000035,0000000035,1,CONCEPTOS,274773.32
0000000036,0000000036,1,CONCEPTOS,259532.78
0000000037,0000000037,1,CONCEPTOS,46154.12
0000000038,0000000038,1,CONCEPTOS,746119.85
0000000039,0000000039,1,CONCEPTOS,4560.49
0000000040,0000000040,1,CONCEPTOS,39446.42
0000000041,0000000041,1,CONCEPTOS,18925.29
0000000042,0000000042,1,CONCEPTOS,34938.66
0000000043,0000000043,1,CONCEPTOS,255290.28
0000000044,0000000044,1,CONCEPTOS,3269.96
0000000045,0000000045,1,CONCEPTOS,121721.98
0000000046,0000000046,1,CONCEPTOS,12689.16
0000000047,0000000047,1,CONCEPTOS,131382.02
0000000048,0000000048,1,CONCEPTOS,36011.52
0000000049,0000000049,1,CONCEPTOS,11574.32
0000000050,0000000050,1,CONCEPTOS,67889.21
0000000051,0000000051,1,CONCEPTOS,65781.00
0000000052,0000000052,1,CONCEPTOS,604411.42
0000000053,0000000053,1,CONCEPTOS,31940.25
0000000054,0000000054,1,CONCEPTOS,32171.39
0000000055,0000000055,1,CONCEPTOS,20289.20
0000000056,0000000056,1,CONCEPTOS,5188.84
0000000057,0000000057,1,CONCEPTOS,10878.10
0000000058,0000000058,1,CONCEPTOS,195349.48
0000000059,0000000059,1,CONCEPTOS,8549.31
0000000060,0000000060,1,CONCEPTOS,18974.58
0000000061,0000000061,1,CONCEPTOS,86656.30
0000000062,0000000062,1,CONCEPTOS,1097855.00
0000000063,0000000063,1,Conceptos,1140260.85
0000000064,0000000064,1,Conceptos,1136484.19
0000000065,0000000065,1,Conceptos,173659.53
0000000066,0000000066,1,Conceptos,251797.62
0000000067,0000000067,1,Conceptos,23618.00
0000000068,0000000068,1,Conceptos,39751.15
0000000069,0000000069,1,Conceptos,201941.16
0000000070,0000000070,1,Conceptos,5734.89
0000000071,0000000071,1,Conceptos,5509.45
0000000072,0000000072,1,Conceptos,16007.66
0000000073,0000000073,1,Conceptos,504332.74
0000000074,0000000074,1,CONCEPTOS,6264.77
0000000075,0000000075,1,Conceptos,13250.21
0000000076,0000000076,1,Conceptos,9279.22
0000000077,0000000077,1,Conceptos,81910.87
0000000078,0000000078,1,CONCEPTOS,136048.35
0000000079,0000000079,1,CONCEPTOS,44595.79
0000000080,0000000080,1,CONCEPTOS,69602.63
0000000081,0000000081,1,CONCEPTOS,191166.92
0000000082,0000000082,1,CONCEPTOS,231715.88
0000000083,0000000083,1,CONCEPTOS,40111.22
0000000084,0000000084,1,CONCEPTOS,341430.95
0000000085,0000000085,1,CONCEPTOS,102437.95
0000000086,0000000086,1,CONCEPTOS,5288.15
0000000087,0000000087,1,CONCEPTOS,189027.09
0000000088,0000000088,1,CONCEPTOS,14104.71
0000000089,0000000089,1,CONCEPTOS,4600.00
0000000090,0000000090,1,CONCEPTOS,23381.40
0000000091,0000000091,1,CONCEPTOS,112987.51
0000000092,0000000092,1,CONCEPTOS,39278.14
0000000093,0000000093,1,CONCEPTOS,11874.14
0000000094,0000000094,1,CONCEPTOS,7767.98
0000000095,0000000095,1,CONCEPTOS,162777.27
0000000096,0000000096,1,CONCEPTOS,14207.62
0000000097,0000000097,1,CONCEPTOS,23159.40
0000000098,0000000098,1,CONCEPTOS,53654.05
0000000099,0000000099,1,CONCEPTOS,50734.14
0000000100,0000000100,1,CONCEPTOS,389262.98
0000000101,0000000101,1,CONCEPTOS,11883.00
0000000102,0000000102,1,CONCEPTOS,251951.70
0000000103,0000000103,1,CONCEPTOS,170761.78
0000000104,0000000104,1,CONCEPTOS,25725.19
0000000105,0000000105,1,CONCEPTOS,4314416.27
0000000106,0000000106,1,CONCEPTOS,658015.59
0000000107,0000000107,1,CONCEPTOS,383124.75
0000000108,0000000108,1,CONCEPTOS,878898.53
0000000109,0000000109,1,CONCEPTOS,2175122.62
0000000110,0000000110,1,CONCEPTOS,19490.55
0000000111,0000000111,1,CONCEPTOS,53383.31
0000000112,0000000112,1,CONCEPTOS,50160.81
0000000113,0000000113,1,CONCEPTOS,163368.40
0000000114,0000000114,1,CONCEPTOS,1759951.47
0000000115,0000000115,1,CONCEPTOS,577546.11
0000000116,0000000116,1,CONCEPTOS,1478408.04
0000000117,0000000117,1,CONCEPTOS,8490.81
0000000118,0000000118,1,CONCEPTOS,899356.22
0000000119,0000000119,1,CONCEPTOS,271077.54
0000000120,0000000120,1,CONCEPTOS,85376.46
0000000121,0000000121,1,CONCEPTOS,109147.51
0000000122,0000000122,1,CONCEPTOS,343729.93
0000000123,0000000123,1,CONCEPTOS,422466.64
0000000124,0000000124,1,CONCEPTOS,441686.82
0000000125,0000000125,1,CONCEPTOS,1673316.36
0000000126,0000000126,1,CONCEPTOS,280108.09
0000000127,0000000127,1,CONCEPTOS,31713.97
0000000128,0000000128,1,CONCEPTOS,103823.33
0000000129,0000000129,1,CONCEPTOS,23403.94
0000000130,0000000130,1,CONCEPTOS,70119.20
0000000131,0000000131,1,CONCEPTOS,1073.22
0000000132,0000000132,1,CONCEPTOS,17666.75
0000000133,0000000133,1,CONCEPTOS,156467.09
0000000134,0000000134,1,CONCEPTOS,49230.29
0000000135,0000000135,1,CONCEPTOS,30057.95
0000000136,0000000136,1,CONCEPTOS,1363.66
0000000137,0000000137,1,CONCEPTOS,536.30
0000000138,0000000138,1,CONCEPTOS,22526.65
0000000139,0000000139,1,CONCEPTOS,129532.81
0000000140,0000000140,1,CONCEPTOS,35965.03
0000000141,0000000141,1,CONCEPTOS,45625.16
0000000142,0000000142,1,CONCEPTOS,892.80
0000000143,0000000143,1,CONCEPTOS,47836.52
0000000144,0000000144,1,CONCEPTOS,146107.82
0000000145,0000000145,1,CONCEPTOS,186695.78
0000000146,0000000146,1,CONCEPTOS,24496.99
0000000147,0000000147,1,CONCEPTOS,568332.03
0000000148,0000000148,1,CONCEPTOS,9514.98
0000000149,0000000149,1,CONCEPTOS,4176.07
0000000150,0000000150,1,CONCEPTOS,67624.92
0000000151,0000000151,1,CONCEPTOS,25396.35
0000000152,0000000152,1,CONCEPTOS,36268.73
0000000153,0000000153,1,CONCEPTOS,203866.16
0000000154,0000000154,1,CONCEPTOS,2924.14
0000000155,0000000155,1,CONCEPTOS,46472.45
0000000156,0000000156,1,CONCEPTOS,9126.31
0000000157,0000000157,1,CONCEPTOS,104445.73
0000000158,0000000158,1,Conceptos,7170.25
0000000159,0000000159,1,Conceptos,4765.15
0000000160,0000000160,1,Conceptos,9583.35
0000000161,0000000161,1,Conceptos,38071.34
0000000162,0000000162,1,Conceptos,41350.47
0000000163,0000000163,1,Conceptos,33849.44
0000000164,0000000164,1,Conceptos,35181.83
0000000165,0000000165,1,Conceptos,18277.89
0000000166,0000000166,1,Conceptos,35160.32
0000000167,0000000167,1,Conceptos,24370.31
0000000168,0000000168,1,Conceptos,14844.73
0000000169,0000000169,1,Conceptos,15556.88
0000000170,0000000170,1,Conceptos,5043.86
0000000171,0000000171,1,Conceptos,25837.08
0000000172,0000000172,1,Conceptos,17807.08
0000000173,0000000173,1,Conceptos,18298.28
0000000174,0000000174,1,Conceptos,35233.65
0000000175,0000000175,1,Conceptos,24286.42
0000000176,0000000176,1,Conceptos,74896.81
