Id_Capitulo,Clave,Descripcion,Importe
1,1,1 Conceptos,1289228.96
2,1,1 Conceptos,1318481.16
3,1,1 Conceptos,1289228.96
4,1,1 Conceptos,256249.1
5,1,1 Conceptos,149587.48
6,1,1 Conceptos,279500
7,1,1 Conceptos,323185.4
8,1,1 Conceptos,406090.5
9,1,1 Conceptos,11005.9
10,1,1 CONCEPTOS,4276558.16
11,1,1 Conceptos,181616.55
12,1,1 Conceptos,148052.16
13,1,1 Conceptos,82678.45
14,1,1 Conceptos,11505.34
15,1,1 Conceptos,2405.71
16,1,1 Conceptos,44969
17,1,1 Conceptos,155227.27
18,1,1 CONCEPTOS,658015.59
19,1,1 CONCEPTOS,383124.75
20,1,1 CONCEPTOS,878898.53
21,1,1 CONCEPTOS,2175122.62
22,1,1 CONCEPTOS,19490.55
23,1,1 CONCEPTOS,53383.31
24,1,1 CONCEPTOS,50160.81
25,1,1 CONCEPTOS,163368.4
26,1,1 CONCEPTOS,1759951.47
27,1,1 CONCEPTOS,577546.11
28,1,1 CONCEPTOS,1478408.04
29,1,1 CONCEPTOS,8490.81
30,1,1 CONCEPTOS,899356.22
31,1,1 CONCEPTOS,271077.54
32,1,1 CONCEPTOS,85376.46
33,1,1 CONCEPTOS,109147.51
34,1,1 CONCEPTOS,343729.93
35,1,1 CONCEPTOS,422466.64
36,1,1 CONCEPTOS,441686.82
37,1,1 CONCEPTOS,1673316.36
38,1,1 CONCEPTOS,280108.09
39,1,1 CONCEPTOS,1097855
47,1,1 Conceptos,5748.73
48,1,1 Conceptos,225222.26
49,1,1 Conceptos,60232.92
50,1,1 conceptos,319047.29
51,1,1 conceptos,103067.23
52,1,1 conceptos,430378.71
53,1,1 conceptos,2349455.27
54,1,1 conceptos,30553.44
55,1,1 conceptos,16288.62
56,1,1 conceptos,6071.63
57,1,1 conceptos,28365.41
58,1,1 conceptos,163485.04
59,1,1 conceptos,700040.86
60,1,1 conceptos,2070.1
61,1,1 conceptos,515524.2
62,1,1 conceptos,2951.42
63,1,1 conceptos,85039.36
64,1,1 conceptos,12815.09
65,1,1 conceptos,35943.83
66,1,1 conceptos,141537.23
67,1,1 conceptos,75296.51
68,1,1 conceptos,2116746.63
69,1,1 conceptos,244799.59
84,1,1 conceptos,13735.81
85,1,1 conceptos,1254.88
86,1,1 conceptos,5260.2
87,1,1 conceptos,22605.65
88,1,1 conceptos,27626.72
89,1,1 conceptos,13804.28
90,1,1 conceptos,22468.33
91,1,1 conceptos,17878.11
92,1,1 conceptos,1254.88
93,1,1 conceptos,5260.2
94,1,1 conceptos,26463.93
95,1,1 conceptos,34191.07
96,1,1 conceptos,15652.03
97,1,1 conceptos,27871.12
98,1,1 CONCEPTOS,9280.83
99,1,1 CONCEPTOS,1254.88
100,1,1 CONCEPTOS,5260.2
101,1,1 CONCEPTOS,16156.15
102,1,1 CONCEPTOS,18877.74
103,1,1 CONCEPTOS,11724.7
104,1,1 CONCEPTOS,22468.33
105,1,CONCEPTOS,0
106,1,1 CONCEPTOS,10503.57
107,1,1 CONCEPTOS,2259.66
108,1,1 CONCEPTOS,18778.73
109,1,1 CONCEPTOS,8532.77
110,1,1 CONCEPTOS,12578.24
111,1,1 CONCEPTOS,29575.52
112,1,1 CONCEPTOS,10503.57
113,1,1 CONCEPTOS,2259.66
114,1,1 CONCEPTOS,18778.73
115,1,1 CONCEPTOS,8532.77
116,1,1 CONCEPTOS,12578.24
117,1,1 CONCEPTOS,29575.52
118,1,1 CONCEPTOS,24508.33
119,1,1 CONCEPTOS,2259.66
120,1,1 CONCEPTOS,18778.73
