Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
0000000001,0000000007,1,ANTICIPO,2018-03-15 00:00:00,18,2018-03-16 00:00:00,2018-07-03 00:00:00,S/N RECAL,2018-03-22 00:00:00,DAyCFO/001/2018,2018-03-29 00:00:00,K 02/05/2018,2018-02-26 00:00:00,2018-06-15 00:00:00
0000000002,0000000005,1,ANTICIPO,2018-04-26 00:00:00,46,2018-04-27 00:00:00,2018-05-31 00:00:00,S/N RECAL,2018-05-04 00:00:00,DAyCFO/003/2018,2018-05-07 00:00:00,K 07/05/2018,2018-03-12 00:00:00,2018-04-15 00:00:00
0000000003,0000000009,1,ANTICIPO,2018-03-28 00:00:00,31,2018-04-02 00:00:00,2018-08-23 00:00:00,S/N RECAL,2018-04-09 00:00:00,DAyCFO/002/2018,2018-04-16 00:00:00,K 07/05/2018,2018-02-26 00:00:00,2018-07-21 00:00:00
0000000004,0000000013,1,ANTICIPO,2018-03-26 00:00:00,42,2018-03-26 00:00:00,2018-08-03 00:00:00,S/N RECAL,2018-04-04 00:00:00,DAYCFO/DAyCFO/004/2018,2018-04-11 00:00:00,K 18/05/2018,2018-02-12 00:00:00,2018-06-22 00:00:00
0000000005,0000000018,1,ANTICIPO,2018-05-15 00:00:00,29,2018-05-15 00:00:00,2018-06-16 00:00:00,S/N RECAL,2018-05-17 00:00:00,DGOP/005/2018,2018-05-24 00:00:00,K 28/05/2018,2018-04-16 00:00:00,2018-05-18 00:00:00
0000000006,0000000026,1,ANTICIPO,2018-05-10 00:00:00,24,2018-05-10 00:00:00,2018-06-04 00:00:00,S/N RECAL,2018-05-17 00:00:00,DGOP/007/2018,2018-05-24 00:00:00,K 29/05/2018,2018-04-16 00:00:00,2018-05-11 00:00:00
0000000007,0000000027,1,ANTICIPO,2018-05-10 00:00:00,24,2018-05-10 00:00:00,2018-06-04 00:00:00,S/N RECAL,2018-05-17 00:00:00,DGOP/007/2018,2018-05-24 00:00:00,K 29/05/2018,2018-04-16 00:00:00,2018-05-11 00:00:00
0000000008,0000000028,1,ANTICIPO,2018-05-10 00:00:00,24,2018-05-10 00:00:00,2018-06-04 00:00:00,S/N RECAL,2018-05-17 00:00:00,DGOP/007/2018,2018-05-24 00:00:00,K 29/05/2018,2018-04-16 00:00:00,2018-05-11 00:00:00
0000000009,0000000029,1,ANTICIPO,2018-05-10 00:00:00,24,2018-05-10 00:00:00,2018-06-04 00:00:00,S/N RECAL,2018-05-17 00:00:00,DGOP/007/2018,2018-05-24 00:00:00,K 29/05/2018,2018-04-16 00:00:00,2018-05-11 00:00:00
0000000010,0000000025,1,ANTICIPO,2018-05-10 00:00:00,17,2018-05-10 00:00:00,2018-07-30 00:00:00,S/N RECAL ,2018-05-15 00:00:00,DGOP/008/2018,2018-05-22 00:00:00,K 29/05/2018,2018-04-23 00:00:00,2018-07-13 00:00:00
0000000011,0000000012,1,ANTICIPO,2018-05-23 00:00:00,16,2018-05-23 00:00:00,2018-09-09 00:00:00,S/N RECAL ,2018-05-28 00:00:00,DGOP/008/2018,2018-05-31 00:00:00,K 31/05/2018,2018-05-07 00:00:00,2018-08-24 00:00:00
0000000012,0000000049,1,ANTICIPO,2018-03-15 00:00:00,24,2018-03-15 00:00:00,2018-05-08 00:00:00,S/N RECAL,2018-03-22 00:00:00,DGOP/009/2018,2018-03-29 00:00:00,K 05/06/2018,2018-02-19 00:00:00,2018-04-14 00:00:00
0000000013,0000000050,1,ANTICIPO,2018-03-15 00:00:00,24,2018-03-15 00:00:00,2018-05-08 00:00:00,S/N RECAL,2018-03-22 00:00:00,DGOP/009/2018,2018-06-05 00:00:00,K 05/06/2018,2018-02-19 00:00:00,2018-04-14 00:00:00
0000000014,0000000045,1,ANTICIPO,2018-04-19 00:00:00,59,2018-04-19 00:00:00,2018-06-12 00:00:00,S/N RECAL,2018-04-23 00:00:00,DGOP/DAYCFO/010/2018,2018-04-30 00:00:00,k 05/06/2018,2018-02-19 00:00:00,2018-04-14 00:00:00
0000000015,0000000046,1,ANTICIPO,2018-04-19 00:00:00,59,2018-04-19 00:00:00,2018-06-12 00:00:00,S/N RECAL,2018-04-23 00:00:00,DGOP/DAYCFO/010/2018,2018-04-30 00:00:00,K 05/06/2018,2018-02-19 00:00:00,2018-04-14 00:00:00
0000000016,0000000039,1,SITIO,2018-06-05 00:00:00,42,2018-04-16 00:00:00,2018-08-15 00:00:00,S/N RECAL ,2018-04-17 00:00:00,DGOP/CT/REC/064/18,2018-04-24 00:00:00,POR RETRASO EN ENTREGA DE SITIO 
,2018-03-05 00:00:00,2018-07-04 00:00:00
0000000017,0000000055,1,ANTICIPO,2018-05-18 00:00:00,11,2018-05-18 00:00:00,2018-07-04 00:00:00,S/N RECAL ,2018-05-25 00:00:00,DGOP/DAyCFO/011/2018,2018-06-01 00:00:00,K 11/06/2018,2018-05-07 00:00:00,2018-06-23 00:00:00
0000000018,0000000067,1,ANTICIPO,2018-05-23 00:00:00,16,2018-05-23 00:00:00,2018-06-17 00:00:00,S/N RECAL,2018-05-28 00:00:00,DGOP/DAyCFO/0012/2018,2018-06-04 00:00:00,K 11/06/2018,2018-05-07 00:00:00,2018-06-01 00:00:00
0000000019,0000000054,1,ANTICIPO,2018-05-09 00:00:00,16,2018-05-10 00:00:00,2018-08-06 00:00:00,S/N RECAL,2018-05-18 00:00:00,DGOP/DAyCFO/0043/2018,2018-05-25 00:00:00,K 11/06/2018,2018-04-24 00:00:00,2018-07-21 00:00:00
0000000020,0000000053,1,ANTICIPO,2018-05-10 00:00:00,17,2018-05-11 00:00:00,2018-08-07 00:00:00,S/N RECAL,2018-05-21 00:00:00,DGOP/DAyCFO/0040/2018,2018-05-28 00:00:00,K 11/06/2018,2018-04-24 00:00:00,2018-07-21 00:00:00
0000000021,0000000060,1,ANTICIPO,2018-03-15 00:00:00,24,2018-03-15 00:00:00,2018-05-08 00:00:00,S/N RECAL,2018-03-21 00:00:00,DGOP/DAyCFO/0015/2018,2018-03-28 00:00:00,K 11/06/2018,2018-02-19 00:00:00,2018-04-14 00:00:00
0000000022,0000000061,1,ANTICIPO,2018-03-15 00:00:00,24,2018-03-15 00:00:00,2018-05-08 00:00:00,S/N RECAL ,2018-03-21 00:00:00,DGOP/DAyCFO/0015/2018,2018-03-28 00:00:00,K 11/06/2018,2018-02-19 00:00:00,2018-04-14 00:00:00
0000000023,0000000062,1,ANTICIPO,2018-03-15 00:00:00,24,2018-03-15 00:00:00,2018-05-08 00:00:00,S/N RECAL,2018-03-21 00:00:00,DGOP/DAyCFO/0015/2018,2018-03-28 00:00:00,k 11/06/2018,2018-02-19 00:00:00,2018-04-14 00:00:00
0000000024,0000000063,1,ANTICIPO,2018-03-15 00:00:00,24,2018-03-15 00:00:00,2018-05-08 00:00:00,S/N RECAL,2018-03-21 00:00:00,DGOP/DAyCFO/0015/2018,2018-03-28 00:00:00,K 11/06/2018,2018-02-19 00:00:00,2018-04-14 00:00:00
0000000025,0000000064,1,ANTICIPO,2018-03-15 00:00:00,24,2018-03-15 00:00:00,2018-05-08 00:00:00,S/N RECAL,2018-03-21 00:00:00,DGOP/DAyCFO/0015/2018,2018-03-28 00:00:00,K 11/06/2018,2018-02-19 00:00:00,2018-04-14 00:00:00
0000000026,0000000068,1,SITIO,2018-06-13 00:00:00,70,2018-05-07 00:00:00,2018-09-29 00:00:00,S/N RECAL,2018-05-11 00:00:00,DGOP/CT/REC/067/18,2018-05-18 00:00:00,POR RETRASO EN ENTREGA DE SITIO ,2018-02-26 00:00:00,2018-07-21 00:00:00
0000000027,0000000019,1,ANTICIPO,2018-05-30 00:00:00,16,2018-05-30 00:00:00,2018-07-23 00:00:00,S/N RECAL,2018-06-08 00:00:00,DGOP/DAyCFO/016/2018,2018-06-15 00:00:00,K 19/06/2018,2018-05-14 00:00:00,2018-07-07 00:00:00
0000000028,0000000074,1,ANTICIPO,2018-05-10 00:00:00,24,2018-05-10 00:00:00,2018-06-04 00:00:00,S/N RECAL,2018-05-18 00:00:00,DGOP/DAyCFO/0017/2018,2018-05-25 00:00:00,K 19/06/2018,2018-04-16 00:00:00,2018-05-11 00:00:00
0000000029,0000000075,1,ANTICIPO,2018-05-10 00:00:00,24,2018-05-10 00:00:00,2018-06-04 00:00:00,S/N RECAL,2018-05-18 00:00:00,DGOP/DAyCFO/0017/2018,2018-05-25 00:00:00,K 19/06/2018,2018-04-16 00:00:00,2018-05-11 00:00:00
0000000030,0000000076,1,ANTICIPO,2018-05-10 00:00:00,24,2018-05-10 00:00:00,2018-06-04 00:00:00,S/N RECAL,2018-05-18 00:00:00,DGOP/DAyCFO/0017/2018,2018-05-25 00:00:00,K 19/06/2018,2018-04-16 00:00:00,2018-05-11 00:00:00
0000000031,0000000077,1,ANTICIPO,2018-05-10 00:00:00,24,2018-05-10 00:00:00,2018-06-04 00:00:00,S/N RECAL,2018-05-18 00:00:00,DGOP/DAyCFO/0017/2018,2018-05-25 00:00:00,K 19/06/2018,2018-04-16 00:00:00,2018-05-11 00:00:00
0000000032,0000000047,1,ANTICIPO,2018-05-23 00:00:00,10,2018-05-24 00:00:00,2018-07-10 00:00:00,S/N RECAL,2018-06-11 00:00:00,DGOP/DAyCFO/021/2018,2018-06-18 00:00:00,K 25/06/2018,2018-05-14 00:00:00,2018-06-30 00:00:00
0000000033,0000000052,1,ANTICIPO,2018-05-30 00:00:00,18,2018-06-01 00:00:00,2018-08-08 00:00:00,S/N RECAL,2018-06-08 00:00:00,DGOP/DAyCFO/020/2018,2018-06-15 00:00:00,K 25/06/2018,2018-05-14 00:00:00,2018-07-21 00:00:00
0000000034,0000000093,1,ANTICIPO,2018-05-11 00:00:00,21,2018-05-14 00:00:00,2018-08-11 00:00:00,S/N RECAL,2018-05-21 00:00:00,DGOP/DAyCFO/019/2018,2018-05-28 00:00:00,K 25/06/2018,2018-04-23 00:00:00,2018-07-21 00:00:00
0000000035,0000000021,1,ANTICIPO,2018-05-29 00:00:00,36,2018-05-29 00:00:00,2018-07-20 00:00:00,S/N RECAL,2018-06-05 00:00:00,DGOP/DAyCFO/018/2018,2018-06-12 00:00:00,K 25/06/2018,2018-04-23 00:00:00,2018-06-15 00:00:00
0000000036,0000000084,1,ANTICIPO,2018-05-23 00:00:00,9,2018-05-23 00:00:00,2018-07-09 00:00:00,S/N RECAL ,2018-05-30 00:00:00,DGOP/DAyCFO/022/2018,2018-06-06 00:00:00,K 27/06/2018,2018-05-14 00:00:00,2018-06-30 00:00:00
