Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Id_Oficio_Asignacion_Obra
1,2,A-2111-301-6121-E/0002/2014,PLAN DE MODERNIZACION DEL MERCADO EL CORTIJO,1998022.72,30,599406.8,Jan 23 2014 12:00AM,Jan 27 2014 12:00AM,Apr  5 2014 12:00AM,1,1,1,,EJECUCION,324,,,3,Jan 23 2014 12:00AM,2,,0
2,8,A-2410-340-6141-H/0006/2014,PROYECTO EJECUTIVO DEL CORREDOR TRONCAL SAN GERÓNIMO - ECHEVESTE,1649853.29,30,494955.98,Jan 23 2014 12:00AM,Feb  3 2014 12:00AM,Jun  6 2014 12:00AM,1,1,1,,EJECUCION,434,,,1,Jan 23 2014 12:00AM,3,,0
3,10,C-2510-610-6141-D/0007/2014,PAVIMENTACION DE LA CALLE BALCON DE LOS MONARCAS TRAMO: BALCON DE LAS MARIPOSAS A TOPAR COL. EL RENACIMIENTO,1875764.02,0,0,Jan 30 2014 12:00AM,Feb 10 2014 12:00AM,Apr 19 2014 12:00AM,1,1,1,,EJECUCION,127,,,10,Jan 30 2014 12:00AM,1,,0
4,3,H-2510-900-6141-D/0003/2014,"MODERNIZACION DEL BLVD. TIMOTEO LOZANO, PRIMERA ETAPA",57371414.11,30,17211424.33,Jan  7 2014 12:00AM,Jan 20 2014 12:00AM,Sep 20 2014 12:00AM,1,1,1,,EJECUCION,418,,,3,Jan  7 2014 12:00AM,3,,0
5,6,A-2510-342-6141-D/0004/2014,"REHABILITACION DE PLAZA PARQUE EN SOLEDAD LAS JOYAS, ENTRE LAS CALLES HEGEL, KANT, PASCAL Y FROMM",15520877.38,50,7760438.69,Jan 10 2014 12:00AM,Jan 20 2014 12:00AM,Jun 28 2014 12:00AM,1,1,1,,EJECUCION,31,,,1,Jan 10 2014 12:00AM,3,,0
6,7,C-2510-610-6141-D/0005/2014,PAVIMENTACION DE LA CALLE ANTONIO HERNANDEZ TRAMO: PAULINO DURAN A BLVD. VASCO DE QUIROGA COL. LEON I.,4073321.51,30,1221996.45,Jan  7 2014 12:00AM,Jan 13 2014 12:00AM,May  3 2014 12:00AM,1,1,1,,EJECUCION,566,,,10,Jan  7 2014 12:00AM,3,,0
7,1,A-2111-301-6121-E/0001/2014,PLAN DE MODERNIZACION DEL MERCADO EX ESTACIONAMIENTO COMONFORT,2682950.96,50,1341475.47,Jan 23 2014 12:00AM,Jan 27 2014 12:00AM,Apr  5 2014 12:00AM,1,1,1,,EJECUCION,303,,,11,Jan 23 2014 12:00AM,2,,0
8,17,A-2510-329-6141-H/0013/2014,"CONTRATACION DE VARIAS FICHAS TECNICAS Y EVALUACION COSTO BENEFICIO EN DISTINTOS PUNTOS DE LA CIUDAD (CICLOVIAS, VIALIDADES PRIMARIAS, CAMINOS RURALES, INFRAESTRUCTURA CULTURAL, ESPACIOS PUBLICOS Y RUTA DEL PEATON EN EL MUNICIPIO DE LEON.",1071183.88,0,0,Jan 30 2014 12:00AM,Feb 17 2014 12:00AM,Jun  7 2014 12:00AM,1,1,1,,EJECUCION,261,,,1,Jan 30 2014 12:00AM,1,,0
9,20,A-2010-336-6221-H/0015/2014,PROYECTO EJECUTIVO DE REGISTRO ARQUITECTONICO DEL INMUEBLE PLAZA DE GALLOS EN CALLE JUAREZ # 316 ZONA CENTRO,30579.62,0,0,Jan 30 2014 12:00AM,Feb 10 2014 12:00AM,Feb 22 2014 12:00AM,1,1,1,,EJECUCION,234,,,1,Jan 30 2014 12:00AM,1,,0
10,21,A-2510-329-6141-H/0016/2014,ESTUDIOS DE MECANICA DE SUELOS Y RECOMENDACIONES CONSTRUCTIVAS PARA CANCHAS CON PASTO SINTETICO EN VARIAS DEPORTIVAS DE LA CIUDAD,89652.31,0,0,Jan 30 2014 12:00AM,Feb 10 2014 12:00AM,Mar  8 2014 12:00AM,1,1,1,,EJECUCION,271,,,1,Jan 30 2014 12:00AM,1,,0
