Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Id_Oficio_Asignacion_Obra,
7,7,A-5058-6221-H/004/2017,"PROYECTO EJECUTIVO PARA EL FORTALECIMIENTO DE LA CAPACITACIÓN EN MATERIA DE SISTEMA ACUSATORIO PENAL A TRAVES DE LA EJECUCIÓN DE CASA DE PRESERVACIÓN DEL LUGAR DE LOS HECHOS Y STAND DE TIRO VIRTUAL UBICACIÓN: BLVD. JUAN JOSE TORRES LANDA NO. 5202, COL. MONTE DE CRISTO.",359039.36,0,0,Jan 25 2017 12:00AM,Feb 13 2017 12:00AM,Jun  3 2017 12:00AM,,1,1,11-mar-17,EJECUCION,677,NULL,NULL,1,Sep  2 2016 12:00AM,1,,0,
8,11,H-D/BANOBRAS-FONADIN/0008/2017,"AMPLIACIÓN DEL SISTEMA INTEGRADO DEL TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A Y 4A ETAPA RENOVACION DE PARADEROS 1RA. ETAPA SIT OPTIBUS EN BLVD. ADOLFO LÓPEZ MATEOS DE BLVD. FRANCISCO VILLA A AV. MIGUEL ALEMÁN (15VA. ETAPA PARADEROS: EXPIATORIO, TRIGO, ZONA PIEL Y CENTRAL CAMIONERA)",24166051.4,50,12083025.7,Feb 14 2017 12:00AM,Feb 20 2017 12:00AM,Jul 15 2017 12:00AM,10,1,1,,EJECUCION,31,NULL,462,3,Feb  7 2017 12:00AM,3,LO-811020996-E2-2017,0,
9,10,H-D/BANOBRAS-FONADIN/0010/2017,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3a. Y 4a. ETAPA, AJUSTES OPERATIVOS AL CORREDOR TRONCAL MIGUEL HIDALGO SIT OPTIBUS TRAMO: MALECON DEL RIO DE LOS GOMEZ A BLVD. CAMPESTRE (13va. ETAPA URBANIZACIÓN DE CARRILES EXCLUSIVOS)",33079805.41,50,16539902.7,Feb 16 2017 12:00AM,Feb 20 2017 12:00AM,Jul 15 2017 12:00AM,5,1,1,AMALIA  28/03/2017,EJECUCION,326,NULL,NULL,3,Feb 15 2017 12:00AM,3,LO-811020996-E3-2017,0,
10,8,A-2510-310-6121-C/0005/2017,INSTALACIÓN DE ILUMINACIÓN ESCENICA EN FUENTE DE LOS LEONES ZONA CENTRO,1425769.41,30,427730.82,Feb 13 2017 12:00AM,Feb 27 2017 12:00AM,May  6 2017 12:00AM,11,1,1,AMALIA 28/03/201708/AB/2017 XOCH MODIF PARTIDA POR ADENDUM DE 6221 A 6121,EJECUCION,26,NULL,NULL,1,Dec 27 2016 12:00AM,1,,0,
11,9,A-2510-314-6121-C/0015/2017,INFRAESTRUCTURA MUNICIPAL EN LEÓN (REMODELACIÓN DE MINIDEPORTIVAS VALLE DE LOS CASTILLOS) TRABAJOS COMPLEMENTARIOS,36461.29,0,0,Feb 22 2017 12:00AM,Feb 27 2017 12:00AM,Mar  4 2017 12:00AM,11,1,1,28/03/2017 AMALIA,EJECUCION,186,NULL,NULL,1,Dec 13 2016 12:00AM,1,,0,
12,13,H-D/BANOBRAS-FONADIN/0007/2017,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A Y 4TA ETAPA, RENOVACION DE PARADEROS 1RA. ETAPA SIT OPTIBUS EN BLVD. ADOLFO LOPEZ MATEOS DE BLVD. FRANCISCO VILLA A AV. MIGUEL ALEMAN (16VA. ETAPA PARADEROS: CENTRO HISTÓRICO Y HERMANOS ALDAMA)",23613846.68,50,11806923.34,Feb 14 2017 12:00AM,Feb 20 2017 12:00AM,Jul 15 2017 12:00AM,7,1,1,30/MAR/2017 XOCH,EJECUCION,267,NULL,NULL,3,Feb  7 2017 12:00AM,3,LO-811020996-E1-2017,0,
13,12,H-D/BANOBRAS-FONADIN/0009/2017,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA, AJUSTES OPERATIVOS AL CORREDOR TRONCAL MIGUEL HIDALGO SIT OPTIBUS TRAMO: MALECON DEL RIO DE LOS GOMEZ A BLVD. CAMPESTRE (14VA. ETAPA RENOVACION DE PARADEROS)",15916188.81,50,7958094.41,Feb 16 2017 12:00AM,Feb 20 2017 12:00AM,Jul 15 2017 12:00AM,6,1,1,30/MAR/2017 XOCH,EJECUCION,494,NULL,NULL,3,Feb 15 2017 12:00AM,3,LO-811020996-E4-2017,0,
14,31,A-2110-350-6271-E/0018/2017,REHABILITACION EN LA INSTALACION ELECTRICA DEL MERCADO 16 DE SEPTIEMBRE.,346907.14,30,104072.14,Mar  6 2017 12:00AM,Mar 27 2017 12:00AM,May  6 2017 12:00AM,10,1,1,,EJECUCION,20,NULL,NULL,1,Dec 14 2016 12:00AM,1,DGOP/00383/CONT/2016,0,
15,32,A-2510-315-6121-H/0023/2017,"PROYECTO EJECUTIVO PARA LA EDIFICACION DE LA ESTACION METROPOLITANA DE BOMBEROS NO. 9, SANTA CROCCE.",617193.5,30,185158.05,Mar 15 2017 12:00AM,Mar 27 2017 12:00AM,Jul  1 2017 12:00AM,10,1,1,,EJECUCION,634,NULL,NULL,1,Apr 20 2017 12:00AM,1,DGOP/0420/CONT/2016,0,
16,20,A-2510-315-6221-H/0028/2017,PROYECTO DE REHABILITACIÓN EN DIFERENTES ESCUELAS DE LA CIUDAD DE LEON.,291193.4,30,87358.02,Mar 31 2017 12:00AM,Apr  3 2017 12:00AM,May 13 2017 12:00AM,10,1,1,,EJECUCION,531,NULL,NULL,1,Mar 24 2017 12:00AM,1,DGOP/0023/CONT/2017,0,
