Id_Obra,Clave_Obra,Nombre,Tipo_Precio,Id_Sub_Programa,Id_Localidad,Tipo_Obra_Proyecto,Id_Sub_Tipo_Obra,Id_Oficio_Asignacion_Obra
1,1,PROYECTO EJECUTIVO DE LA PAVIMENTACIÓN DE LAS CALLES: ESTRELLA BOREAL TRAMO: HORIZONTE - LUCERO COL.,Unitario,1,1,Obra,1,0
2,4,PROYECTO EJECUTIVO DE LAS CALLES: DOGMA CATÓLICO TRAMO: DE LA SAGRADA FAMILIA - RIO DE LOS CASTILLOS,Unitario,1,1,Obra,1,0
3,2,PROYECTO EJECUTIVO DE LA PAVIMENTACIÓN DE LAS CALLES: LOMAS DE LA HACIENDA TRAMO: LOMAS DE LAS BUGAM,Unitario,1,1,Obra,1,0
4,3,PROYECTO EJECUTIVO DE LAS CALLES: CASTILLO DE WINDSOR TRAMO: BLVD. HIDALGO A BLVD. HIDALGO COL. LOMA,Unitario,1,1,Obra,1,0
5,6,PROYECTO EJECUTIVO DE LAS CALLES: ANDADOR CRESTERIA TRAMO: CRESTERIA - PIRAMIDE; CALLE PIRAMIDE TRAM,Unitario,1,1,Obra,1,0
6,5,PROYECTO EJECUTIVO DE LAS CALLES: MADRE CARMEN TRAMO: MADRE MARINA - TOPAR CON MERCADO COL. DIEZ DE,Unitario,1,1,Obra,1,0
7,7,PROYECTO EJECUTIVO DEL BLVD. LA LUZ; TRAMO DE BLVD. VICENTE VALTIERRA A BLVD. DUARTE (1ERA ETAPA,Unitario,1,1,Obra,1,0
8,8,PROYECTO EJECUTIVO DE LAS CALLES: HADES TRAMO: EROS - CLOTO COL. LA ERMITA; CALLE CERRO ESCONDIDO TR,Unitario,1,1,Obra,1,0
9,11,AJUSTE CLAVES DE PRESUPUESTO CON RELACIÓN AL CATALOGO DE LA SECRETARIA DE OBRA PUBLICA DE GUANAJUATO,Unitario,1,1,Obra,1,0
10,9,ESTUDIO DE MECANICA DE SUELOS PARA INSTALACIONES DE POLICIA MONTADA EN EL POBLADO DE IBARRILLA,Unitario,1,1,Obra,1,0
11,10,ESTUDIO DE MECANICA DE SUELOS PARA EL EDIFICIO DE ESTACION DE BOMBEROS TRAMO: CALLE SANTA CROCCE A B,Unitario,1,1,Obra,1,0
12,13,"CONSTRUCCIÓN DE 98 GAVETAS INFANTILES EN PANTEÓN SAN NICOLAS LEÓN, GTO; CONSTRUCCIÓN DE 266 OSARIOS",Unitario,1,1,Obra,1,0
13,12,PROYECTO EJECUTIVO DE LA CALLE 2 DE ENERO TRAMO: BLVD. HILARIO MEDINA A EPISTOLAS COL. VALLE DEL CON,Unitario,1,1,Obra,1,0
14,14,PROYECTO EJECUTIVO DE LA CALLE ZANTETRAMO: HADES A EOLO COL. LA ERMITA,Unitario,1,1,Obra,1,0
15,15,PAVIMENTACION DE LA CALLE BALCON DE LOS COLIMBOS (TRAMO BALCON DE LOS CANGUROS-BALCON DE LOS RUISEÑO,Unitario,1,1,Obra,1,0
16,16,PAVIMENTACION  DE LA CALLE MALDIVAS (TRAMO: CALLE GANGES A AGRA) COLONIA CAÑON DE LA INDIA,Unitario,1,1,Obra,1,0
17,17,PAVIMENTACION DE LA CALLE IGNACIO VILLAVICENCIO (TRAMO ARTURO VALDEZ - ARTURO VILLEGAS)  COLONIA LEO,Unitario,1,1,Obra,1,0
18,18,PROYECTO EJECUTIVO DE LAS CALLES: MALAQUITA TRAMO: COBRE NATIVO - DEL ORATORIO COL. LAS JOYAS; CALLE,Unitario,1,1,Obra,1,0
19,19,"PAVIMENTACION DE LA CALLE TARSO (TRAMO: DE CORINTO A FILIPENSES, COL. SAN PABLO)",Unitario,1,1,Obra,1,0
20,20,REVESTIMIENTO DE LOS CAMINOS DUARTE TRAMO: DE LAS COLORADAS - MANGAS DE LA ESTANCIA; DUARTE TRAMO: M,Unitario,1,1,Obra,1,0
21,21,"REVESTIMIENTO DE LOS CAMINOS: CAMINO OJO DE AGUA, TRAMO: DEL FRACC. LA PERA - OJO DE AGUA DE LOS REY",Unitario,1,1,Obra,1,0
22,22,PAVIMENTACION DE LA CALLE PRIVADA SION ( TRAMO DE AV. SION A TOPAR CON PAVIMENTO ) COL. SAN FELIPE D,Unitario,1,1,Obra,1,0
23,23,PAVIMENTACION DE LA CALLE GANGES (TRAMO BANGLADESH A TOPAR CON PAVIMENTO PTE.) COL. CAÑON DE LA INDI,Unitario,1,1,Obra,1,0
24,24,PAVIMENTACION DE LA CALLE PRESA DEL CONDE (TRAMO PRESA DE LA SELVA A ARROYO SARDENETA) COL. LAS PRES,Unitario,1,1,Obra,1,0
25,25,PAVIMENTACION DE LA CALLE MADRE JULIA (TRAMO MADRE TIERRA A CERRO DEL SOYATE) COL. 10 DE MAYO,Unitario,1,1,Obra,1,0
26,26,"BACHEO SUPERFICIAL EN LAS VIALIDADES DEL MUNICIPIO DE LEÓN, GTO.",Unitario,1,1,Obra,1,0
27,27,PROYECTO EJECUTIVO DE LA CALLE: PRESA DEL TIGRE TRAMO: DE MORA -  GOBIO Y CALLE: GOBIO TRAMO: PRESA,Unitario,1,1,Obra,1,0
28,28,PROYECTO EJECUTIVO DE LA CALLE: CUESTA DE CAMELINA TRAMO: RODOLFO PADILLA A CIRCUITO SIGLO XXI COL.,Unitario,1,1,Obra,1,0
29,29,"REALIZACION PAQUETE # 1 DE NOTAS TECNICAS Y ACB PARA DIFERENTES OBRAS EN LA CIUDAD DE LEON, GTO.",Unitario,1,1,Obra,1,0
30,30,PROYECTO EJECUTIVO DE LA CALLE: CRUCIFIXION TRAMO: JEREZ DE CARTAGENA - BLVD. RIO MAYO; CALLE MADRE,Unitario,1,1,Obra,1,0
31,31,PROYECTO EJECUTIVO DE LA CALLE: DE MORA TRAMO: PRESA DE LA MOJINA - PRESA DEL TIGRE; CALLE PRESA DE,Unitario,1,1,Obra,1,0
32,32,PROYECTO EJECUTIVO DE LA CALLE: MARX TRAMO: BLVD. ARISTOTELES - BLVD. PASCAL; CALLE PASCAL TRAMO: MA,Unitario,1,1,Obra,1,0
33,33,PROYECTO EJECUTIVO DE LA  CALLE: VALLE DEL TEMPORAL TRAMO: BLVD. PERDIGON - VALLE DE LOS OTATES COL.,Unitario,1,1,Obra,1,0
34,34,PROYECTO EJECUTIVO DE LA CALLE: BANGLADESH TRAMO: GANGES - SANTISIMA TRINIDAD; CALLE SANTISIMA TRINI,Unitario,1,1,Obra,1,0
35,35,PROYECTO SIMPLIFICADO DE REVESTIMIENTO DE CAMINO RURAL A LOS RAMIREZ LOCALIDAD LOS RAMIREZ,Unitario,1,1,Obra,1,0
36,36,"PAVIMENTACION DE LA CALLE FILEMON (TRAMO; CALLE PRESA DE EFESO A PRESA LA MOJINA), EN LEON DE LOS AL",Unitario,1,1,Obra,1,0
37,37,"PAVIMENTACION DE LA CALLE HONORIO III ( TRAMO: AV. OLIMPICA A FRAY RAUL ), EN LEON DE LOS ALDAMA",Unitario,1,1,Obra,1,0
38,38,"PAVIMENTACION DE LA CALLE PRESA DEL CONSUELO ( TRAMO PRESA DE LA SELVA A ARROYO DE SARDENETA ), EN L",Unitario,1,1,Obra,1,0
