Id_Oficio_Asignacion,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
1,DGOP/0001/CONT/2018,DGOP/0001/CONT/2018,Feb 26 2018 12:00AM,654,447,21,,Proyecto,1,NULL,NULL
4,DGOP/0029/CONT/2018,DGOP/0029/CONT/2018,Apr  4 2018 12:00AM,529,,21,,Proyecto,1,NULL,NULL
5,DGOP/0520/CONT/2017,DGOP/0520/CONT/2017,Nov  5 2017 12:00AM,621,,21,,Obra,1,55,Construcción
7,DGOP/0004/OBRA/2018,DGOP/0004/OBRA/2018,Feb 26 2018 12:00AM,326,309,58,,Obra,3,54,Construcción
9,DGOP/0005/OBRA/2018,DGOP/0005/OBRA/2018,Feb 26 2018 12:00AM,724,,68,,Obra,1,NULL,NULL
10,DGOP/0006/OBRA/2018,DGOP/0006/OBRA/2018,Feb 26 2018 12:00AM,457,,68,,Obra,1,NULL,NULL
11,DGOP/0009/CONT/2018,DGOP/0009/CONT/2018,Feb 26 2018 12:00AM,680,,18,,Obra,1,NULL,NULL
12,DGOP/0012/OBRA/2018,DGOP/0012/OBRA/2018,Mar  8 2018 12:00AM,505,,68,,Obra,1,NULL,NULL
13,DGOP/0013/OBRA/2018,DGOP/0013/OBRA/2018,Mar  8 2018 12:00AM,269,,72,,Obra,1,NULL,NULL
14,DGOP/0015/OBRA/2018,DGOP/0015/OBRA/2018,Apr 19 2018 12:00AM,294,,68,,Obra,1,NULL,NULL
15,DGOP/0017/OBRA/2018,DGOP/0017/OBRA/2018,Apr 19 2018 12:00AM,522,,69,,Obra,1,NULL,NULL
16,DGOP/0018/OBRA/2018,DGOP/0018/OBRA/2018,Mar  8 2018 12:00AM,347,,69,,Obra,1,NULL,NULL
17,DGOP/0027/CONT/2018,DGOP/0027/CONT/2018,Apr  4 2018 12:00AM,151,,21,,Proyecto,1,NULL,NULL
18,DGOP/0028/CONT/2018,DGOP/0028/CONT/2018,Apr  4 2018 12:00AM,654,,21,,Obra,1,NULL,NULL
20,DGOP/0031/CONT/2018,DGOP/0031/CONT/2018,Apr  4 2018 12:00AM,653,,75,,Proyecto,1,NULL,NULL
21,DGOP/0033/CONT/2018,DGOP/0033/CONT/2018,Apr  4 2018 12:00AM,234,,23,,Proyecto,1,55,Construcción
23,DGOP/0022/PROY/2018,DGOP/0022/PROY/2018,Mar  8 2018 12:00AM,681,,70,,Proyecto,1,NULL,NULL
24,DGOP/0049/PROY/2018,DGOP/0049/PROY/2018,Apr 16 2018 12:00AM,151,,23,,Obra,1,NULL,NULL
25,DGOP/0023/PROY/2018,DGOP/0023/PROY/2018,Mar  8 2017 12:00AM,539,,86,,Obra,1,NULL,NULL
26,DGOP/0037/PROY/2018,DGOP/0037/PROY/2018,Apr  6 2018 12:00AM,712,,76,,Proyecto,1,NULL,NULL
27,DGOP/0048/CONT/2018,DGOP/0048/CONT/2018,Apr  9 2018 12:00AM,13,742,54,,Obra,1,55,Construcción
28,DGOP/0044/CONT/2018,DGOP/0044/CONT/2018,Apr  9 2018 12:00AM,633,358,54,,Obra,1,NULL,NULL
29,DGOP/0047/CONT/2018,DGOP/0047/CONT/2018,Apr  9 2018 12:00AM,622,725,60,,Obra,1,55,Construcción
30,DGOP/0003/CONT/2018,DGOP/0003/CONT/2018,Feb 26 2018 12:00AM,326,464,56,,Obra,3,NULL,NULL
31,DGOP/0011/OBRA/2018,DGOP/0011/OBRA/2018,Mar  8 2018 12:00AM,457,,85,,Obra,1,NULL,NULL
32,DGOP/0007/OBRA/2018,DGOP/0007/OBRA/2018,Feb 26 2018 12:00AM,207,,82,,Obra,1,NULL,NULL
33,DGOP/0008/CONT/2018,DGOP/0008/CONT/2018,Feb 26 2018 12:00AM,261,,83,,Obra,1,55,Construcción
34,DGOP/0010/CONT/2018,DGOP/0010/CONT/2018,Feb 26 2018 12:00AM,646,,84,,Obra,1,84,Construcción
35,DGOP/0020/OBRA/2018,DGOP/0020/OBRA/2018,Mar  8 2018 12:00AM,275,94,59,,Obra,2,55,Construcción
36,DGOP/0021/OBRA/2018,DGOP/0021/OBRA/2018,Mar  8 2018 12:00AM,672,94,88,,Obra,2,NULL,NULL
37,DGOP/0035/CONT/2018,DGOP/0035/CONT/2018,Apr  5 2018 12:00AM,665,,87,,Obra,1,NULL,NULL
38,DGOP/0042/CONT/2018,DGOP/0042/CONT/2018,Apr  9 2018 12:00AM,578,727,88,,Obra,1,NULL,NULL
39,DGOP/0032/CONT/2018,DGOP/0032/CONT/2018,Apr  4 2018 12:00AM,542,,86,,Obra,1,NULL,NULL
40,DGOP/0034/CONT/2018,DGOP/0034/CONT/2018,Apr  5 2018 12:00AM,589,,87,,Obra,1,NULL,NULL
41,DGOP/0038/PROY/2018,DGOP/0038/PROY/2018,Apr  9 2018 12:00AM,677,,81,,Proyecto,1,NULL,NULL
42,DGOP/0711/CONT/2017,DGOP/0711/CONT/2017,Apr 26 2018 12:00AM,582,728,58,,Obra,2,53,Construcción
44,DGOP/0589/CONT/2017,DGOP/0589/CONT/2017,Nov  5 2017 12:00AM,370,,55,,Proyecto,1,83,Proyectos
45,DGOP/0002/CONT/2018,DGOP/0002/CONT/2018,Feb 26 2018 12:00AM,588,,20,,Proyecto,1,20,Proyectos
47,DGOP/0610/CONT/2017,DGOP/0610/CONT/2017,May  7 2018 12:00AM,146,464,58,,Obra,3,54,Construcción
48,DGOP/0053/PROY/2018,DGOP/0053/PROY/2018,Apr 18 2018 12:00AM,588,,20,,Proyecto,1,20,Proyectos
49,DGOP/0054/PROY/2018,DGOP/0054/PROY/2018,Apr 18 2018 12:00AM,717,,20,,Proyecto,1,20,Proyectos
50,DGOP/0055/CONT/2018,DGOP/0055/CONT/2018,Apr 18 2018 12:00AM,582,730,60,,Obra,1,57,Construcción
51,DGOP/0056/CONT/2018,DGOP/0056/CONT/2018,May  7 2018 12:00AM,289,731,56,,Obra,1,54,Construcción
52,DGOP/0057/CONT/2018,DGOP/0057/CONT/2018,May  7 2018 12:00AM,649,,60,,Obra,1,54,Construcción
54,DGOP/0643/CONT/2017,DGOP/0643/CONT/2017,Nov  6 2017 12:00AM,734,,80,,Obra,1,80,Mantenimiento
55,DGOP/0521/CONT/2017,DGOP/0521/CONT/2017,Nov  6 2017 12:00AM,640,,89,,Proyecto,1,89,Proyectos
57,DGOP/0059/CONT/2018,DGOP/0059/CONT/2018,Apr 17 2018 12:00AM,700,735,58,,Obra,1,54,Construcción
58,DGOP/0070/CONT/2018,DGOP/0070/CONT/2018,Apr 22 2018 12:00AM,700,736,57,,Obra,1,57,Construcción
59,DGOP/0710/CONT/2017,DGOP/0710/CONT/2017,May 18 2018 12:00AM,737,,56,,Obra,1,61,Construcción
60,DGOP/0550/CONT/2017,DGOP/0550/CONT/2017,Nov  5 2017 12:00AM,680,,20,,Proyecto,1,20,Proyectos
61,DGOP/0523/CONT/2017,DGOP/0523/CONT/2017,Nov  5 2017 12:00AM,680,,83,,Proyecto,1,83,Proyectos
62,DGOP/0524/CONT/2017,DGOP/0524/CONT/2017,Nov  5 2017 12:00AM,356,,20,,Proyecto,1,20,Proyectos
63,DGOP/0531/CONT/2017,DGOP/0531/CONT/2017,Nov  5 2017 12:00AM,343,,87,,Proyecto,1,87,Proyectos
64,DGOP/CONT/0050/2018,DGOP/CONT/0050/2018,Apr 17 2016 12:00AM,680,,89,,Proyecto,1,89,Proyectos
65,DGOP/0051/CONT/2018,DGOP/0051/CONT/2018,Apr 17 2018 12:00AM,640,,89,,Proyecto,1,89,Proyectos
